	Previous time	Previous two times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
y_prev_1	1.0272055980824064	0.8138566741142617	0.6697963544270902	0.8038177711776604	0.7789441720867812	0.6664688222025005	0.7496170676570257	0.5621008259652206
y_prev_2		0.22431681619604157	0.41055964257043487	0.22324661748420346	0.23242825774278725	0.3911749017218556	0.2734353470471801	0.39047399920735987
native population - Total			0.0030316240947719786	3.461014252026384e-05	-2.151282296147805e-05	2.8960252621557103e-06	0.0013870599925968063	4.480490597535969e-06
Free activities in voluntary associations			-4.863541758476413			-14.479596209660677	-10.373613446129873	-13.147828320789355
Meetings in cultural, recreational or other associations			-5.860769303111614					
Disposable Income			-1.3470262840903966					
Average monthly expenditure for housing			184.26162265841438					
unemployment - Total			-9.403757724850529					
reach_difficulty - Emergency room			-5.280159596997389					
Non food					-0.059784025025442805	0.3056950023848742	-1.6248851515604874	6.874784310601484
Pay money to an association					0.7904252176223033	6.1799615810257205	3.554153810687396	2.478398130717203
internal_migration - Foreign country						0.02331614700345769	0.01886496583224012	-0.2672530792105717
reach_difficulty - Post offices							-10.575027873601865	-6.037091193693197
Communications							42.310599848410874	-3.0179040665665124
Accommodation and catering services							2.560278438385626	-12.825941425037781
internal_migration - Italy								0.15383021563134525
reach_difficulty - Supermarket								-5.928354512527696
Other goods and services								1.0524291636611722
Food and non-alcoholic beverages								-11.395509835947399
Transport								-25.039403928233956
R2	0.99051	0.98798	0.97603	0.98782	0.98659	0.95954	0.98032	0.93023
R2_adj	0.98978	0.98597	0.95206	0.9845	0.97914	0.91907	0.93111	1.97681
MAE	1732.04449	2070.70897	4436.4083	2018.02523	2169.21567	6042.95805	4066.70392	7955.17068
MPE	13.2094	15.71542	113.22219	1.19579	8.81476	153.33667	132.84078	150.39173
MAPE	13.58919	15.94655	113.22219	9.68796	14.12065	153.33667	133.93456	150.39173
