	Previous time	Previous two times	Previous three times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
y_prev_1	1.0019014843551013	1.108757680736532	0.7904832366588879	0.7280123473902226	0.7904832366588932	0.7912218194255218	0.7669051210079045	0.71947582417974	0.3730305404631505
y_prev_2		-0.10774414708114703	1.9117938578343388	0.24106908779804273	1.9117938578343086	1.9135486872324592	1.7808127651898196	1.8845098773304634	1.310231576840757
y_prev_3			-1.7574739865590407		-1.7574739865590152	-1.7901500993338428	-1.6525226554798358	-1.7080203874635347	-0.6425912628085362
native population - Total				0.0006772491214745435		7.799253452067667e-05	0.00015002183280277137	0.0002867461400017923	-0.0010975143400824283
Free activities in voluntary associations				-0.9622489564323385				-2.6641866569952004	2.6191510368156843
Meetings in cultural, recreational or other associations				-0.9212148843905267					
Disposable Income				-0.32371201443189296					-1.2034038909292777
Average monthly expenditure for housing				68.10946950880584					
unemployment - Total				-2.8852454766892626					
reach_difficulty - Emergency room				-1.1712638717061843					
reach_difficulty - Post offices						-0.519549750577181	-2.9281055867641923	-2.643454167442075	1.5745642213609479
internal_migration - Foreign country							-0.004086441437685063	0.008818878154537035	0.01096051990906902
reach_difficulty - Pharmacy							2.5404472413515653	2.4835895381863153	-3.7694773118289793
reach_difficulty - Municipal offices								-0.7226532047077068	1.8981581969428767
Pay money to an association								0.7139002086165126	-1.9145085731138094
reach_difficulty - Supermarket									-3.2722926188450923
Born alive									0.23546967723116882
Accommodation and catering services									1.8584360473118475
Non food									-0.07874307190267829
R2	0.99796	0.99784	0.93291	0.99029	0.93291	0.93392	0.9426	0.93275	0.87475
R2_adj	0.99781	0.99748	0.91461	0.98059	0.91461	0.89721	0.88521	0.76463	2.75354
MAE	315.684	320.73953	1540.7063	794.20055	1540.7063	1527.86561	1396.85277	1628.20118	3178.01704
MSE	187120.29697	198680.19368	6163768.46672	891768.66577	6163768.46672	6070884.33258	5273234.62398	6178187.99432	11507285.82196
RMSE	432.57404	445.73556	2482.69379	944.33504	2482.69379	2463.91646	2296.35246	2485.5961	3392.23906
