	Previous time	Previous two times	Previous three times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
y_prev_1	1.0362984571953116	1.2350763181332047	1.0137676006290453	0.9631539887248807	1.0137676006290457	1.0661606435289128	1.1258427631130912	1.176423400771347	1.159080537582611
y_prev_2		-0.208570234347926	0.6931790929409585	0.10272957500863084	0.6931790929409543	0.2095298446633882	0.2059962907281662	-0.05935941213761358	-1.4741780949938088
y_prev_3			-0.726590797722322		-0.7265907977223184	-0.3826334799197862	-0.40189295057278923	-0.2543466746822124	0.9638885406380291
native population - Total				0.0043247006637393975			0.0005308310313807685	-0.0015759418705129993	-0.004709687024154974
Free activities in voluntary associations				-3.343535072716549		1.0418555929457671	-6.513446287963411	-3.131712895712522	3.280476022783718
Meetings in cultural, recreational or other associations				-20.964310650846087			-4.850329852838821	32.67650055228475	22.19849167610772
Disposable Income				-2.378417145790964					5.528084306985352
Average monthly expenditure for housing				523.6488849078376					
unemployment - Total				-26.432573847418425					
reach_difficulty - Emergency room				-2.596894108647246					
internal_migration - Foreign country						0.17258331035700047	0.22704323789007677	0.20666843260400217	0.36516709280734905
internal_migration - Italy								0.09398208026020034	0.19591410362255163
Free activities in non voluntary associations								-43.61419420291254	-83.02176386597056
Pay money to an association								-7.783590092786875	11.571781417776345
reach_difficulty - Post offices									-15.664288837426925
Other goods and services									33.018356189990335
Non food									-1.1041841007386113
political_info - Every day									-7.3252554086438355
R2	0.99668	0.99734	0.99166	0.99622	0.99166	0.99657	0.99713	0.99808	0.97581
R2_adj	0.99643	0.99689	0.98938	0.99245	0.98938	0.99467	0.99426	0.99328	1.33861
MAE	4486.94329	4099.88748	7099.75999	6013.02085	7099.75999	4806.32725	4390.09629	3269.89943	14109.73182
MSE	39944169.36861	32063384.12168	100442654.19653	45477767.72023	100442654.19653	41273100.67746	34561381.53546	23115578.11373	291266924.31281
RMSE	6320.13998	5662.4539	10022.10827	6743.72061	10022.10827	6424.41442	5878.89288	4807.86627	17066.54401
