	Previous time	Previous two times	Previous three times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
y_prev_1	1.06849874947126	1.1334864034815864	1.1540407325363022	1.0421300011015064	1.154040732536302	1.139989782766152	1.0943896005630016	0.8641159399254831	0.8179439843129446
y_prev_2		-0.070580862217477	-0.2746561431836368	0.043407535953062085	-0.27465614318363935	-0.28207653289176376	-0.5799967392051656	-0.4060031018305412	-0.8175006275305432
y_prev_3			0.20471606016653365		0.204716060166535	0.2200153078872921	0.6408639713261022	0.6712998185628928	1.0167674690447046
native population - Total				0.0010302613016304266		1.8788796754543036e-05	0.0008951009782455221	0.0012320658253022199	-0.0001290913521786452
Free activities in voluntary associations				-2.3952487656634704		0.032606621040241306	-2.4095420385676967	-0.1950090798499749	3.360069340084858
Meetings in cultural, recreational or other associations				-1.3348349670838942				-9.831182339116117	-10.704239581678971
Disposable Income				-0.30699773057657476			-1.1026127203137817	-0.5092693896921247	0.36369488308105186
Average monthly expenditure for housing				61.82118433961476					
unemployment - Total				-3.402552591857255					
reach_difficulty - Emergency room				-2.2068529910672625					
internal_migration - Foreign country							0.015514663636980213	-0.046329601132476424	-0.05795667869515127
reach_difficulty - Post offices								-4.756223949255246	-5.06031251124818
Pay money to an association								4.548953964169385	6.311115577921298
internal_migration - Italy									0.04729890576878486
reach_difficulty - Supermarket									-1.5772751939829401
Other goods and services									4.935114463577757
Food and non-alcoholic beverages									4.692211013923046
Non food									-1.7727141798368449
R2	0.99233	0.99268	0.9923	0.9933	0.9923	0.99246	0.99013	0.98945	0.98636
R2_adj	0.99174	0.99147	0.9902	0.98659	0.9902	0.98826	0.98026	0.96308	1.19097
MAE	1709.93099	1685.92028	1630.5876	1872.19382	1630.5876	1732.93002	2076.70167	2298.16246	2720.5544
MSE	8430669.23706	8044135.34358	8464802.84815	7372854.74748	8464802.84815	8296494.79436	10854388.806	11599393.55777	15000094.31081
RMSE	2903.56147	2836.21849	2909.43342	2715.30012	2909.43342	2880.36366	3294.59995	3405.78824	3872.99552
