	Previous time	Previous two times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
y_prev_1	1.0589002464705894	0.9018495845297423	0.7421812225415262	0.8988453064520184	0.7496004369742759	0.6626858650892763	0.38959960736642707	0.412812808803445
y_prev_2		0.1671593014696057	0.3616926836161932	0.16290510599817218	-0.012347915948362303	0.11066091281972804	0.36274483154408144	0.1494229065931208
native population - Total			0.0015556112591890714		0.0008280733378178695	0.0007191171580649414	0.00046766007146797905	-0.0016187996304182772
Free activities in voluntary associations			-2.0634262163293853			1.685627723554346	0.5739561782703174	0.23113181889393333
Meetings in cultural, recreational or other associations			-3.322767941021001					
Disposable Income			-0.7780192317634088					1.0994733851208254
Average monthly expenditure for housing			109.52516361361049					
unemployment - Total			-3.403033566302382					
reach_difficulty - Emergency room			-2.8421387772346347					
internal_migration - Foreign country				0.0039700544383670655	0.13247169077446883	0.10659668800307716	0.08010555716364973	0.19160477489446381
Other goods and services					-12.060490098008874	1.015706968873125	-5.62941319561169	3.459527792268169
Non food						-1.2083420442312098	-0.7337340387783042	-2.6033146934921745
Communications							9.523785683074527	-0.6406209468125739
Accommodation and catering services							-4.614475482612716	-4.732032698000431
Pay money to an association							3.7713442769098275	3.677395831786792
reach_difficulty - Post offices								-0.0958795663547588
Born alive								0.16446767739967771
Housing, water, electricity, gas and other fuels								1.2378730293121776
Food and non-alcoholic beverages								2.2251308234758436
R2	0.99216	0.9923	0.99217	0.99237	0.97582	0.97595	0.97427	0.96811
R2_adj	0.99156	0.99101	0.98433	0.99029	0.96238	0.95191	0.90995	1.44646
MAE	2387.55912	2369.86528	2300.2186	2340.49355	4964.06374	4983.67833	5309.69054	5989.88676
MPE	-1.17413	-0.90365	3.46977	-0.907	-25.18266	-25.05224	-17.05381	-11.11487
MAPE	6.37125	6.3665	6.93779	6.30825	30.06997	29.81498	27.23468	28.00044
