	Previous time	Previous two times	Previous three times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
y_prev_1	1.0283455426330959	1.2968425702794284	0.5579146282925023	0.9599579696235129	1.2092749219901266	1.0682740101591324	1.072695515422092	0.5912129754525671	0.6382575942747204
y_prev_2		-0.28402817400817565	2.452687557737851	0.02050287157647929	-0.24384638622527285	-0.12190045530754112	-0.11252908573180233	2.099359166160292	1.9777358061689063
y_prev_3			-2.206723821784847					-1.9068755579933065	-1.9240011342513632
native population - Total				0.0029987041761534022		2.4005382946112874e-05	0.0007618755804121857	0.0003135835592389391	0.003241113805161122
Free activities in voluntary associations				-0.21163625944672457				-3.6869021498046095	2.967570329546849
Meetings in cultural, recreational or other associations				-12.242072546029235					-27.094425360071572
Disposable Income				-0.4948568734869014					
Average monthly expenditure for housing				284.84039843310035					
unemployment - Total				-11.094982618510446					
reach_difficulty - Emergency room				-6.895710308556591					-4.537839843685317
Pay money to an association					0.6478365580487478	2.198968043567078	2.093044948664663	0.6758237283634709	3.711398711271637
internal_migration - Foreign country						-0.05262654894424111	-0.08023699316830941	0.023672668662491313	0.12857425445591472
reach_difficulty - Post offices							-4.5903808717648875	-4.433757272327748	10.238426310724567
political_info - Every day							-0.4534124125244538	-0.17990074322155913	0.10671284249436183
reach_difficulty - Pharmacy								4.821646705652411	2.002508929101887
reach_difficulty - Supermarket									-14.919842386899452
political_info - Never									-1.7456568313733676
political_info - A time per week									-9.536734742010424
R2	0.99727	0.9973	0.73152	0.98317	0.99625	0.99435	0.99323	0.7866	0.83125
R2_adj	0.99706	0.99685	0.6583	0.96635	0.99523	0.99122	0.98646	0.2531	3.36249
MAE	816.76111	772.89806	6732.03184	2355.31563	904.7653	1117.9934	1224.28443	6120.03644	4856.62171
MSE	1398107.18631	1381985.82143	137621283.28285	8624609.14575	1922896.15902	2893882.5792	3471183.62138	109388412.22337	86500843.52346
RMSE	1182.41583	1175.57893	11731.2098	2936.76849	1386.68531	1701.14155	1863.11127	10458.89154	9300.58297
