	Previous time	Previous two times	Previous three times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
y_prev_1	1.081234068150386	1.3340383942790623	1.2801180704103152	0.7989727928727736	1.2801180704103148	1.08860704218966	0.7080066314059212	0.7482170561051418	0.5493611358874123
y_prev_2		-0.28228417323400873	-0.08098720867847348	0.0691005340023855	-0.08098720867847153	-0.08171221865745237	0.15591952097122763	0.12744039119843786	0.3525138357577706
y_prev_3			-0.1720089624194635		-0.17200896241946442	-0.08940266085736573	-0.1089873469062991	-0.17195849882466244	-0.5636214583772915
native population - Total				0.0020637168321509386					
Free activities in voluntary associations				15.580293395199195				-79.66896005414914	-101.35875180973699
Meetings in cultural, recreational or other associations				-72.53556911609444					
Disposable Income				17.8768462336007		3.0520302301721562	13.335130374646695	13.84541975178949	43.018371460671126
Average monthly expenditure for housing				1678.1736804637555					
unemployment - Total				-153.7974416163922			-105.29334288140163	-95.95487919115996	-162.80556623755072
reach_difficulty - Emergency room				-18.316367516503774					
Average age of fathers at birth						-69.93216387419805	-19.353788302734355	-10939.312519951422	-80545.8914531771
Communications							-84.59587133181907	-48.614074733488266	132.33438186352427
internal_migration - Foreign country								1.1698465213443663	1.6208927268726887
Average age of mothers at birth								12580.447739140862	90489.027722834
reach_difficulty - Pharmacy									-1.1687515226601948
Born alive									-1.6346881229229493
Clothing and footwear									-95.8592912767784
Other goods and services									-121.28160613956328
Transport									92.07327994213958
R2	0.99629	0.99672	0.99436	0.97234	0.99436	0.9951	0.9804	0.97339	0.95438
R2_adj	0.996	0.99618	0.99282	0.94467	0.99282	0.99238	0.9608	0.90685	1.63873
MAE	12282.84766	11605.66825	13690.12001	36255.20288	13690.12001	11133.43284	27928.10009	38252.31791	48911.71594
MSE	238063010.44174	210100075.65331	361928033.38214	1774438483.91601	361928033.38214	314109976.37178	1257107015.52464	1707077394.64538	2926472745.34488
RMSE	15429.29067	14494.82927	19024.40626	42124.08437	19024.40626	17723.14804	35455.70498	41316.79313	54096.88295
