	Previous time	Previous two times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
y_prev_1	1.0061799512061236	1.042950648802844	0.6211667209295875	1.0179012322133691	0.8784868691350903	1.0391783552654548	0.8452166905984243	0.4180704426152502
y_prev_2		-0.03762878881024465	0.14803766768448365	-0.05770979131261696	0.09640489229925404	-0.009621486954609959	0.19740491589980422	0.32183524859543977
native population - Total			0.0005182261068600036			0.0003142596669398756	0.0006626348691236572	0.0016585498410484623
Free activities in voluntary associations			5.089078889129185	0.935130819128098	-4.212626958334334	-5.845489771676655	-13.440674490921195	-4.23471112614671
Meetings in cultural, recreational or other associations			-3.071418998031455			-4.706563894610149	-2.666425437062897	2.3471748178924163
Disposable Income			-0.7466612366968252					
Average monthly expenditure for housing			588.8666986859014					
unemployment - Total			-6.534439673438276					
reach_difficulty - Emergency room			-0.9065662421151967					3.8494801238648595
internal_migration - Foreign country					0.0019713282486680805	0.05842280989174872	0.13387618564169143	-0.01786589113004419
Pay money to an association					2.7054601629483157	1.9661226660580733	6.6110790288088745	-1.014063136224142
Accommodation and catering services							8.553207379408649	33.028347392008094
political_info - Every day							-1.0814612586279782	-4.982328181897394
Free activities in non voluntary associations							-28.596853281598783	-23.348752870683228
reach_difficulty - Post offices								-0.7748450899315196
Born alive								0.1913719912551361
Food and non-alcoholic beverages								-7.3067715572526115
political_info - Never								-6.802120901435723
R2	0.9966	0.99665	0.99192	0.99609	0.99223	0.99528	0.94253	0.9479
R2_adj	0.99633	0.99609	0.98384	0.99503	0.98792	0.99056	0.79885	1.72942
MAE	971.38407	956.53179	1667.2229	1084.08135	1398.34371	1118.43064	4751.34018	4586.36453
MPE	2.40327	2.29523	11.95846	0.8697	9.04074	5.93502	29.42804	10.78134
MAPE	4.79892	4.70131	12.07916	5.44337	9.07656	6.75322	29.42804	28.8515
