Province	Year	SMA 9 years
Centro	2005	84448.0
Centro	2006	93671.0
Centro	2007	101418.0
Centro	2008	108886.0
Centro	2009	119856.0
Centro	2010	127050.0
Centro	2011	130673.0
Centro	2012	120104.0
Centro	2013	123023.0
Centro	2014	112125.44444444444
Centro	2015	117413.66666666667
Centro	2016	121632.77777777778
Isole	2005	5816.0
Isole	2006	5904.0
Isole	2007	6039.0
Isole	2008	6296.0
Isole	2009	6842.0
Isole	2010	7169.0
Isole	2011	7694.0
Isole	2012	7100.0
Isole	2013	7368.0
Isole	2014	6692.0
Isole	2015	6941.0
Isole	2016	7249.666666666667
Nord-est	2005	90814.0
Nord-est	2006	100415.0
Nord-est	2007	109449.0
Nord-est	2008	117831.0
Nord-est	2009	130310.0
Nord-est	2010	137305.0
Nord-est	2011	140854.0
Nord-est	2012	132501.0
Nord-est	2013	136653.0
Nord-est	2014	121792.44444444444
Nord-est	2015	127567.44444444444
Nord-est	2016	131883.33333333334
Nord-ovest	2005	105198.0
Nord-ovest	2006	117788.0
Nord-ovest	2007	128248.0
Nord-ovest	2008	138091.0
Nord-ovest	2009	152028.0
Nord-ovest	2010	161367.0
Nord-ovest	2011	168298.0
Nord-ovest	2012	159504.0
Nord-ovest	2013	165074.0
Nord-ovest	2014	143955.11111111112
Nord-ovest	2015	151964.88888888888
Nord-ovest	2016	158328.55555555556
Sud	2005	38675.0
Sud	2006	40123.0
Sud	2007	40798.0
Sud	2008	41697.0
Sud	2009	44421.0
Sud	2010	46715.0
Sud	2011	48340.0
Sud	2012	44199.0
Sud	2013	45787.0
Sud	2014	43417.22222222222
Sud	2015	44578.555555555555
Sud	2016	45592.333333333336
