Year	Province	SMA 9 years
2005	Centro	30545.0
2005	Isole	3854.0
2005	Nord-est	30171.0
2005	Nord-ovest	37566.0
2005	Sud	10361.0
2006	Centro	34920.0
2006	Isole	4935.0
2006	Nord-est	34852.0
2006	Nord-ovest	41547.0
2006	Sud	12506.0
2007	Centro	40315.0
2007	Isole	5770.0
2007	Nord-est	39761.0
2007	Nord-ovest	45818.0
2007	Sud	14380.0
2008	Centro	42916.0
2008	Isole	6633.0
2008	Nord-est	43852.0
2008	Nord-ovest	48416.0
2008	Sud	16038.0
2009	Centro	45444.0
2009	Isole	7451.0
2009	Nord-est	49500.0
2009	Nord-ovest	51834.0
2009	Sud	17642.0
2010	Centro	50900.0
2010	Isole	8467.0
2010	Nord-est	54356.0
2010	Nord-ovest	57149.0
2010	Sud	19303.0
2011	Centro	57626.0
2011	Isole	9511.0
2011	Nord-est	60025.0
2011	Nord-ovest	63934.0
2011	Sud	20897.0
2012	Centro	56205.0
2012	Isole	8548.0
2012	Nord-est	54453.0
2012	Nord-ovest	62419.0
2012	Sud	17439.0
2013	Centro	65575.0
2013	Isole	8932.0
2013	Nord-est	60329.0
2013	Nord-ovest	70952.0
2013	Sud	19819.0
2014	Centro	47160.666666666664
2014	Isole	7122.333333333333
2014	Nord-est	47477.666666666664
2014	Nord-ovest	53292.77777777778
2014	Sud	16487.222222222223
2015	Centro	52469.666666666664
2015	Isole	7802.555555555556
2015	Nord-est	51577.11111111111
2015	Nord-ovest	58062.555555555555
2015	Sud	17932.222222222223
2016	Centro	57052.444444444445
2016	Isole	8461.333333333334
2016	Nord-est	55275.22222222222
2016	Nord-ovest	63132.88888888889
2016	Sud	19420.444444444445
