Province	Year	SMA 9 years
Centro	2005	30545.0
Centro	2006	34920.0
Centro	2007	40315.0
Centro	2008	42916.0
Centro	2009	45444.0
Centro	2010	50900.0
Centro	2011	57626.0
Centro	2012	56205.0
Centro	2013	65575.0
Centro	2014	47160.666666666664
Centro	2015	52469.666666666664
Centro	2016	57052.444444444445
Isole	2005	3854.0
Isole	2006	4935.0
Isole	2007	5770.0
Isole	2008	6633.0
Isole	2009	7451.0
Isole	2010	8467.0
Isole	2011	9511.0
Isole	2012	8548.0
Isole	2013	8932.0
Isole	2014	7122.333333333333
Isole	2015	7802.555555555556
Isole	2016	8461.333333333334
Nord-est	2005	30171.0
Nord-est	2006	34852.0
Nord-est	2007	39761.0
Nord-est	2008	43852.0
Nord-est	2009	49500.0
Nord-est	2010	54356.0
Nord-est	2011	60025.0
Nord-est	2012	54453.0
Nord-est	2013	60329.0
Nord-est	2014	47477.666666666664
Nord-est	2015	51577.11111111111
Nord-est	2016	55275.22222222222
Nord-ovest	2005	37566.0
Nord-ovest	2006	41547.0
Nord-ovest	2007	45818.0
Nord-ovest	2008	48416.0
Nord-ovest	2009	51834.0
Nord-ovest	2010	57149.0
Nord-ovest	2011	63934.0
Nord-ovest	2012	62419.0
Nord-ovest	2013	70952.0
Nord-ovest	2014	53292.77777777778
Nord-ovest	2015	58062.555555555555
Nord-ovest	2016	63132.88888888889
Sud	2005	10361.0
Sud	2006	12506.0
Sud	2007	14380.0
Sud	2008	16038.0
Sud	2009	17642.0
Sud	2010	19303.0
Sud	2011	20897.0
Sud	2012	17439.0
Sud	2013	19819.0
Sud	2014	16487.222222222223
Sud	2015	17932.222222222223
Sud	2016	19420.444444444445
