Province	Year	SMA 9 years
Centro	2005	9006.0
Centro	2006	10474.0
Centro	2007	11812.0
Centro	2008	12508.0
Centro	2009	13405.0
Centro	2010	14641.0
Centro	2011	15584.0
Centro	2012	12554.0
Centro	2013	13119.0
Centro	2014	12567.0
Centro	2015	13272.222222222223
Centro	2016	13825.444444444445
Isole	2005	323.0
Isole	2006	368.0
Isole	2007	400.0
Isole	2008	423.0
Isole	2009	457.0
Isole	2010	481.0
Isole	2011	540.0
Isole	2012	497.0
Isole	2013	508.0
Isole	2014	444.1111111111111
Isole	2015	467.22222222222223
Isole	2016	491.44444444444446
Nord-est	2005	4029.0
Nord-est	2006	4640.0
Nord-est	2007	5110.0
Nord-est	2008	5535.0
Nord-est	2009	6264.0
Nord-est	2010	6766.0
Nord-est	2011	7093.0
Nord-est	2012	6371.0
Nord-est	2013	6621.0
Nord-est	2014	5825.444444444444
Nord-est	2015	6141.666666666667
Nord-est	2016	6362.555555555556
Nord-ovest	2005	39760.0
Nord-ovest	2006	46384.0
Nord-ovest	2007	51465.0
Nord-ovest	2008	54685.0
Nord-ovest	2009	59910.0
Nord-ovest	2010	64043.0
Nord-ovest	2011	68379.0
Nord-ovest	2012	60915.0
Nord-ovest	2013	62530.0
Nord-ovest	2014	56452.333333333336
Nord-ovest	2015	59702.555555555555
Nord-ovest	2016	62156.88888888889
Sud	2005	476.0
Sud	2006	515.0
Sud	2007	547.0
Sud	2008	561.0
Sud	2009	579.0
Sud	2010	607.0
Sud	2011	662.0
Sud	2012	596.0
Sud	2013	635.0
Sud	2014	575.3333333333334
Sud	2015	601.4444444444445
Sud	2016	622.8888888888889
