Province	Year	SMA 9 years
Centro	2005	10634.0
Centro	2006	10840.0
Centro	2007	11302.0
Centro	2008	11664.0
Centro	2009	12102.0
Centro	2010	12235.0
Centro	2011	12303.0
Centro	2012	9774.0
Centro	2013	9994.0
Centro	2014	11205.333333333334
Centro	2015	11266.777777777777
Centro	2016	11236.222222222223
Isole	2005	2732.0
Isole	2006	2831.0
Isole	2007	2986.0
Isole	2008	3174.0
Isole	2009	3281.0
Isole	2010	3373.0
Isole	2011	3456.0
Isole	2012	2646.0
Isole	2013	2658.0
Isole	2014	3015.222222222222
Isole	2015	3035.222222222222
Isole	2016	3039.4444444444443
Nord-est	2005	12459.0
Nord-est	2006	13156.0
Nord-est	2007	13874.0
Nord-est	2008	15042.0
Nord-est	2009	15657.0
Nord-est	2010	15958.0
Nord-est	2011	16103.0
Nord-est	2012	14537.0
Nord-est	2013	14778.0
Nord-est	2014	14618.222222222223
Nord-est	2015	14907.555555555555
Nord-est	2016	15104.666666666666
Nord-ovest	2005	10461.0
Nord-ovest	2006	10811.0
Nord-ovest	2007	11064.0
Nord-ovest	2008	11470.0
Nord-ovest	2009	11703.0
Nord-ovest	2010	11946.0
Nord-ovest	2011	11881.0
Nord-ovest	2012	9583.0
Nord-ovest	2013	9642.0
Nord-ovest	2014	10951.222222222223
Nord-ovest	2015	10936.666666666666
Nord-ovest	2016	10836.444444444445
Sud	2005	3196.0
Sud	2006	3366.0
Sud	2007	3383.0
Sud	2008	3738.0
Sud	2009	3861.0
Sud	2010	4035.0
Sud	2011	4083.0
Sud	2012	3248.0
Sud	2013	3452.0
Sud	2014	3595.777777777778
Sud	2015	3649.3333333333335
Sud	2016	3663.1111111111113
