Province	Year	SMA 9 years
Centro	2005	40603.0
Centro	2006	44076.0
Centro	2007	48045.0
Centro	2008	51562.0
Centro	2009	57322.0
Centro	2010	61523.0
Centro	2011	64389.0
Centro	2012	56317.0
Centro	2013	58771.0
Centro	2014	53623.11111111111
Centro	2015	56203.11111111111
Centro	2016	58408.88888888889
Isole	2005	10282.0
Isole	2006	11167.0
Isole	2007	11803.0
Isole	2008	12889.0
Isole	2009	14363.0
Isole	2010	15600.0
Isole	2011	17204.0
Isole	2012	15926.0
Isole	2013	16920.0
Isole	2014	14017.111111111111
Isole	2015	14946.666666666666
Isole	2016	15804.222222222223
Nord-est	2005	100272.0
Nord-est	2006	108400.0
Nord-est	2007	116193.0
Nord-est	2008	123507.0
Nord-est	2009	135569.0
Nord-est	2010	143942.0
Nord-est	2011	149034.0
Nord-est	2012	135986.0
Nord-est	2013	140726.0
Nord-est	2014	128181.0
Nord-est	2015	133256.44444444444
Nord-est	2016	136902.0
Nord-ovest	2005	124411.0
Nord-ovest	2006	135738.0
Nord-ovest	2007	146429.0
Nord-ovest	2008	156054.0
Nord-ovest	2009	171993.0
Nord-ovest	2010	183355.0
Nord-ovest	2011	190937.0
Nord-ovest	2012	171434.0
Nord-ovest	2013	178240.0
Nord-ovest	2014	162065.66666666666
Nord-ovest	2015	169120.44444444444
Nord-ovest	2016	174354.11111111112
Sud	2005	26401.0
Sud	2006	27903.0
Sud	2007	29021.0
Sud	2008	30668.0
Sud	2009	33955.0
Sud	2010	37312.0
Sud	2011	41416.0
Sud	2012	38771.0
Sud	2013	42231.0
Sud	2014	34186.444444444445
Sud	2015	36681.88888888889
Sud	2016	39380.77777777778
