Province	Year	SMA 9 years
Centro	2005	14972.0
Centro	2006	16409.0
Centro	2007	19622.0
Centro	2008	20864.0
Centro	2009	22752.0
Centro	2010	26006.0
Centro	2011	29155.0
Centro	2012	27318.0
Centro	2013	29374.0
Centro	2014	22941.333333333332
Centro	2015	25040.222222222223
Centro	2016	26886.666666666668
Isole	2005	256.0
Isole	2006	269.0
Isole	2007	272.0
Isole	2008	306.0
Isole	2009	329.0
Isole	2010	384.0
Isole	2011	429.0
Isole	2012	361.0
Isole	2013	394.0
Isole	2014	333.3333333333333
Isole	2015	353.1111111111111
Isole	2016	369.3333333333333
Nord-est	2005	4512.0
Nord-est	2006	5036.0
Nord-est	2007	5476.0
Nord-est	2008	5950.0
Nord-est	2009	6818.0
Nord-est	2010	7631.0
Nord-est	2011	8274.0
Nord-est	2012	7785.0
Nord-est	2013	8181.0
Nord-est	2014	6629.222222222223
Nord-est	2015	7080.555555555556
Nord-est	2016	7444.0
Nord-ovest	2005	33260.0
Nord-ovest	2006	37209.0
Nord-ovest	2007	40861.0
Nord-ovest	2008	43429.0
Nord-ovest	2009	47585.0
Nord-ovest	2010	53598.0
Nord-ovest	2011	60568.0
Nord-ovest	2012	58256.0
Nord-ovest	2013	61073.0
Nord-ovest	2014	48426.555555555555
Nord-ovest	2015	52144.666666666664
Nord-ovest	2016	55526.88888888889
Sud	2005	984.0
Sud	2006	1049.0
Sud	2007	1101.0
Sud	2008	1146.0
Sud	2009	1258.0
Sud	2010	1373.0
Sud	2011	1491.0
Sud	2012	1401.0
Sud	2013	1509.0
Sud	2014	1256.888888888889
Sud	2015	1332.3333333333333
Sud	2016	1392.4444444444443
