Province	Year	SMA 9 years
Centro	2005	26477.0
Centro	2006	28398.0
Centro	2007	36272.0
Centro	2008	37553.0
Centro	2009	39883.0
Centro	2010	42940.0
Centro	2011	46640.0
Centro	2012	44427.0
Centro	2013	49261.0
Centro	2014	39094.555555555555
Centro	2015	43137.22222222222
Centro	2016	46776.555555555555
Isole	2005	3957.0
Isole	2006	4130.0
Isole	2007	4267.0
Isole	2008	4551.0
Isole	2009	4937.0
Isole	2010	5437.0
Isole	2011	5869.0
Isole	2012	6043.0
Isole	2013	6408.0
Isole	2014	5066.555555555556
Isole	2015	5401.333333333333
Isole	2016	5779.333333333333
Nord-est	2005	11807.0
Nord-est	2006	12825.0
Nord-est	2007	13652.0
Nord-est	2008	14593.0
Nord-est	2009	16661.0
Nord-est	2010	18369.0
Nord-est	2011	19755.0
Nord-est	2012	19005.0
Nord-est	2013	20650.0
Nord-est	2014	16368.555555555555
Nord-est	2015	17555.444444444445
Nord-est	2016	18665.555555555555
Nord-ovest	2005	36056.0
Nord-ovest	2006	39656.0
Nord-ovest	2007	42028.0
Nord-ovest	2008	43638.0
Nord-ovest	2009	46302.0
Nord-ovest	2010	50214.0
Nord-ovest	2011	54713.0
Nord-ovest	2012	52770.0
Nord-ovest	2013	55990.0
Nord-ovest	2014	46818.555555555555
Nord-ovest	2015	49673.11111111111
Nord-ovest	2016	52786.666666666664
Sud	2005	4486.0
Sud	2006	4842.0
Sud	2007	5340.0
Sud	2008	5593.0
Sud	2009	6211.0
Sud	2010	6976.0
Sud	2011	7551.0
Sud	2012	7302.0
Sud	2013	7926.0
Sud	2014	6247.444444444444
Sud	2015	6753.444444444444
Sud	2016	7270.888888888889
