Province	Year	SMA 9 years
Centro	2005	22095.0
Centro	2006	25899.0
Centro	2007	30865.0
Centro	2008	35911.0
Centro	2009	39246.0
Centro	2010	41370.0
Centro	2011	42487.0
Centro	2012	30605.0
Centro	2013	32029.0
Centro	2014	33389.666666666664
Centro	2015	34998.22222222222
Centro	2016	36332.0
Isole	2005	2499.0
Isole	2006	3092.0
Isole	2007	3845.0
Isole	2008	5444.0
Isole	2009	5859.0
Isole	2010	6452.0
Isole	2011	6983.0
Isole	2012	5672.0
Isole	2013	6061.0
Isole	2014	5100.777777777777
Isole	2015	5537.222222222223
Isole	2016	5906.111111111111
Nord-est	2005	10236.0
Nord-est	2006	12771.0
Nord-est	2007	15297.0
Nord-est	2008	20164.0
Nord-est	2009	22727.0
Nord-est	2010	24196.0
Nord-est	2011	25103.0
Nord-est	2012	20826.0
Nord-est	2013	21836.0
Nord-est	2014	19239.555555555555
Nord-est	2015	20670.555555555555
Nord-est	2016	21817.11111111111
Nord-ovest	2005	6627.0
Nord-ovest	2006	8132.0
Nord-ovest	2007	9787.0
Nord-ovest	2008	12039.0
Nord-ovest	2009	13044.0
Nord-ovest	2010	13803.0
Nord-ovest	2011	14100.0
Nord-ovest	2012	11843.0
Nord-ovest	2013	12566.0
Nord-ovest	2014	11326.777777777777
Nord-ovest	2015	12078.444444444445
Nord-ovest	2016	12655.444444444445
Sud	2005	10442.0
Sud	2006	12336.0
Sud	2007	14321.0
Sud	2008	18889.0
Sud	2009	20946.0
Sud	2010	22398.0
Sud	2011	23039.0
Sud	2012	18131.0
Sud	2013	18858.0
Sud	2014	17706.666666666668
Sud	2015	18845.0
Sud	2016	19758.555555555555
