Year	Province	SMA 9 years
2005	Centro	87836.0
2005	Isole	2579.0
2005	Nord-est	63962.0
2005	Nord-ovest	88494.0
2005	Sud	9510.0
2006	Centro	104547.0
2006	Isole	3309.0
2006	Nord-est	76648.0
2006	Nord-ovest	105835.0
2006	Sud	11666.0
2007	Centro	120198.0
2007	Isole	4218.0
2007	Nord-est	88096.0
2007	Nord-ovest	120784.0
2007	Sud	14273.0
2008	Centro	202773.0
2008	Isole	21966.0
2008	Nord-est	146485.0
2008	Nord-ovest	208610.0
2008	Sud	53873.0
2009	Centro	262106.0
2009	Isole	34265.0
2009	Nord-est	179561.0
2009	Nord-ovest	253610.0
2009	Sud	77073.0
2010	Centro	294535.0
2010	Isole	42492.0
2010	Nord-est	194320.0
2010	Nord-ovest	275822.0
2010	Sud	91794.0
2011	Centro	320828.0
2011	Isole	50200.0
2011	Nord-est	208682.0
2011	Nord-ovest	293900.0
2011	Sud	107492.0
2012	Centro	255854.0
2012	Isole	44120.0
2012	Nord-est	189656.0
2012	Nord-ovest	259678.0
2012	Sud	97358.0
2013	Centro	281074.0
2013	Isole	50661.0
2013	Nord-est	213912.0
2013	Nord-ovest	288292.0
2013	Sud	113424.0
2014	Centro	214416.77777777778
2014	Isole	28201.11111111111
2014	Nord-est	151258.0
2014	Nord-ovest	210558.33333333334
2014	Sud	64051.444444444445
2015	Centro	242296.11111111112
2015	Isole	34586.88888888889
2015	Nord-est	170743.66666666666
2015	Nord-ovest	236916.33333333334
2015	Sud	77749.22222222222
2016	Centro	270634.77777777775
2016	Isole	41354.555555555555
2016	Nord-est	189837.11111111112
2016	Nord-ovest	262274.8888888889
2016	Sud	92135.11111111111
