Province	Year	SMA 9 years
Centro	2005	87836.0
Centro	2006	104547.0
Centro	2007	120198.0
Centro	2008	202773.0
Centro	2009	262106.0
Centro	2010	294535.0
Centro	2011	320828.0
Centro	2012	255854.0
Centro	2013	281074.0
Centro	2014	214416.77777777778
Centro	2015	242296.11111111112
Centro	2016	270634.77777777775
Isole	2005	2579.0
Isole	2006	3309.0
Isole	2007	4218.0
Isole	2008	21966.0
Isole	2009	34265.0
Isole	2010	42492.0
Isole	2011	50200.0
Isole	2012	44120.0
Isole	2013	50661.0
Isole	2014	28201.11111111111
Isole	2015	34586.88888888889
Isole	2016	41354.555555555555
Nord-est	2005	63962.0
Nord-est	2006	76648.0
Nord-est	2007	88096.0
Nord-est	2008	146485.0
Nord-est	2009	179561.0
Nord-est	2010	194320.0
Nord-est	2011	208682.0
Nord-est	2012	189656.0
Nord-est	2013	213912.0
Nord-est	2014	151258.0
Nord-est	2015	170743.66666666666
Nord-est	2016	189837.11111111112
Nord-ovest	2005	88494.0
Nord-ovest	2006	105835.0
Nord-ovest	2007	120784.0
Nord-ovest	2008	208610.0
Nord-ovest	2009	253610.0
Nord-ovest	2010	275822.0
Nord-ovest	2011	293900.0
Nord-ovest	2012	259678.0
Nord-ovest	2013	288292.0
Nord-ovest	2014	210558.33333333334
Nord-ovest	2015	236916.33333333334
Nord-ovest	2016	262274.8888888889
Sud	2005	9510.0
Sud	2006	11666.0
Sud	2007	14273.0
Sud	2008	53873.0
Sud	2009	77073.0
Sud	2010	91794.0
Sud	2011	107492.0
Sud	2012	97358.0
Sud	2013	113424.0
Sud	2014	64051.444444444445
Sud	2015	77749.22222222222
Sud	2016	92135.11111111111
