Province	Year	SMA 9 years
Centro	2005	11915.0
Centro	2006	12893.0
Centro	2007	14398.0
Centro	2008	15319.0
Centro	2009	16533.0
Centro	2010	17141.0
Centro	2011	17594.0
Centro	2012	13549.0
Centro	2013	14718.0
Centro	2014	14895.555555555555
Centro	2015	15361.555555555555
Centro	2016	15728.222222222223
Isole	2005	14329.0
Isole	2006	15009.0
Isole	2007	15136.0
Isole	2008	15290.0
Isole	2009	15829.0
Isole	2010	16517.0
Isole	2011	17468.0
Isole	2012	14649.0
Isole	2013	15455.0
Isole	2014	15520.222222222223
Isole	2015	15966.222222222223
Isole	2016	16366.333333333334
Nord-est	2005	26400.0
Nord-est	2006	28274.0
Nord-est	2007	30284.0
Nord-est	2008	32140.0
Nord-est	2009	34714.0
Nord-est	2010	35723.0
Nord-est	2011	36113.0
Nord-est	2012	27716.0
Nord-est	2013	28620.0
Nord-est	2014	31109.333333333332
Nord-est	2015	31637.222222222223
Nord-est	2016	31842.777777777777
Nord-ovest	2005	22158.0
Nord-ovest	2006	24044.0
Nord-ovest	2007	25925.0
Nord-ovest	2008	27606.0
Nord-ovest	2009	29695.0
Nord-ovest	2010	30818.0
Nord-ovest	2011	31330.0
Nord-ovest	2012	24242.0
Nord-ovest	2013	25964.0
Nord-ovest	2014	26864.666666666668
Nord-ovest	2015	27459.444444444445
Nord-ovest	2016	27736.666666666668
Sud	2005	5890.0
Sud	2006	5967.0
Sud	2007	5970.0
Sud	2008	6170.0
Sud	2009	6426.0
Sud	2010	6651.0
Sud	2011	6946.0
Sud	2012	5548.0
Sud	2013	6301.0
Sud	2014	6207.666666666667
Sud	2015	6332.222222222223
Sud	2016	6462.777777777777
