Data from series

CRE. PIB per cápita (euros)
Series	CRE41912
Periodicity	Anual
Unit	Euros
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	18.470	Primera estimación	
2016	17.790	Avance	
2015	17.271	Provisional	
2014	16.576	Definitivo	
2013	16.379	Definitivo	
2012	16.666	Definitivo	
2011	17.318	Definitivo	
2010	17.599	Definitivo	
2009	17.747	Definitivo	
2008	18.625	Definitivo	
2007	18.459	Definitivo	
2006	17.550	Definitivo	
2005	16.529	Definitivo	
2004	15.522	Definitivo	
2003	14.553	Definitivo	
2002	13.565	Definitivo	
2001	12.735	Definitivo	
2000	11.823	Definitivo	

CRE. PIB per cápita (euros)
Series	CRE41909
Periodicity	Anual
Unit	Euros
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	27.403	Primera estimación	
2016	26.097	Avance	
2015	25.302	Provisional	
2014	24.694	Definitivo	
2013	24.417	Definitivo	
2012	24.267	Definitivo	
2011	25.227	Definitivo	
2010	25.603	Definitivo	
2009	25.391	Definitivo	
2008	26.650	Definitivo	
2007	26.141	Definitivo	
2006	24.480	Definitivo	
2005	22.873	Definitivo	
2004	21.535	Definitivo	
2003	20.374	Definitivo	
2002	19.227	Definitivo	
2001	17.917	Definitivo	
2000	16.692	Definitivo	

CRE. PIB per cápita (euros)
Series	CRE41906
Periodicity	Anual
Unit	Euros
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	22.046	Primera estimación	
2016	20.855	Avance	
2015	20.324	Provisional	
2014	19.508	Definitivo	
2013	19.445	Definitivo	
2012	20.005	Definitivo	
2011	20.895	Definitivo	
2010	21.250	Definitivo	
2009	21.110	Definitivo	
2008	22.336	Definitivo	
2007	21.759	Definitivo	
2006	20.399	Definitivo	
2005	18.781	Definitivo	
2004	17.310	Definitivo	
2003	16.259	Definitivo	
2002	15.361	Definitivo	
2001	14.468	Definitivo	
2000	13.382	Definitivo	

CRE. PIB per cápita (euros)
Series	CRE41903
Periodicity	Anual
Unit	Euros
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	25.772	Primera estimación	
2016	25.063	Avance	
2015	24.198	Provisional	
2014	23.473	Definitivo	
2013	22.924	Definitivo	
2012	23.224	Definitivo	
2011	23.762	Definitivo	
2010	24.084	Definitivo	
2009	24.260	Definitivo	
2008	25.717	Definitivo	
2007	25.502	Definitivo	
2006	24.746	Definitivo	
2005	23.677	Definitivo	
2004	22.710	Definitivo	
2003	21.914	Definitivo	
2002	21.684	Definitivo	
2001	21.256	Definitivo	
2000	20.030	Definitivo	

CRE. PIB per cápita (euros)
Series	CRE41900
Periodicity	Anual
Unit	Euros
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	20.425	Primera estimación	
2016	19.821	Avance	
2015	19.233	Provisional	
2014	18.803	Definitivo	
2013	18.761	Definitivo	
2012	19.017	Definitivo	
2011	19.792	Definitivo	
2010	20.091	Definitivo	
2009	20.006	Definitivo	
2008	21.186	Definitivo	
2007	21.167	Definitivo	
2006	20.422	Definitivo	
2005	19.595	Definitivo	
2004	18.778	Definitivo	
2003	18.227	Definitivo	
2002	17.476	Definitivo	
2001	16.759	Definitivo	
2000	15.570	Definitivo	

CRE. PIB per cápita (euros)
Series	CRE41897
Periodicity	Anual
Unit	Euros
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	22.513	Primera estimación	
2016	21.574	Avance	
2015	20.900	Provisional	
2014	20.360	Definitivo	
2013	19.965	Definitivo	
2012	20.559	Definitivo	
2011	21.285	Definitivo	
2010	21.754	Definitivo	
2009	21.830	Definitivo	
2008	22.850	Definitivo	
2007	22.436	Definitivo	
2006	21.227	Definitivo	
2005	20.019	Definitivo	
2004	18.765	Definitivo	
2003	17.809	Definitivo	
2002	17.080	Definitivo	
2001	16.095	Definitivo	
2000	14.891	Definitivo	

CRE. PIB per cápita (euros)
Series	CRE41894
Periodicity	Anual
Unit	Euros
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	23.555	Primera estimación	
2016	22.723	Avance	
2015	21.770	Provisional	
2014	20.877	Definitivo	
2013	20.688	Definitivo	
2012	21.150	Definitivo	
2011	21.672	Definitivo	
2010	21.827	Definitivo	
2009	21.769	Definitivo	
2008	22.421	Definitivo	
2007	22.082	Definitivo	
2006	20.838	Definitivo	
2005	19.645	Definitivo	
2004	18.468	Definitivo	
2003	17.415	Definitivo	
2002	16.430	Definitivo	
2001	15.441	Definitivo	
2000	14.445	Definitivo	

CRE. PIB per cápita (euros)
Series	CRE41891
Periodicity	Anual
Unit	Euros
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	19.681	Primera estimación	
2016	18.849	Avance	
2015	18.225	Provisional	
2014	17.298	Definitivo	
2013	17.557	Definitivo	
2012	17.864	Definitivo	
2011	18.435	Definitivo	
2010	18.765	Definitivo	
2009	18.889	Definitivo	
2008	19.697	Definitivo	
2007	19.322	Definitivo	
2006	18.254	Definitivo	
2005	17.141	Definitivo	
2004	16.028	Definitivo	
2003	15.219	Definitivo	
2002	14.296	Definitivo	
2001	13.425	Definitivo	
2000	12.431	Definitivo	

CRE. PIB per cápita (euros)
Series	CRE41888
Periodicity	Anual
Unit	Euros
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	29.936	Primera estimación	
2016	28.825	Avance	
2015	27.790	Provisional	
2014	26.579	Definitivo	
2013	25.945	Definitivo	
2012	26.041	Definitivo	
2011	26.677	Definitivo	
2010	27.192	Definitivo	
2009	27.128	Definitivo	
2008	28.332	Definitivo	
2007	28.124	Definitivo	
2006	26.828	Definitivo	
2005	25.205	Definitivo	
2004	23.991	Definitivo	
2003	22.846	Definitivo	
2002	21.862	Definitivo	
2001	20.899	Definitivo	
2000	19.383	Definitivo	

CRE. PIB per cápita (euros)
Series	CRE41885
Periodicity	Anual
Unit	Euros
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	22.055	Primera estimación	
2016	21.232	Avance	
2015	20.436	Provisional	
2014	19.669	Definitivo	
2013	19.176	Definitivo	
2012	19.288	Definitivo	
2011	20.124	Definitivo	
2010	20.511	Definitivo	
2009	20.621	Definitivo	
2008	21.878	Definitivo	
2007	21.610	Definitivo	
2006	20.770	Definitivo	
2005	19.574	Definitivo	
2004	18.660	Definitivo	
2003	17.857	Definitivo	
2002	17.217	Definitivo	
2001	16.461	Definitivo	
2000	15.185	Definitivo	

CRE. PIB per cápita (euros)
Series	CRE41882
Periodicity	Anual
Unit	Euros
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	17.262	Primera estimación	
2016	16.558	Avance	
2015	16.061	Provisional	
2014	15.274	Definitivo	
2013	15.280	Definitivo	
2012	15.313	Definitivo	
2011	15.916	Definitivo	
2010	16.381	Definitivo	
2009	16.204	Definitivo	
2008	16.633	Definitivo	
2007	16.102	Definitivo	
2006	15.058	Definitivo	
2005	14.194	Definitivo	
2004	13.118	Definitivo	
2003	12.326	Definitivo	
2002	11.567	Definitivo	
2001	10.851	Definitivo	
2000	10.145	Definitivo	

CRE. PIB per cápita (euros)
Series	CRE41879
Periodicity	Anual
Unit	Euros
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	22.497	Primera estimación	
2016	21.542	Avance	
2015	20.669	Provisional	
2014	19.706	Definitivo	
2013	19.508	Definitivo	
2012	19.533	Definitivo	
2011	20.143	Definitivo	
2010	20.574	Definitivo	
2009	20.490	Definitivo	
2008	21.226	Definitivo	
2007	20.470	Definitivo	
2006	19.086	Definitivo	
2005	17.667	Definitivo	
2004	16.341	Definitivo	
2003	15.228	Definitivo	
2002	14.244	Definitivo	
2001	13.341	Definitivo	
2000	12.372	Definitivo	

CRE. PIB per cápita (euros)
Series	CRE41876
Periodicity	Anual
Unit	Euros
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	33.809	Primera estimación	
2016	32.815	Avance	
2015	31.807	Provisional	
2014	30.610	Definitivo	
2013	30.188	Definitivo	
2012	30.455	Definitivo	
2011	31.046	Definitivo	
2010	31.009	Definitivo	
2009	31.405	Definitivo	
2008	32.155	Definitivo	
2007	31.617	Definitivo	
2006	30.200	Definitivo	
2005	28.100	Definitivo	
2004	26.484	Definitivo	
2003	25.085	Definitivo	
2002	24.014	Definitivo	
2001	23.016	Definitivo	
2000	21.333	Definitivo	

CRE. PIB per cápita (euros)
Series	CRE41873
Periodicity	Anual
Unit	Euros
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	20.585	Primera estimación	
2016	19.865	Avance	
2015	19.270	Provisional	
2014	18.191	Definitivo	
2013	18.122	Definitivo	
2012	18.168	Definitivo	
2011	18.646	Definitivo	
2010	19.213	Definitivo	
2009	19.190	Definitivo	
2008	20.354	Definitivo	
2007	19.923	Definitivo	
2006	18.967	Definitivo	
2005	17.874	Definitivo	
2004	16.841	Definitivo	
2003	16.055	Definitivo	
2002	15.190	Definitivo	
2001	14.336	Definitivo	
2000	13.328	Definitivo	

CRE. PIB per cápita (euros)
Series	CRE41870
