Data from series

IPC Andalucía VALOR.
Series	IPC208892
Periodicity	Mensual
Unit	Índice
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2018M04	103,224	Definitivo	
2018M03	102,255	Definitivo	
2018M02	102,110	Definitivo	
2018M01	101,923	Definitivo	
2017M12	103,239	Definitivo	
2017M11	103,301	Definitivo	
2017M10	102,780	Definitivo	
2017M09	101,712	Definitivo	
2017M08	101,350	Definitivo	
2017M07	101,137	Definitivo	
2017M06	102,035	Definitivo	
2017M05	102,117	Definitivo	
2017M04	102,112	Definitivo	
2017M03	101,119	Definitivo	
2017M02	101,034	Definitivo	
2017M01	101,414	Definitivo	
2016M12	102,066	Definitivo	
2016M11	101,555	Definitivo	
2016M10	101,184	Definitivo	
2016M09	99,959	Definitivo	
2016M08	99,804	Definitivo	
2016M07	99,668	Definitivo	
2016M06	100,588	Definitivo	
2016M05	100,197	Definitivo	
2016M04	99,642	Definitivo	
2016M03	98,833	Definitivo	
2016M02	98,074	Definitivo	
2016M01	98,430	Definitivo	
2015M12	100,430	Definitivo	
2015M11	100,819	Definitivo	
2015M10	100,420	Definitivo	
2015M09	99,721	Definitivo	
2015M08	99,900	Definitivo	
2015M07	100,235	Definitivo	
2015M06	101,375	Definitivo	
2015M05	101,178	Definitivo	
2015M04	100,678	Definitivo	
2015M03	99,665	Definitivo	
2015M02	99,033	Definitivo	
2015M01	98,754	Definitivo	
2014M12	100,460	Definitivo	
2014M11	101,132	Definitivo	
2014M10	101,195	Definitivo	
2014M09	100,663	Definitivo	
2014M08	100,319	Definitivo	
2014M07	100,158	Definitivo	
2014M06	101,329	Definitivo	
2014M05	101,406	Definitivo	
2014M04	101,436	Definitivo	
2014M03	100,491	Definitivo	
2014M02	100,105	Definitivo	
2014M01	100,136	Definitivo	
2013M12	101,689	Definitivo	
2013M11	101,642	Definitivo	
2013M10	101,357	Definitivo	
2013M09	100,937	Definitivo	
2013M08	101,100	Definitivo	
2013M07	100,750	Definitivo	
2013M06	101,419	Definitivo	
2013M05	101,282	Definitivo	
2013M04	101,124	Definitivo	
2013M03	100,622	Definitivo	
2013M02	100,259	Definitivo	
2013M01	100,004	Definitivo	
2012M12	101,413	Definitivo	
2012M11	101,447	Definitivo	
2012M10	101,505	Definitivo	
2012M09	100,753	Definitivo	
2012M08	99,664	Definitivo	
2012M07	99,173	Definitivo	
2012M06	99,538	Definitivo	
2012M05	99,761	Definitivo	
2012M04	99,948	Definitivo	
2012M03	98,430	Definitivo	
