Data from series

DIRCE. Número de empresas
Series	DIR23892
Periodicity	Anual
Unit	Empresas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	501.745	Definitivo	
2016	489.347	Definitivo	
2015	480.094	Definitivo	
2014	468.930	Definitivo	
2013	471.521	Definitivo	
2012	482.334	Definitivo	
2011	492.341	Definitivo	
2010	498.579	Definitivo	
2009	510.072	Definitivo	
2008	522.815	Definitivo	
2007	511.728	Definitivo	
2006	486.674	Definitivo	
2005	464.179	Definitivo	
2004	441.623	Definitivo	
2003	417.006	Definitivo	
2002	398.302	Definitivo	
2001	384.086	Definitivo	
2000	376.646	Definitivo	
1999	359.426	Definitivo	

DIRCE. Número de empresas
Series	DIR27649
Periodicity	Anual
Unit	Empresas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	90.903	Definitivo	
2016	90.325	Definitivo	
2015	89.873	Definitivo	
2014	88.114	Definitivo	
2013	88.067	Definitivo	
2012	89.116	Definitivo	
2011	90.858	Definitivo	
2010	92.205	Definitivo	
2009	93.283	Definitivo	
2008	94.931	Definitivo	
2007	92.162	Definitivo	
2006	87.941	Definitivo	
2005	90.005	Definitivo	
2004	85.814	Definitivo	
2003	82.750	Definitivo	
2002	81.533	Definitivo	
2001	80.586	Definitivo	
2000	75.803	Definitivo	
1999	78.476	Definitivo	

DIRCE. Número de empresas
Series	DIR31406
Periodicity	Anual
Unit	Empresas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	68.368	Definitivo	
2016	67.675	Definitivo	
2015	67.451	Definitivo	
2014	66.342	Definitivo	
2013	66.869	Definitivo	
2012	68.967	Definitivo	
2011	69.877	Definitivo	
2010	70.362	Definitivo	
2009	71.853	Definitivo	
2008	73.124	Definitivo	
2007	72.276	Definitivo	
2006	70.115	Definitivo	
2005	68.175	Definitivo	
2004	67.039	Definitivo	
2003	65.062	Definitivo	
2002	63.209	Definitivo	
2001	65.301	Definitivo	
2000	63.133	Definitivo	
1999	46.612	Definitivo	

DIRCE. Número de empresas
Series	DIR35163
Periodicity	Anual
Unit	Empresas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	93.067	Definitivo	
2016	89.341	Definitivo	
2015	87.111	Definitivo	
2014	84.270	Definitivo	
2013	85.044	Definitivo	
2012	85.372	Definitivo	
2011	87.461	Definitivo	
2010	89.562	Definitivo	
2009	91.826	Definitivo	
2008	93.335	Definitivo	
2007	91.254	Definitivo	
2006	88.027	Definitivo	
2005	87.024	Definitivo	
2004	85.425	Definitivo	
2003	75.951	Definitivo	
2002	73.358	Definitivo	
2001	71.424	Definitivo	
2000	69.574	Definitivo	
1999	67.132	Definitivo	

DIRCE. Número de empresas
Series	DIR38920
Periodicity	Anual
Unit	Empresas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	141.595	Definitivo	
2016	135.909	Definitivo	
2015	132.857	Definitivo	
2014	128.518	Definitivo	
2013	129.566	Definitivo	
2012	131.315	Definitivo	
2011	132.488	Definitivo	
2010	135.954	Definitivo	
2009	139.381	Definitivo	
2008	143.471	Definitivo	
2007	140.414	Definitivo	
2006	132.810	Definitivo	
2005	128.020	Definitivo	
2004	120.294	Definitivo	
2003	117.871	Definitivo	
2002	113.165	Definitivo	
2001	108.619	Definitivo	
2000	105.232	Definitivo	
1999	100.008	Definitivo	

DIRCE. Número de empresas
Series	DIR42677
Periodicity	Anual
Unit	Empresas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	38.459	Definitivo	
2016	37.696	Definitivo	
2015	37.332	Definitivo	
2014	36.698	Definitivo	
2013	37.190	Definitivo	
2012	38.137	Definitivo	
2011	38.867	Definitivo	
2010	39.024	Definitivo	
2009	39.611	Definitivo	
2008	40.393	Definitivo	
2007	39.560	Definitivo	
2006	37.690	Definitivo	
2005	36.561	Definitivo	
2004	35.649	Definitivo	
2003	34.017	Definitivo	
2002	33.017	Definitivo	
2001	32.288	Definitivo	
2000	32.449	Definitivo	
1999	31.447	Definitivo	

DIRCE. Número de empresas
Series	DIR46434
Periodicity	Anual
Unit	Empresas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	161.619	Definitivo	
2016	161.364	Definitivo	
2015	161.119	Definitivo	
2014	159.473	Definitivo	
2013	162.153	Definitivo	
2012	164.994	Definitivo	
2011	166.509	Definitivo	
2010	168.972	Definitivo	
2009	170.626	Definitivo	
2008	173.209	Definitivo	
2007	170.319	Definitivo	
2006	163.856	Definitivo	
2005	159.196	Definitivo	
2004	155.004	Definitivo	
2003	151.448	Definitivo	
2002	147.496	Definitivo	
2001	147.775	Definitivo	
2000	148.440	Definitivo	
1999	143.953	Definitivo	

DIRCE. Número de empresas
Series	DIR50191
Periodicity	Anual
Unit	Empresas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	127.102	Definitivo	
2016	126.421	Definitivo	
2015	125.786	Definitivo	
2014	123.095	Definitivo	
2013	124.405	Definitivo	
2012	127.632	Definitivo	
2011	130.079	Definitivo	
2010	131.836	Definitivo	
2009	134.479	Definitivo	
2008	137.823	Definitivo	
2007	132.906	Definitivo	
2006	124.413	Definitivo	
2005	118.396	Definitivo	
2004	113.967	Definitivo	
2003	107.294	Definitivo	
2002	100.492	Definitivo	
2001	100.804	Definitivo	
2000	99.423	Definitivo	
1999	98.147	Definitivo	

DIRCE. Número de empresas
Series	DIR53948
Periodicity	Anual
Unit	Empresas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	608.981	Definitivo	
2016	596.196	Definitivo	
2015	584.369	Definitivo	
2014	576.565	Definitivo	
2013	580.804	Definitivo	
2012	592.192	Definitivo	
2011	601.801	Definitivo	
2010	609.670	Definitivo	
2009	619.624	Definitivo	
2008	626.020	Definitivo	
2007	612.404	Definitivo	
2006	578.340	Definitivo	
2005	567.019	Definitivo	
2004	543.719	Definitivo	
2003	525.557	Definitivo	
2002	515.173	Definitivo	
2001	494.153	Definitivo	
2000	492.546	Definitivo	
1999	489.656	Definitivo	

DIRCE. Número de empresas
Series	DIR57705
Periodicity	Anual
Unit	Empresas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	350.065	Definitivo	
2016	344.556	Definitivo	
2015	339.533	Definitivo	
2014	330.855	Definitivo	
2013	337.161	Definitivo	
2012	342.484	Definitivo	
2011	348.955	Definitivo	
2010	352.366	Definitivo	
2009	362.844	Definitivo	
2008	376.093	Definitivo	
2007	368.586	Definitivo	
2006	348.692	Definitivo	
2005	329.334	Definitivo	
2004	315.214	Definitivo	
2003	299.452	Definitivo	
2002	288.408	Definitivo	
2001	281.932	Definitivo	
2000	276.032	Definitivo	
1999	266.763	Definitivo	

DIRCE. Número de empresas
Series	DIR61462
Periodicity	Anual
Unit	Empresas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	65.844	Definitivo	
2016	65.484	Definitivo	
2015	64.475	Definitivo	
2014	62.929	Definitivo	
2013	63.353	Definitivo	
2012	64.671	Definitivo	
2011	65.103	Definitivo	
2010	65.573	Definitivo	
2009	67.181	Definitivo	
2008	67.852	Definitivo	
2007	66.232	Definitivo	
2006	63.084	Definitivo	
2005	61.898	Definitivo	
2004	55.568	Definitivo	
2003	58.306	Definitivo	
2002	57.419	Definitivo	
2001	47.765	Definitivo	
2000	48.305	Definitivo	
1999	46.501	Definitivo	

DIRCE. Número de empresas
Series	DIR65219
Periodicity	Anual
Unit	Empresas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	198.923	Definitivo	
2016	197.538	Definitivo	
2015	195.595	Definitivo	
2014	191.745	Definitivo	
2013	192.998	Definitivo	
2012	194.511	Definitivo	
2011	196.535	Definitivo	
2010	198.874	Definitivo	
2009	201.263	Definitivo	
2008	203.374	Definitivo	
2007	200.020	Definitivo	
2006	191.642	Definitivo	
2005	185.722	Definitivo	
2004	180.977	Definitivo	
2003	174.077	Definitivo	
2002	165.726	Definitivo	
2001	167.732	Definitivo	
2000	166.072	Definitivo	
1999	157.045	Definitivo	

DIRCE. Número de empresas
Series	DIR68976
Periodicity	Anual
Unit	Empresas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	526.156	Definitivo	
2016	516.412	Definitivo	
2015	508.612	Definitivo	
2014	494.509	Definitivo	
2013	496.003	Definitivo	
2012	499.098	Definitivo	
2011	501.669	Definitivo	
2010	503.501	Definitivo	
2009	511.804	Definitivo	
2008	519.307	Definitivo	
2007	503.000	Definitivo	
2006	478.202	Definitivo	
2005	456.175	Definitivo	
2004	436.074	Definitivo	
2003	407.655	Definitivo	
2002	384.638	Definitivo	
2001	377.785	Definitivo	
2000	365.083	Definitivo	
1999	357.833	Definitivo	

DIRCE. Número de empresas
Series	DIR72733
Periodicity	Anual
Unit	Empresas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	93.574	Definitivo	
2016	92.008	Definitivo	
2015	90.031	Definitivo	
2014	86.782	Definitivo	
2013	87.146	Definitivo	
2012	88.606	Definitivo	
2011	90.856	Definitivo	
2010	92.196	Definitivo	
2009	95.636	Definitivo	
2008	100.075	Definitivo	
2007	97.374	Definitivo	
2006	90.698	Definitivo	
2005	85.110	Definitivo	
2004	82.484	Definitivo	
2003	75.973	Definitivo	
2002	72.547	Definitivo	
2001	69.865	Definitivo	
2000	68.131	Definitivo	
1999	65.523	Definitivo	

DIRCE. Número de empresas
Series	DIR76490
Periodicity	Anual
Unit	Empresas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	44.120	Definitivo	
2016	43.907	Definitivo	
2015	43.131	Definitivo	
2014	41.582	Definitivo	
2013	40.860	Definitivo	
2012	41.305	Definitivo	
2011	41.541	Definitivo	
2010	42.347	Definitivo	
2009	43.282	Definitivo	
2008	43.847	Definitivo	
2007	43.142	Definitivo	
2006	41.083	Definitivo	
2005	40.730	Definitivo	
2004	39.679	Definitivo	
2003	38.936	Definitivo	
2002	37.333	Definitivo	
2001	36.606	Definitivo	
2000	32.818	Definitivo	
1999	38.294	Definitivo	

DIRCE. Número de empresas
Series	DIR80247
Periodicity	Anual
Unit	Empresas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	140.290	Definitivo	
2016	151.216	Definitivo	
2015	148.575	Definitivo	
2014	149.245	Definitivo	
2013	153.709	Definitivo	
2012	159.005	Definitivo	
2011	165.496	Definitivo	
2010	169.782	Definitivo	
2009	172.152	Definitivo	
2008	175.303	Definitivo	
2007	164.431	Definitivo	
2006	161.376	Definitivo	
2005	157.539	Definitivo	
2004	155.666	Definitivo	
2003	154.703	Definitivo	
2002	152.211	Definitivo	
2001	152.722	Definitivo	
2000	150.163	Definitivo	
1999	146.928	Definitivo	

DIRCE. Número de empresas
Series	DIR84004
Periodicity	Anual
Unit	Empresas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	23.167	Definitivo	
2016	23.076	Definitivo	
2015	23.083	Definitivo	
2014	22.314	Definitivo	
2013	22.316	Definitivo	
2012	22.486	Definitivo	
2011	22.801	Definitivo	
2010	23.190	Definitivo	
2009	23.525	Definitivo	
2008	23.834	Definitivo	
2007	23.404	Definitivo	
2006	22.393	Definitivo	
2005	21.598	Definitivo	
2004	21.049	Definitivo	
2003	20.094	Definitivo	
2002	19.499	Definitivo	
2001	18.985	Definitivo	
2000	18.716	Definitivo	
1999	18.398	Definitivo	

DIRCE. Número de empresas
Series	DIR489074
Periodicity	Anual
Unit	Empresas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	3.844	Definitivo	
2016	3.762	Definitivo	
2015	3.749	Definitivo	
2014	3.590	Definitivo	
2013	3.610	Definitivo	
2012	3.622	Definitivo	
2011	3.642	Definitivo	
2010	3.615	Definitivo	
2009	3.689	Definitivo	
2008	3.724	Definitivo	

DIRCE. Número de empresas
Series	DIR484732
Periodicity	Anual
Unit	Empresas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	4.524	Definitivo	
2016	4.349	Definitivo	
2015	4.102	Definitivo	
2014	3.754	Definitivo	
2013	3.795	Definitivo	
2012	3.770	Definitivo	
2011	3.697	Definitivo	
2010	3.655	Definitivo	
2009	3.699	Definitivo	
2008	3.709	Definitivo	

Data item: .. Data not available
Data item: - Protected by statistical secrecy
