Data from series

Padrón: Población Total
Series	DPOP24496
Periodicity	Anual
Unit	Personas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	8.379.820	Definitivo	
2016	8.388.107	Definitivo	
2015	8.399.043	Definitivo	
2014	8.402.305	Definitivo	
2013	8.440.300	Definitivo	
2012	8.449.985	Definitivo	
2011	8.424.102	Definitivo	
2010	8.370.975	Definitivo	
2009	8.302.923	Definitivo	
2008	8.202.220	Definitivo	
2007	8.059.461	Definitivo	
2006	7.975.672	Definitivo	
2005	7.849.799	Definitivo	
2004	7.687.518	Definitivo	
2003	7.606.848	Definitivo	
2002	7.478.432	Definitivo	
2001	7.403.968	Definitivo	
2000	7.340.052	Definitivo	
1999	7.305.117	Definitivo	
1998	7.236.459	Definitivo	
1996	7.234.873	Definitivo	

Padrón: Población Total
Series	DPOP24499
Periodicity	Anual
Unit	Personas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	1.308.750	Definitivo	
2016	1.308.563	Definitivo	
2015	1.317.847	Definitivo	
2014	1.325.385	Definitivo	
2013	1.347.150	Definitivo	
2012	1.349.467	Definitivo	
2011	1.346.293	Definitivo	
2010	1.347.095	Definitivo	
2009	1.345.473	Definitivo	
2008	1.326.918	Definitivo	
2007	1.296.655	Definitivo	
2006	1.277.471	Definitivo	
2005	1.269.027	Definitivo	
2004	1.249.584	Definitivo	
2003	1.230.090	Definitivo	
2002	1.217.514	Definitivo	
2001	1.199.753	Definitivo	
2000	1.189.909	Definitivo	
1999	1.186.849	Definitivo	
1998	1.183.234	Definitivo	
1996	1.187.546	Definitivo	

Padrón: Población Total
Series	DPOP24502
Periodicity	Anual
Unit	Personas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	1.034.960	Definitivo	
2016	1.042.608	Definitivo	
2015	1.051.229	Definitivo	
2014	1.061.756	Definitivo	
2013	1.068.165	Definitivo	
2012	1.077.360	Definitivo	
2011	1.081.487	Definitivo	
2010	1.084.341	Definitivo	
2009	1.085.289	Definitivo	
2008	1.080.138	Definitivo	
2007	1.074.862	Definitivo	
2006	1.076.896	Definitivo	
2005	1.076.635	Definitivo	
2004	1.073.761	Definitivo	
2003	1.075.381	Definitivo	
2002	1.073.971	Definitivo	
2001	1.075.329	Definitivo	
2000	1.076.567	Definitivo	
1999	1.084.314	Definitivo	
1998	1.081.834	Definitivo	
1996	1.087.885	Definitivo	

Padrón: Población Total
Series	DPOP24505
Periodicity	Anual
Unit	Personas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	1.115.999	Definitivo	
2016	1.107.220	Definitivo	
2015	1.104.479	Definitivo	
2014	1.103.442	Definitivo	
2013	1.111.674	Definitivo	
2012	1.119.439	Definitivo	
2011	1.113.114	Definitivo	
2010	1.106.049	Definitivo	
2009	1.095.426	Definitivo	
2008	1.072.844	Definitivo	
2007	1.030.650	Definitivo	
2006	1.001.062	Definitivo	
2005	983.131	Definitivo	
2004	955.045	Definitivo	
2003	947.361	Definitivo	
2002	916.968	Definitivo	
2001	878.627	Definitivo	
2000	845.630	Definitivo	
1999	821.820	Definitivo	
1998	796.483	Definitivo	
1996	760.379	Definitivo	

Padrón: Población Total
Series	DPOP24508
Periodicity	Anual
Unit	Personas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	2.108.121	Definitivo	
2016	2.101.924	Definitivo	
2015	2.100.306	Definitivo	
2014	2.104.815	Definitivo	
2013	2.118.679	Definitivo	
2012	2.118.344	Definitivo	
2011	2.126.769	Definitivo	
2010	2.118.519	Definitivo	
2009	2.103.992	Definitivo	
2008	2.075.968	Definitivo	
2007	2.025.951	Definitivo	
2006	1.995.833	Definitivo	
2005	1.968.280	Definitivo	
2004	1.915.540	Definitivo	
2003	1.894.868	Definitivo	
2002	1.843.755	Definitivo	
2001	1.781.366	Definitivo	
2000	1.716.276	Definitivo	
1999	1.672.689	Definitivo	
1998	1.630.015	Definitivo	
1996	1.606.534	Definitivo	

Padrón: Población Total
Series	DPOP24511
Periodicity	Anual
Unit	Personas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	580.295	Definitivo	
2016	582.206	Definitivo	
2015	585.179	Definitivo	
2014	588.656	Definitivo	
2013	591.888	Definitivo	
2012	593.861	Definitivo	
2011	593.121	Definitivo	
2010	592.250	Definitivo	
2009	589.235	Definitivo	
2008	582.138	Definitivo	
2007	572.824	Definitivo	
2006	568.091	Definitivo	
2005	562.309	Definitivo	
2004	554.784	Definitivo	
2003	549.690	Definitivo	
2002	542.275	Definitivo	
2001	537.606	Definitivo	
2000	531.159	Definitivo	
1999	528.478	Definitivo	
1998	527.137	Definitivo	
1996	527.437	Definitivo	

Padrón: Población Total
Series	DPOP24514
Periodicity	Anual
Unit	Personas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	2.425.801	Definitivo	
2016	2.447.519	Definitivo	
2015	2.472.052	Definitivo	
2014	2.494.790	Definitivo	
2013	2.519.875	Definitivo	
2012	2.546.078	Definitivo	
2011	2.558.463	Definitivo	
2010	2.559.515	Definitivo	
2009	2.563.521	Definitivo	
2008	2.557.330	Definitivo	
2007	2.528.417	Definitivo	
2006	2.523.020	Definitivo	
2005	2.510.849	Definitivo	
2004	2.493.918	Definitivo	
2003	2.487.646	Definitivo	
2002	2.480.369	Definitivo	
2001	2.479.425	Definitivo	
2000	2.479.118	Definitivo	
1999	2.488.062	Definitivo	
1998	2.484.603	Definitivo	
1996	2.508.496	Definitivo	

Padrón: Población Total
Series	DPOP24517
Periodicity	Anual
Unit	Personas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	2.031.479	Definitivo	
2016	2.041.631	Definitivo	
2015	2.059.191	Definitivo	
2014	2.078.611	Definitivo	
2013	2.100.998	Definitivo	
2012	2.121.888	Definitivo	
2011	2.115.334	Definitivo	
2010	2.098.373	Definitivo	
2009	2.081.313	Definitivo	
2008	2.043.100	Definitivo	
2007	1.977.304	Definitivo	
2006	1.932.261	Definitivo	
2005	1.894.667	Definitivo	
2004	1.848.881	Definitivo	
2003	1.815.781	Definitivo	
2002	1.782.038	Definitivo	
2001	1.755.053	Definitivo	
2000	1.734.261	Definitivo	
1999	1.726.199	Definitivo	
1998	1.716.152	Definitivo	
1996	1.712.529	Definitivo	

Padrón: Población Total
Series	DPOP24520
Periodicity	Anual
Unit	Personas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	7.555.830	Definitivo	
2016	7.522.596	Definitivo	
2015	7.508.106	Definitivo	
2014	7.518.903	Definitivo	
2013	7.553.650	Definitivo	
2012	7.570.908	Definitivo	
2011	7.539.618	Definitivo	
2010	7.512.381	Definitivo	
2009	7.475.420	Definitivo	
2008	7.364.078	Definitivo	
2007	7.210.508	Definitivo	
2006	7.134.697	Definitivo	
2005	6.995.206	Definitivo	
2004	6.813.319	Definitivo	
2003	6.704.146	Definitivo	
2002	6.506.440	Definitivo	
2001	6.361.365	Definitivo	
2000	6.261.999	Definitivo	
1999	6.207.533	Definitivo	
1998	6.147.610	Definitivo	
1996	6.090.040	Definitivo	

Padrón: Población Total
Series	DPOP24523
Periodicity	Anual
Unit	Personas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	4.941.509	Definitivo	
2016	4.959.968	Definitivo	
2015	4.980.689	Definitivo	
2014	5.004.844	Definitivo	
2013	5.113.815	Definitivo	
2012	5.129.266	Definitivo	
2011	5.117.190	Definitivo	
2010	5.111.706	Definitivo	
2009	5.094.675	Definitivo	
2008	5.029.601	Definitivo	
2007	4.885.029	Definitivo	
2006	4.806.908	Definitivo	
2005	4.692.449	Definitivo	
2004	4.543.304	Definitivo	
2003	4.470.885	Definitivo	
2002	4.326.708	Definitivo	
