Continuous Register Statistics
Provinces
Population by nationality, communities, sex and year
Units: Persons

	Both sexes																				Males																				Females																				
	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	
TOTAL FOREIGNERS	
    Total Spain	4572807.0	4618581.0	4729644.0	5023487.0	5546238.0	5736258.0	5751487.0	5747734.0	5648671.0	5268762.0	4519554.0	4144166.0	3730610.0	3034326.0	2664168.0	1977946.0	1370657.0	923879.0	748954.0	637085.0	2305105.0	2341506.0	2409627.0	2570247.0	2854720.0	2975508.0	2998707.0	3017935.0	2992636.0	2802673.0	2395685.0	2215469.0	1992034.0	1605723.0	1414750.0	1048178.0	716837.0	471465.0	379336.0	322261.0	2267702.0	2277075.0	2320017.0	2453240.0	2691518.0	2760750.0	2752780.0	2729799.0	2656035.0	2466089.0	2123869.0	1928697.0	1738576.0	1428603.0	1249418.0	929767.0	653820.0	452413.0	369619.0	314824.0	
    02  Albacete	22966.0	23985.0	25171.0	27052.0	30383.0	32102.0	32083.0	32405.0	32811.0	31128.0	26348.0	22811.0	20552.0	16065.0	13318.0	9487.0	5084.0	1854.0	1261.0	1115.0	12486.0	13024.0	13598.0	14566.0	16375.0	17343.0	17363.0	17761.0	18170.0	17521.0	14835.0	12936.0	11771.0	9317.0	7882.0	5625.0	3004.0	1002.0	622.0	541.0	10480.0	10961.0	11573.0	12486.0	14008.0	14759.0	14720.0	14644.0	14641.0	13607.0	11513.0	9875.0	8781.0	6748.0	5436.0	3862.0	2080.0	852.0	639.0	574.0	
    03  Alicante/Alacant	325120.0	342686.0	364382.0	385225.0	469417.0	472610.0	466684.0	467099.0	462974.0	446368.0	392907.0	359150.0	321640.0	260316.0	245883.0	185598.0	132444.0	118961.0	102226.0	75722.0	164816.0	174643.0	186169.0	197499.0	241216.0	243550.0	240709.0	241929.0	240941.0	233990.0	206381.0	190060.0	170266.0	137110.0	128520.0	96709.0	67119.0	59107.0	50495.0	37393.0	160304.0	168043.0	178213.0	187726.0	228201.0	229060.0	225975.0	225170.0	222033.0	212378.0	186526.0	169090.0	151374.0	123206.0	117363.0	88890.0	65326.0	59854.0	51731.0	38330.0	
    04  Almería	137561.0	138340.0	138104.0	142810.0	146656.0	154404.0	155315.0	151159.0	143707.0	131330.0	116214.0	110656.0	93058.0	66181.0	56276.0	39403.0	29912.0	18957.0	15090.0	13260.0	76810.0	76998.0	76342.0	79097.0	81127.0	86415.0	89058.0	87558.0	83777.0	77152.0	69716.0	68824.0	57521.0	39300.0	34977.0	25017.0	20233.0	12427.0	10118.0	8902.0	60751.0	61342.0	61762.0	63713.0	65529.0	67989.0	66257.0	63601.0	59930.0	54178.0	46498.0	41832.0	35537.0	26881.0	21299.0	14386.0	9679.0	6530.0	4972.0	4358.0	
    01  Araba/Álava	26634.0	25547.0	26013.0	26693.0	28325.0	30228.0	28821.0	28210.0	26021.0	22840.0	19392.0	16857.0	15141.0	12058.0	10445.0	8031.0	5462.0	3818.0	2801.0	2460.0	13763.0	13335.0	13777.0	14250.0	15335.0	16661.0	15874.0	15616.0	14323.0	12571.0	10498.0	9123.0	8316.0	6620.0	5783.0	4395.0	2950.0	2004.0	1453.0	1263.0	12871.0	12212.0	12236.0	12443.0	12990.0	13567.0	12947.0	12594.0	11698.0	10269.0	8894.0	7734.0	6825.0	5438.0	4662.0	3636.0	2512.0	1814.0	1348.0	1197.0	
    33  Asturias	38884.0	40318.0	41340.0	45124.0	48394.0	50827.0	50399.0	49286.0	47119.0	40804.0	32720.0	30258.0	26797.0	22429.0	19691.0	14846.0	10848.0	7859.0	6048.0	6029.0	18187.0	18969.0	19572.0	21831.0	23376.0	25023.0	24793.0	24412.0	23373.0	19840.0	15233.0	13936.0	12305.0	10322.0	9063.0	6719.0	4954.0	3811.0	3023.0	3004.0	20697.0	21349.0	21768.0	23293.0	25018.0	25804.0	25606.0	24874.0	23746.0	20964.0	17487.0	16322.0	14492.0	12107.0	10628.0	8127.0	5894.0	4048.0	3025.0	3025.0	
    05  Ávila	10284.0	10739.0	11500.0	12601.0	13520.0	13912.0	13574.0	12613.0	12423.0	11782.0	8500.0	7026.0	6073.0	4448.0	3514.0	2350.0	1248.0	890.0	700.0	662.0	5014.0	5247.0	5677.0	6330.0	6900.0	7230.0	7070.0	6654.0	6705.0	6439.0	4466.0	3609.0	3111.0	2203.0	1694.0	1136.0	603.0	410.0	301.0	287.0	5270.0	5492.0	5823.0	6271.0	6620.0	6682.0	6504.0	5959.0	5718.0	5343.0	4034.0	3417.0	2962.0	2245.0	1820.0	1214.0	645.0	480.0	399.0	376.0	
    06  Badajoz	18765.0	20098.0	20325.0	22689.0	25622.0	25975.0	25413.0	24040.0	22760.0	21569.0	16771.0	14566.0	12466.0	8600.0	7167.0	5436.0	4007.0	2778.0	2351.0	2138.0	9103.0	9935.0	10195.0	11619.0	13177.0	13457.0	13176.0	12527.0	12166.0	11724.0	8821.0	7670.0	6548.0	4389.0	3581.0	2747.0	2072.0	1453.0	1234.0	1133.0	9662.0	10163.0	10130.0	11070.0	12445.0	12518.0	12237.0	11513.0	10594.0	9845.0	7950.0	6896.0	5918.0	4211.0	3586.0	2689.0	1935.0	1325.0	1117.0	1005.0	
    07  Balears, Illes	186933.0	188896.0	192518.0	203112.0	224406.0	242570.0	242812.0	242256.0	237562.0	223036.0	190170.0	167751.0	156270.0	131423.0	126505.0	99744.0	73614.0	54729.0	45017.0	38093.0	93562.0	94651.0	96823.0	102487.0	113935.0	124090.0	124547.0	125095.0	123658.0	116118.0	98128.0	86433.0	80747.0	67658.0	65093.0	51120.0	36836.0	26427.0	21315.0	17868.0	93371.0	94245.0	95695.0	100625.0	110471.0	118480.0	118265.0	117161.0	113904.0	106918.0	92042.0	81318.0	75523.0	63765.0	61412.0	48624.0	36777.0	28302.0	23702.0	20224.0	
    08  Barcelona	711314.0	688463.0	685843.0	729667.0	771990.0	792071.0	793720.0	805487.0	802006.0	745216.0	669263.0	645737.0	569305.0	469236.0	398459.0	275892.0	182242.0	121358.0	96499.0	83766.0	363646.0	354959.0	355070.0	378657.0	402709.0	417493.0	421380.0	429662.0	431759.0	402221.0	360084.0	351517.0	310509.0	254729.0	218898.0	150608.0	97396.0	63261.0	50047.0	43606.0	347668.0	333504.0	330773.0	351010.0	369281.0	374578.0	372340.0	375825.0	370247.0	342995.0	309179.0	294220.0	258796.0	214507.0	179561.0	125284.0	84846.0	58097.0	46452.0	40159.0	
    48  Bizkaia	67750.0	66286.0	65255.0	68159.0	73868.0	75534.0	72256.0	68710.0	65985.0	58562.0	50092.0	43395.0	36217.0	28876.0	23908.0	18661.0	13120.0	9419.0	7633.0	7437.0	33715.0	33022.0	32390.0	33875.0	36993.0	38164.0	36436.0	34568.0	33218.0	29066.0	24405.0	21329.0	17975.0	14380.0	11860.0	9183.0	6368.0	4621.0	3827.0	3772.0	34035.0	33264.0	32865.0	34284.0	36875.0	37370.0	35820.0	34142.0	32767.0	29496.0	25687.0	22066.0	18242.0	14496.0	12048.0	9478.0	6751.0	4798.0	3806.0	3665.0	
    09  Burgos	24289.0	25675.0	26765.0	28604.0	32522.0	34618.0	34853.0	34566.0	34671.0	32073.0	23680.0	20875.0	17357.0	13331.0	10908.0	7777.0	4386.0	2257.0	2006.0	1917.0	12277.0	13102.0	13758.0	14907.0	17202.0	18729.0	18978.0	19036.0	19415.0	18070.0	12931.0	11320.0	9328.0	6972.0	5603.0	3931.0	2098.0	1056.0	935.0	890.0	12012.0	12573.0	13007.0	13697.0	15320.0	15889.0	15875.0	15530.0	15256.0	14003.0	10749.0	9555.0	8029.0	6359.0	5305.0	3846.0	2288.0	1201.0	1072.0	1026.0	
