	Province	Country	Year	Value
0	País Vasco	ALB	1998	38.0
1	País Vasco	ALB	1999	38.0
2	País Vasco	ALB	2000	20.0
3	País Vasco	ALB	2001	15.0
4	País Vasco	ALB	2002	10.0
5	País Vasco	ALB	2003	10.0
6	País Vasco	ALB	2004	5.0
7	País Vasco	ALB	2005	6.0
8	País Vasco	ALB	2006	6.0
9	País Vasco	ALB	2007	8.0
10	País Vasco	ALB	2008	8.0
11	País Vasco	ALB	2009	12.0
12	País Vasco	ALB	2010	11.0
13	País Vasco	ALB	2011	9.0
14	País Vasco	ALB	2012	8.0
15	País Vasco	ALB	2013	6.0
16	País Vasco	ALB	2014	4.0
17	País Vasco	ALB	2015	2.0
18	País Vasco	ALB	2016	2.0
19	País Vasco	ALB	2017	3.0
20	País Vasco	DZA	1998	1479.0
21	País Vasco	DZA	1999	1608.0
22	País Vasco	DZA	2000	1553.0
23	País Vasco	DZA	2001	1387.0
24	País Vasco	DZA	2002	1145.0
25	País Vasco	DZA	2003	939.0
26	País Vasco	DZA	2004	839.0
27	País Vasco	DZA	2005	742.0
28	País Vasco	DZA	2006	715.0
29	País Vasco	DZA	2007	573.0
30	País Vasco	DZA	2008	453.0
31	País Vasco	DZA	2009	438.0
32	País Vasco	DZA	2010	393.0
33	País Vasco	DZA	2011	338.0
34	País Vasco	DZA	2012	218.0
35	País Vasco	DZA	2013	166.0
36	País Vasco	DZA	2014	81.0
37	País Vasco	DZA	2015	60.0
38	País Vasco	DZA	2016	37.0
39	País Vasco	DZA	2017	23.0
40	País Vasco	AND	1998	2.0
41	País Vasco	AND	1999	2.0
42	País Vasco	AND	2000	2.0
43	País Vasco	AND	2001	2.0
44	País Vasco	AND	2002	2.0
45	País Vasco	AND	2003	2.0
46	País Vasco	AND	2004	2.0
47	País Vasco	AND	2005	0.0
48	País Vasco	AND	2006	3.0
49	País Vasco	AND	2007	3.0
50	País Vasco	AND	2008	2.0
51	País Vasco	AND	2009	2.0
52	País Vasco	AND	2010	2.0
53	País Vasco	AND	2011	2.0
54	País Vasco	AND	2012	1.0
