Year	Province	poblacion_total	tasa_bruta_mortalidad	tasa_bruta_natalidad	tasa_fecundidad	PIB_pc	tasa_actividad	tasa_paro	ocupados
2002	Andalucía	7478432.0	8.301816	11.007551	41.570191	13565.0	52.4525	19.495	2548.3
2002	Aragón	1217514.0	10.664794	8.511302	35.48223	19227.0	51.352500000000006	5.8475	502.42499999999995
2002	Canarias	1843755.0	6.854558	11.244758	40.140315	17476.0	57.2975	11.0825	723.1249999999999
2002	Cantabria	542275.0	9.800389	8.467179	32.716257	17080.0	50.7825	10.024999999999999	211.85000000000002
2002	Castilla - La Mancha	1782038.0	9.886802	9.628059	39.669959	14296.0	50.370000000000005	9.522499999999999	666.35
2002	Castilla y León	2480369.0	10.719508	7.363585	30.870637	16430.0	48.902499999999996	10.465	924.8
2002	Cataluña	6506440.0	8.942962	10.594246	41.254745	21862.0	59.065000000000005	10.17	2904.525
2002	Comunidad Foral de Navarra	569628.0	8.869508	10.314869	41.253439	22652.0	56.2775	5.835000000000001	249.9
2002	Comunidad de Madrid	5527152.0	7.062868	11.35568	40.939349	24014.0	58.74	7.297499999999999	2546.55
2002	Comunitat Valenciana	4326708.0	8.937501	10.387791	40.070869	17217.0	56.36	10.815	1793.85
2002	Cueta	76152.0	7.184341	14.439255	53.783331	15671.0	45.01	7.025	22.974999999999998
2002	Extremadura	1073050.0	9.970428	9.241714	37.93833	11567.0	49.675000000000004	19.042499999999997	348.3
2002	Galicia	2737370.0	10.502901	7.159368	28.850559	14244.0	50.39	12.1475	1036.6499999999999
2002	Illes Balears	916968.0	8.213955	12.031124	45.090702	21684.0	61.07	7.615	405.275
2002	La Rioja	281614.0	9.363924	9.157733	36.941706	19673.0	52.7825	7.05	117.39999999999999
2002	Melilla	69184.0	6.812944	16.024166	59.073404	15203.0	47.8275	4.220000000000001	22.325
2002	País Vasco	2108281.0	8.923426	8.68725	33.816374	22117.0	55.019999999999996	9.56	897.6500000000001
2002	Principado de Asturias	1073971.0	11.697543	6.335541	25.281259	15361.0	44.192499999999995	9.805	374.04999999999995
2002	Región de Murcia	1226993.0	7.710928	12.650627	47.789706	15190.0	56.087500000000006	11.295	493.69999999999993
2003	Andalucía	7606848.0	8.595125	11.415453	43.182628	14553.0	53.1625	18.45	2658.75
2003	Aragón	1230090.0	11.120937	8.933132	37.332447	20374.0	53.355000000000004	6.632499999999999	522.825
2003	Canarias	1894868.0	6.935218	10.82683	38.769043	18227.0	58.745	11.34	762.1
2003	Cantabria	549690.0	9.908479	8.943141	34.764927	17809.0	52.705	10.41	221.45
2003	Castilla - La Mancha	1815781.0	9.82503	9.945694	40.826086	15219.0	51.650000000000006	10.1375	693.4499999999999
2003	Castilla y León	2487646.0	10.944187	7.541049	31.741006	17415.0	49.862500000000004	11.102500000000001	940.05
2003	Cataluña	6704146.0	9.145703	11.027743	43.093147	22846.0	60.845	10.252500000000001	3059.5750000000003
2003	Comunidad Foral de Navarra	578210.0	9.165609	10.7954	43.387682	23733.0	56.684999999999995	5.7975	255.35000000000002
2003	Comunidad de Madrid	5718942.0	7.257508	11.745079	42.481153	25085.0	59.455	7.3675	2637.35
2003	Comunitat Valenciana	4470885.0	9.156612	10.800059	41.832204	17857.0	57.3775	11.2425	1871.125
2003	Cueta	74931.0	6.956299	14.263927	53.380628	16685.0	49.644999999999996	9.459999999999999	24.825
2003	Extremadura	1073904.0	10.56756	9.376862	38.419693	12326.0	50.165000000000006	17.29	361.90000000000003
2003	Galicia	2751094.0	11.009213	7.543739	30.554354	15228.0	52.1725	12.6725	1071.35
2003	Illes Balears	947361.0	8.184568	11.855661	44.427204	21914.0	62.755	9.775	422.32500000000005
2003	La Rioja	287390.0	9.483571	9.977217	40.288363	20838.0	53.605	6.0325	123.05
2003	Melilla	68463.0	6.987909	17.038801	63.665762	16358.0	49.4	8.355	21.75
2003	País Vasco	2112204.0	9.205056	9.187892	36.160289	23306.0	56.15	9.5	919.925
2003	Principado de Asturias	1075381.0	12.00532	6.690857	26.9592	16259.0	46.265	11.3	385.7
2003	Región de Murcia	1269230.0	7.697211	13.043378	49.407958	16055.0	57.425000000000004	10.787500000000001	522.75
2004	Andalucía	7687518.0	8.241095	11.638409	44.088025	15522.0	53.9275	16.9925	2790.0
2004	Aragón	1249584.0	10.586585	9.206914	38.573644	21535.0	54.7175	5.6575	546.975
2004	Canarias	1915540.0	6.85171	10.513765	37.757104	18778.0	59.0175	11.9225	783.075
2004	Cantabria	554784.0	9.463271	9.183765	35.95068	18765.0	53.44499999999999	10.5625	226.82500000000002
2004	Castilla - La Mancha	1848881.0	9.429978	10.005194	40.831171	16028.0	52.415	9.5125	723.4250000000001
2004	Castilla y León	2493918.0	10.641651	7.635519	32.266786	18468.0	50.5525	10.7075	960.825
2004	Cataluña	6813319.0	8.509844	11.348424	44.538552	23991.0	61.464999999999996	9.722499999999998	3171.0249999999996
2004	Comunidad Foral de Navarra	584734.0	8.629122	10.854101	43.863358	25034.0	57.537499999999994	5.5725	262.825
2004	Comunidad de Madrid	5804829.0	6.937545	11.884891	43.229372	26484.0	60.875	6.737500000000001	2764.3
2004	Comunitat Valenciana	4543304.0	8.536058	10.888095	42.354757	18660.0	58.28	10.4575	1968.325
2004	Cueta	74654.0	6.860041	14.823837	55.825482	17540.0	48.6125	10.8525	24.049999999999997
2004	Extremadura	1075286.0	9.773656	9.284082	37.941736	13118.0	50.739999999999995	17.25	368.875
2004	Galicia	2750985.0	10.515579	7.597819	30.949206	16341.0	53.2025	13.5375	1086.0
2004	Illes Balears	955045.0	7.63001	11.679868	43.832915	22710.0	63.207499999999996	9.1675	440.94999999999993
2004	La Rioja	293553.0	9.05769	9.985203	40.40499	21603.0	55.2025	5.9475	129.625
2004	Melilla	68016.0	7.037678	15.390088	58.118317	17524.0	56.2675	17.5875	22.275
2004	País Vasco	2115279.0	8.861801	9.286412	36.94077	24732.0	56.875	9.817499999999999	932.0
2004	Principado de Asturias	1073761.0	11.815705	6.795678	27.660144	17310.0	46.43	10.322500000000002	391.5
2004	Región de Murcia	1294694.0	7.426768	12.908412	49.052822	16841.0	58.74	10.7275	549.2
2005	Andalucía	7849799.0	8.445523	11.764963	44.641158	16529.0	54.662499999999994	13.825000000000001	2999.1500000000005
2005	Aragón	1269027.0	10.825917	9.200685	38.618944	22873.0	57.245000000000005	5.8950000000000005	578.65
2005	Canarias	1968280.0	6.821155	10.726572	38.651094	19595.0	59.527499999999996	11.707500000000001	815.7
2005	Cantabria	562309.0	9.624303	9.439703	37.213216	20019.0	54.900000000000006	8.504999999999999	241.125
2005	Castilla - La Mancha	1894667.0	9.512692	10.029273	40.68046	17141.0	54.5175	9.225	773.75
2005	Castilla y León	2510849.0	11.042267	7.808943	33.112517	19645.0	52.625	8.7525	1026.85
2005	Cataluña	6995206.0	8.896187	11.48669	45.293711	25205.0	62.09	6.915	3371.525
2005	Comunidad Foral de Navarra	593472.0	8.837904	10.458867	42.463616	26594.0	60.05	5.654999999999999	277.45000000000005
