Province	Year	Exp Smoothing 0.5 alpha	Exp Smoothing 0.65 alpha	Exp Smoothing 0.8 alpha	Exp Smoothing 0.95 alpha
Andalucía	2003	9338.0	9338.0	9338.0	9338.0
Andalucía	2004	9338.0	9338.0	9338.0	9338.0
Andalucía	2005	9195.0	9152.1	9109.2	9066.3
Andalucía	2006	8945.5	8855.635	8778.64	8714.515
Andalucía	2007	8649.75	8529.57225	8438.928	8372.02575
Andalucía	2008	8113.375	7910.4002875	7749.3856	7616.7512875
Andalucía	2009	6560.6875	6023.840100625	5556.27712	5138.437564375
Andalucía	2010	4738.34375	4003.7440352187496	3444.0554239999997	3027.12187821875
Andalucía	2011	3319.671875	2636.9604123265626	2209.6110848	1957.3060939109375
Andalucía	2012	2268.3359375	1713.9861443142968	1415.52221696	1254.015304695547
Andalucía	2013	1601.66796875	1207.645150510004	1031.104443392	950.9507652347774
Andalucía	2014	1103.333984375	815.9258026785014	690.2208886783999	622.297538261739
Andalucía	2015	769.6669921875	568.9740309374755	486.84417773568	445.31487691308695
Andalucía	2016	529.83349609375	387.64091082811643	329.368835547136	297.76574384565436
Aragón	2003	4302.0	4302.0	4302.0	4302.0
Aragón	2004	4302.0	4302.0	4302.0	4302.0
Aragón	2005	4304.0	4304.6	4305.2	4305.8
Aragón	2006	4314.0	4317.21	4320.24	4323.09
Aragón	2007	4323.0	4326.8235	4329.648	4331.5545
Aragón	2008	4098.0	4031.838225	3964.3296	3895.927725
Aragón	2009	3256.5	2980.89337875	2724.86592	2489.04638625
Aragón	2010	2339.75	1968.2626825625	1683.373184	1476.3023193125
Aragón	2011	1749.375	1442.2419388968751	1263.8746368	1174.8651159656251
Aragón	2012	1298.1875	1055.3346786139064	930.3749273599999	863.3932557982812
Aragón	2013	977.09375	795.7671375148673	710.8749854719999	666.3696627899141
Aragón	2014	721.046875	580.7684981302035	514.1749970943999	475.0684831394957
Aragón	2015	483.0234375	362.5189743455712	298.83499941888	256.5034241569748
Aragón	2016	292.01171875	192.53164102094993	140.566999883776	108.77517120784876
Canarias	2003	2531.0	2531.0	2531.0	2531.0
Canarias	2004	2531.0	2531.0	2531.0	2531.0
Canarias	2005	2410.0	2373.7	2337.4	2301.1
Canarias	2006	2302.0	2256.895	2222.68	2199.355
Canarias	2007	2166.5	2110.06325	2069.336	2039.41775
Canarias	2008	1943.75	1857.1721375	1790.6671999999999	1736.9208875
Canarias	2009	1547.875	1398.810248125	1279.73344	1181.246044375
Canarias	2010	1136.4375	960.83358684375	835.946688	747.81230221875
Canarias	2011	813.21875	654.7917553953125	559.1893376	502.8906151109375
Canarias	2012	555.109375	422.2271143883594	349.43786752	307.2945307555469
Canarias	2013	423.0546875	336.92949003592577	302.687573504	291.81472653777735
Canarias	2014	324.52734375	264.825321512574	241.3375147008	229.29073632688886
Canarias	2015	228.763671875	179.1388625294009	154.66750294015998	137.81453681634446
Canarias	2016	142.8818359375	99.74860188529031	76.53350058803198	61.04072684081723
Cantabria	2003	423.0	423.0	423.0	423.0
Cantabria	2004	423.0	423.0	423.0	423.0
Cantabria	2005	417.5	415.85	414.2	412.55
Cantabria	2006	412.75	410.7475	409.24	408.2275
Cantabria	2007	406.875	404.411625	402.648	401.361375
Cantabria	2008	378.4375	369.04406875	360.5296	352.56806875
Cantabria	2009	313.71875	291.0154240625	271.30592	254.1784034375
Cantabria	2010	231.359375	198.705398421875	173.461184	154.258920171875
Cantabria	2011	171.1796875	141.69688944765625	123.4922368	113.16294600859375
Cantabria	2012	123.08984375	98.34391130667969	84.69844735999999	76.90814730042969
Cantabria	2013	81.544921875	60.42036895733789	48.939689472	41.84540736502149
Cantabria	2014	54.2724609375	38.697129135068266	31.3879378944	27.742270368251077
Cantabria	2015	37.13623046875	26.543995197273894	22.277587578880002	20.387113518412555
Cantabria	2016	28.568115234375	22.290398319045863	20.455517515776002	20.01935567592063
Castilla y León	2003	3370.0	3370.0	3370.0	3370.0
Castilla y León	2004	3370.0	3370.0	3370.0	3370.0
Castilla y León	2005	3372.0	3372.6	3373.2	3373.8
Castilla y León	2006	3422.0	3437.21	3452.24	3467.09
Castilla y León	2007	3513.5	3546.2735000000002	3574.448	3598.1045
Castilla y León	2008	3480.25	3481.745725	3472.4896	3454.555225
Castilla y León	2009	3007.125	2865.71100375	2721.69792	2580.02776125
Castilla y León	2010	2342.0625	2093.0488513125	1885.939584	1722.1513880625
Castilla y León	2011	1819.03125	1574.967097959375	1413.9879168	1317.307569403125
Castilla y León	2012	1386.515625	1171.3384842857813	1045.99758336	972.1653784701563
Castilla y León	2013	1133.7578125	982.6184695000235	913.999516672	885.5582689235079
Castilla y León	2014	922.87890625	806.7164643250082	752.3999033344	720.6779134461754
Castilla y León	2015	690.939453125	580.7007625137529	517.67998066688	472.0838956723088
Castilla y León	2016	529.4697265625	442.4452668798135	397.935996133376	373.20419478361543
Castilla-La Mancha	2003	2538.0	2538.0	2538.0	2538.0
Castilla-La Mancha	2004	2538.0	2538.0	2538.0	2538.0
Castilla-La Mancha	2005	2548.0	2551.0	2554.0	2557.0
Castilla-La Mancha	2006	2536.5	2534.1	2530.8	2526.6
Castilla-La Mancha	2007	2499.25	2487.235	2475.76	2465.23
Castilla-La Mancha	2008	2364.625	2320.03225	2279.152	2241.7615
Castilla-La Mancha	2009	2032.8125	1917.6612875	1816.6304	1728.038075
Castilla-La Mancha	2010	1659.40625	1507.081450625	1392.12608	1308.10190375
Castilla-La Mancha	2011	1324.703125	1170.9785077187498	1070.425216	1005.9050951875
Castilla-La Mancha	2012	1038.8515625	899.2924777015623	816.4850432000001	765.645254759375
Castilla-La Mancha	2013	859.92578125	757.4023671955468	708.09700864	685.2322627379688
Castilla-La Mancha	2014	707.962890625	626.4908285184414	586.419401728	562.4616131368984
Castilla-La Mancha	2015	575.4814453125	507.2217899814545	471.6838803456	448.9730806568449
Castilla-La Mancha	2016	451.24072265625	390.07762649350906	355.93677606912	333.09865403284226
Cataluña	2003	13457.0	13457.0	13457.0	13457.0
Cataluña	2004	13457.0	13457.0	13457.0	13457.0
Cataluña	2005	13524.0	13544.1	13564.2	13584.3
Cataluña	2006	13845.0	13948.335000000001	14045.64	14136.915
Cataluña	2007	14112.5	14228.91725	14313.128	14367.84575
Cataluña	2008	13555.25	13428.8210375	13261.0256	13066.4922875
Cataluña	2009	11650.125	11034.337363125	10448.20512	9911.074614375
Cataluña	2010	8961.5625	7939.46807709375	7108.041024	6454.90373071875
Cataluña	2011	6784.28125	5773.3638269828125	5107.2082048	4699.395186535938
Cataluña	2012	4980.640625	4085.7273394439844	3563.04164096	3253.119759326797
Cataluña	2013	3714.3203125	3021.2045688053945	2671.008328192	2488.25598796634
Cataluña	2014	2629.16015625	2061.021599081888	1769.4016656384001	1591.2127993983172
Cataluña	2015	1790.580078125	1340.1575596786606	1115.4803331276798	983.9606399699159
Cataluña	2016	1218.7900390625	889.6051458875312	740.6960666255359	663.8480319984958
Com. Foral de Navarra	2003	716.0	716.0	716.0	716.0
Com. Foral de Navarra	2004	716.0	716.0	716.0	716.0
Com. Foral de Navarra	2005	712.0	710.8	709.6	708.4
Com. Foral de Navarra	2006	714.5	714.8299999999999	715.52	716.57
Com. Foral de Navarra	2007	714.25	714.2905	714.304	714.1285
Com. Foral de Navarra	2008	691.125	684.201675	677.2608	670.306425
Com. Foral de Navarra	2009	608.0625	580.72058625	555.45216	532.2653212499999
Com. Foral de Navarra	2010	485.03125	438.5522051875	400.690432	370.5132660625
Com. Foral de Navarra	2011	402.515625	361.493271815625	336.1380864	322.525663303125
Com. Foral de Navarra	2012	344.2578125	312.42264513546877	296.02761728	287.82628316515627
Com. Foral de Navarra	2013	292.12890625	265.34792579741406	251.205523456	242.3913141582578
Com. Foral de Navarra	2014	242.564453125	218.3217740290949	204.64110469119998	195.4695657079129
Com. Foral de Navarra	2015	189.7822265625	165.4626209101832	150.52822093824	139.92347828539565
Com. Foral de Navarra	2016	131.89111328125	106.01191731856412	89.305644187648	77.29617391426979
Com. Valenciana	2003	9714.0	9714.0	9714.0	9714.0
Com. Valenciana	2004	9714.0	9714.0	9714.0	9714.0
Com. Valenciana	2005	9671.5	9658.75	9646.0	9633.25
Com. Valenciana	2006	9802.75	9837.6625	9876.4	9918.9625
Com. Valenciana	2007	9848.875	9874.931875	9891.28	9896.198125
Com. Valenciana	2008	9529.4375	9442.72615625	9346.256	9244.30990625
Com. Valenciana	2009	8375.71875	7999.2541546875	7646.8512	7323.115495312501
Com. Valenciana	2010	6905.859375	6333.138954140625	5878.1702399999995	5530.355774765625
Com. Valenciana	2011	5504.9296875	4884.198633949219	4458.834048	4175.317788738281
Com. Valenciana	2012	4192.96484375	3582.1195218822268	3196.5668096	2945.715889436914
Com. Valenciana	2013	3353.982421875	2888.4918326587795	2651.31336192	2536.5357944718457
Com. Valenciana	2014	2609.9912109375	2223.872141430573	2023.062672384	1899.5267897235922
Com. Valenciana	2015	1890.49560546875	1539.5052495007003	1341.4125344768	1207.4263394861796
Com. Valenciana	2016	1327.247802734375	1035.426837325245	879.48250689536	786.171316974309
Com. de Madrid	2003	25479.0	25479.0	25479.0	25479.0
Com. de Madrid	2004	25479.0	25479.0	25479.0	25479.0
Com. de Madrid	2005	26615.5	26956.45	27297.4	27638.35
Com. de Madrid	2006	27306.25	27632.8075	27857.08	27979.0675
Com. de Madrid	2007	27435.125	27588.082625	27622.616	27584.753375
Com. de Madrid	2008	27008.5625	26934.12891875	26790.1232	26632.13766875
Com. de Madrid	2009	25349.28125	24825.4451215625	24310.02464	23837.1068834375
Com. de Madrid	2010	23003.140625	22115.955792546876	21387.604928	20816.005344171874
Com. de Madrid	2011	20531.0703125	19478.934527391408	18724.7209856	18196.850267208592
Com. de Madrid	2012	17777.53515625	16583.227084586993	15764.14419712	15182.64251336043
Com. de Madrid	2013	16012.267578125	15064.679479605447	14550.428839424	14293.782125668022
Com. de Madrid	2014	13609.1337890625	12556.537817861907	11874.8857678848	11360.3891062834
Com. de Madrid	2015	11018.06689453125	9872.338236251668	9116.57715357696	8573.66945531417
Com. de Madrid	2016	7894.533447265625	6556.468382688084	5640.115430715392	4961.133472765709
Cueta	2003	14.0	14.0	14.0	14.0
Cueta	2004	14.0	14.0	14.0	14.0
Cueta	2005	14.0	14.0	14.0	14.0
Cueta	2006	14.0	14.0	14.0	14.0
Cueta	2007	12.5	12.05	11.6	11.15
Cueta	2008	10.25	9.4175	8.719999999999999	8.1575
Cueta	2009	6.125	4.596125	3.3439999999999994	2.307875
Cueta	2010	4.0625	2.90864375	2.2687999999999997	2.01539375
Cueta	2011	2.53125	1.6680253125	1.25376	1.0507696874999999
Cueta	2012	1.265625	0.5838088593749999	0.25075199999999986	0.05253848437500008
Cueta	2013	0.6328125	0.20433310078124994	0.050150399999999956	0.002626924218750007
Cueta	2014	0.31640625	0.07151658527343749	0.01003007999999999	0.0001313462109375006
Cueta	2015	0.158203125	0.025030804845703122	0.0020060159999999976	6.567310546875047e-06
Cueta	2016	0.0791015625	0.008760781695996093	0.00040120319999999935	3.2836552734375233e-07
Extremadura	2003	400.0	400.0	400.0	400.0
Extremadura	2004	400.0	400.0	400.0	400.0
Extremadura	2005	410.5	413.65	416.8	419.95
Extremadura	2006	397.75	395.0275	391.36	386.7475
Extremadura	2007	368.375	358.609625	349.472	341.387375
Extremadura	2008	338.1875	325.71336875	316.2944	309.66936875
Extremadura	2009	284.59375	264.1496790625	248.05888	234.93346843749998
Extremadura	2010	214.796875	186.702387671875	165.611776	149.49667342187502
Extremadura	2011	158.3984375	131.64583568515624	114.7223552	104.37483367109375
Extremadura	2012	115.19921875	92.87604248980469	80.54447103999999	73.61874168355469
Extremadura	2013	84.599609375	67.60661487143165	59.308894208	54.98093708417774
Extremadura	2014	64.7998046875	52.91231520500108	47.8617788416	45.499046854208885
Extremadura	2015	54.89990234375	47.769310321750375	45.57235576832	45.02495234271044
Extremadura	2016	43.449951171875	37.51925861261263	34.714471153664	32.651247617135525
Galicia	2003	389.0	389.0	389.0	389.0
Galicia	2004	389.0	389.0	389.0	389.0
Galicia	2005	379.0	376.0	373.0	370.0
Galicia	2006	370.0	366.25	363.4	361.45
Galicia	2007	347.5	339.4375	332.68	326.8225
Galicia	2008	315.25	302.753125	292.936	285.191125
Galicia	2009	240.125	213.21359375	190.5872	171.00955625
Galicia	2010	178.0625	150.0247578125	130.91744	118.75047781250001
Galicia	2011	126.03125	100.608665234375	85.383488	76.237523890625
Galicia	2012	88.015625	67.71303283203125	57.0766976	51.31187619453125
Galicia	2013	62.5078125	47.74956149121094	41.01533952	37.71559380972656
Galicia	2014	53.75390625	45.96234652192383	44.203067904	44.63577969048633
Galicia	2015	47.376953125	42.73682128267334	41.6406135808	41.18178898452432
Galicia	2016	41.6884765625	38.35788744893567	37.12812271616	36.25908944922622
Illes Balears	2003	4477.0	4477.0	4477.0	4477.0
Illes Balears	2004	4477.0	4477.0	4477.0	4477.0
Illes Balears	2005	4445.5	4436.05	4426.6	4417.15
Illes Balears	2006	4311.25	4267.6675000000005	4226.92	4189.0075
Illes Balears	2007	4123.125	4051.433625	3993.384	3947.700375
Illes Balears	2008	3818.0625	3701.45176875	3609.0768	3534.73501875
Illes Balears	2009	3213.03125	2990.7081190625	2808.21536	2654.3367509375003
Illes Balears	2010	2469.015625	2167.997841671875	1941.6430719999998	1771.466837546875
Illes Balears	2011	1805.5078125	1501.0992445851562	1301.9286143999998	1173.4733418773437
Illes Balears	2012	1269.25390625	1001.8347356048046	846.7857228799999	755.0236670938673
Illes Balears	2013	947.126953125	756.8921574616816	669.357144576	631.5011833546934
Illes Balears	2014	697.0634765625	555.4622551115885	491.4714289152	456.2250591677347
Illes Balears	2015	494.53173828125	384.211789289056	331.89428578304	300.21125295838675
Illes Balears	2016	333.765869140625	246.9241262511696	204.778857156608	179.36056264791932
La Rioja	2003	288.0	288.0	288.0	288.0
La Rioja	2004	288.0	288.0	288.0	288.0
La Rioja	2005	292.0	293.2	294.4	295.6
La Rioja	2006	315.0	322.32	329.28	335.88
La Rioja	2007	330.0	337.062	341.856	344.544
La Rioja	2008	325.5	326.62170000000003	325.1712	322.17719999999997
La Rioja	2009	282.25	269.667595	256.23424	243.15886
La Rioja	2010	202.625	174.33365824999998	149.64684799999998	129.007943
La Rioja	2011	141.3125	113.01678038749999	93.9293696	82.45039715
La Rioja	2012	96.15625	72.705873135625	59.58587392	52.5725198575
La Rioja	2013	71.078125	55.34705559746875	48.717174784	46.328625992875004
La Rioja	2014	50.5390625	38.87146945911407	33.7434349568	30.816431299643753
La Rioja	2015	32.76953125	23.355014310689924	18.74868699136	15.790821564982188
La Rioja	2016	20.384765625	13.374255008741473	10.149737398272	8.38954107824911
Melilla	2003	25.0	25.0	25.0	25.0
Melilla	2004	25.0	25.0	25.0	25.0
Melilla	2005	25.5	25.65	25.8	25.95
Melilla	2006	24.75	24.5775	24.36	24.0975
Melilla	2007	23.375	22.902125	22.472	22.104875
Melilla	2008	16.6875	14.51574375	12.494399999999999	10.605243750000001
Melilla	2009	10.34375	7.6805103125	5.698879999999999	4.330262187500001
Melilla	2010	6.671875	4.638178609375	3.539776	3.066513109375
Melilla	2011	3.8359375	2.27336251328125	1.5079552	1.10332565546875
Melilla	2012	1.91796875	0.7956768796484375	0.3015910399999999	0.0551662827734376
Melilla	2013	0.958984375	0.27848690787695307	0.060318207999999984	0.0027583141386718843
Melilla	2014	0.4794921875	0.09747041775693358	0.012063641599999994	0.0001379157069335943
Melilla	2015	0.23974609375	0.034114646214926755	0.002412728319999998	6.895785346679731e-06
Melilla	2016	0.119873046875	0.011940126175224365	0.00048254566399999954	3.4478926733398657e-07
País Vasco	2003	696.0	696.0	696.0	696.0
País Vasco	2004	696.0	696.0	696.0	696.0
