Province	Year	Exp Smoothing 0.5 alpha	Exp Smoothing 0.65 alpha	Exp Smoothing 0.8 alpha	Exp Smoothing 0.95 alpha
Andalucía	2003	106912.0	106912.0	106912.0	106912.0
Andalucía	2004	106912.0	106912.0	106912.0	106912.0
Andalucía	2005	103344.0	102273.6	101203.2	100132.8
Andalucía	2006	98256.5	96355.61	94775.84	93517.19
Andalucía	2007	93195.25	91011.5635	89462.368	88403.1595
Andalucía	2008	86412.625	83613.547225	81596.4736	80068.657975
Andalucía	2009	69453.3125	63385.841528749996	58314.49472	53872.73289875
Andalucía	2010	55253.15625	48869.4945350625	44505.298944	41693.9866449375
Andalucía	2011	40689.578125	34086.22308727187	29801.8597888	26904.399332246874
Andalucía	2012	26992.7890625	20572.578080545154	16597.17195776	13976.419966612344
Andalucía	2013	17385.89453125	12256.752328190803	9542.634391552001	8088.870998330617
Andalucía	2014	10505.947265625	6646.763314866781	4809.3268783104	3849.143549916531
Andalucía	2015	6137.4736328125	3476.217160203373	2377.06537566208	1873.0071774958267
Andalucía	2016	3269.73681640625	1477.9760060711806	797.0130751324159	475.5503588747913
Aragón	2003	67867.0	67867.0	67867.0	67867.0
Aragón	2004	67867.0	67867.0	67867.0	67867.0
Aragón	2005	66737.0	66398.0	66059.0	65720.0
Aragón	2006	65641.5	65194.2	64848.6	64604.7
Aragón	2007	64410.75	63884.97	63513.72	63251.235
Aragón	2008	60726.875	59437.6895	58337.144	57353.41175
Aragón	2009	50908.4375	47511.691325	44539.4288	41903.170587500004
Aragón	2010	40230.71875	35838.54196375	32550.28576	30170.508529375
Aragón	2011	32437.859375	28562.7396873125	26226.057152	24921.27542646875
Aragón	2012	24586.9296875	20875.358890559375	18634.0114304	17145.263771323436
Aragón	2013	18095.96484375	14849.625611695781	13010.802286080001	11882.013188566172
Aragón	2014	11951.482421875	8971.918964093522	7247.760457216	6110.750659428309
Aragón	2015	7290.2412109375	4849.021637432733	3552.7520914432	2803.0875329714154
Aragón	2016	3759.62060546875	1846.0075731014563	893.7504182886396	357.7043766485708
Canarias	2003	3747.0	3747.0	3747.0	3747.0
Canarias	2004	3747.0	3747.0	3747.0	3747.0
Canarias	2005	3538.5	3475.95	3413.4	3350.85
Canarias	2006	3245.75	3136.0325	3045.08	2972.8925
Canarias	2007	2956.875	2831.8113749999998	2743.416	2683.244625
Canarias	2008	2599.9375	2449.08398125	2343.0832	2265.01223125
Canarias	2009	2073.46875	1862.7293934374998	1706.21664	1582.9006115625
Canarias	2010	1596.734375	1379.955287703125	1237.243328	1143.145030578125
Canarias	2011	1257.3671875	1079.6843506960936	981.8486656	929.2572515289063
Canarias	2012	908.68359375	741.8895227436328	644.36973312	578.4628625764453
Canarias	2013	647.341796875	510.56133296027144	437.673946624	395.6231431288223
Canarias	2014	425.6708984375	311.296466536095	250.73478932479998	213.58115715644112
Canarias	2015	275.33544921875	190.20376328763325	150.14695786495997	129.42905785782204
Canarias	2016	164.667724609375	101.67131715067164	73.22939157299199	57.771452892891105
Cantabria	2003	6904.0	6904.0	6904.0	6904.0
Cantabria	2004	6904.0	6904.0	6904.0	6904.0
Cantabria	2005	6693.0	6629.7	6566.4	6503.1
Cantabria	2006	6393.0	6280.845	6187.68	6113.505
Cantabria	2007	6095.5	5966.99575	5875.936	5813.77525
Cantabria	2008	5613.25	5423.5985125	5279.9872	5165.1387625
Cantabria	2009	4269.625	3800.159479375	3396.79744	3037.9569381250003
Cantabria	2010	3278.3125	2816.60581778125	2508.959488	2324.54784690625
Cantabria	2011	2440.65625	2027.7620362234375	1784.1918976	1639.0773923453125
Cantabria	2012	1702.328125	1336.3167126782032	1128.03837952	997.7538696172657
Cantabria	2013	1089.6640625	777.7608494373711	607.207675904	503.0376934808633
Cantabria	2014	630.33203125	383.3662973030799	258.2415351808	187.60188467404316
Cantabria	2015	340.666015625	167.32820405607794	92.44830703615997	57.83009423370217
Cantabria	2016	176.8330078125	67.01487141962727	28.88966140723199	15.24150471168511
Castilla y León	2003	31944.0	31944.0	31944.0	31944.0
Castilla y León	2004	31944.0	31944.0	31944.0	31944.0
Castilla y León	2005	31062.5	30798.05	30533.6	30269.15
Castilla y León	2006	29752.25	29266.6175	28860.32	28533.3575
Castilla y León	2007	28499.625	27953.866125	27569.664	27311.317875
Castilla y León	2008	26465.8125	25664.65314375	25059.5328	24575.96589375
Castilla y León	2009	20425.90625	18333.5286003125	16520.70656	14895.4982946875
Castilla y León	2010	15791.953125	13669.435010109375	12230.541312	11344.874914734375
Castilla y León	2011	11909.4765625	10001.852253538282	8867.7082624	8192.89374573672
Castilla y León	2012	8329.73828125	6588.148288738399	5573.54165248	4922.144687286836
Castilla y León	2013	5559.369140625	4118.701901058439	3345.908330496	2895.657234364342
Castilla y León	2014	3285.6845703125	2099.3456653704534	1478.7816660991998	1106.1828617182173
Castilla y León	2015	1826.84228515625	973.9709828796585	590.1563332198399	404.90914308591084
Castilla y León	2016	955.921142578125	396.13984400788047	186.03126664396797	100.99545715429554
Castilla-La Mancha	2003	78955.0	78955.0	78955.0	78955.0
Castilla-La Mancha	2004	78955.0	78955.0	78955.0	78955.0
Castilla-La Mancha	2005	77560.5	77142.15	76723.8	76305.45
Castilla-La Mancha	2006	75380.25	74579.7525	73904.76	73355.2725
Castilla-La Mancha	2007	73275.625	72364.063375	71717.752	71280.213625
Castilla-La Mancha	2008	68988.8125	67383.72218124999	66105.1504	65030.91068125
Castilla-La Mancha	2009	57675.40625	53719.6027634375	50310.63008	47295.4455340625
Castilla-La Mancha	2010	45734.203125	40767.31096720313	37096.526016	34468.12227670313
Castilla-La Mancha	2011	36133.6015625	31515.008838521095	28645.7052032	26929.756113835156
Castilla-La Mancha	2012	26436.80078125	21911.25309348238	19121.14104064	17249.48780569176
Castilla-La Mancha	2013	18542.900390625	14590.788582718833	12343.428208128	10979.024390284589
Castilla-La Mancha	2014	11594.9501953125	8127.326003951592	6186.2856416256	4963.601219514229
Castilla-La Mancha	2015	6806.47509765625	4156.264101383057	2851.6571283251196	2165.2800609757114
Castilla-La Mancha	2016	3517.737548828125	1603.5424354840698	753.531425665024	325.8140030487857
Cataluña	2003	106023.0	106023.0	106023.0	106023.0
Cataluña	2004	106023.0	106023.0	106023.0	106023.0
Cataluña	2005	103964.0	103346.3	102728.6	102110.9
Cataluña	2006	101311.5	100299.55500000001	99472.92	98831.595
Cataluña	2007	98942.75	97877.94425	97153.784	96686.87975
Cataluña	2008	93510.375	91507.9804875	89893.1568	88508.4439875
Cataluña	2009	78522.1875	73324.893170625	68805.83136	64782.722199375
Cataluña	2010	64937.59375	59043.16260971875	54843.566272	52024.486109968755
Cataluña	2011	52132.796875	46228.30691340156	42431.1132544	39962.824305498434
Cataluña	2012	38260.8984375	32032.757419690548	27997.42265088	25167.69121527492
Cataluña	2013	26884.44921875	21291.66509689169	18005.884530176	15990.984560763747
Cataluña	2014	16694.224609375	11679.682783912092	8804.3769060352	6978.349228038187
Cataluña	2015	9520.6123046875	5613.438974369232	3638.4753812070394	2578.56746140191
Cataluña	2016	5049.80615234375	2341.053641029231	1190.8950762414079	678.9783730700956
Com. Foral de Navarra	2003	7791.0	7791.0	7791.0	7791.0
Com. Foral de Navarra	2004	7791.0	7791.0	7791.0	7791.0
Com. Foral de Navarra	2005	7487.5	7396.45	7305.4	7214.35
Com. Foral de Navarra	2006	7043.25	6878.1075	6740.28	6629.7675
Com. Foral de Navarra	2007	6554.625	6350.237625	6200.856	6094.188375
Com. Foral de Navarra	2008	5827.3125	5537.5831687499995	5320.1712	5149.70941875
Com. Foral de Navarra	2009	4458.15625	3946.0041090625	3535.2342399999998	3192.0354709375
Com. Foral de Navarra	2010	3504.578125	3039.2514381718747	2747.846848	2583.0517735468748
Com. Foral de Navarra	2011	2736.7890625	2343.588003360156	2124.7693696	1999.7025886773438
Com. Foral de Navarra	2012	2073.39453125	1736.7558011760548	1552.95387392	1439.4851294338673
Com. Foral de Navarra	2013	1570.197265625	1301.4145304116191	1164.190774784	1085.6242564716933
Com. Foral de Navarra	2014	1101.0986328125	866.2950856440666	738.4381549568	654.6812128235847
Com. Foral de Navarra	2015	744.54931640625	555.4032799754233	458.08763099135996	401.33406064117924
Com. Foral de Navarra	2016	468.774658203125	319.84114799139815	246.01752619827198	203.41670303205896
Com. Valenciana	2003	148331.0	148331.0	148331.0	148331.0
Com. Valenciana	2004	148331.0	148331.0	148331.0	148331.0
Com. Valenciana	2005	146229.0	145598.4	144967.8	144337.2
Com. Valenciana	2006	143810.0	142863.59	142106.36	141538.31
Com. Valenciana	2007	140666.5	139392.2065	138439.672	137723.7655
Com. Valenciana	2008	134381.75	132050.322275	130165.5344	128578.338275
Com. Valenciana	2009	115014.875	108388.81279625	102551.50688	97294.51691375
Com. Valenciana	2010	95612.9375	87473.2344786875	81479.101376	77265.1758456875
Com. Valenciana	2011	78110.46875	70010.83206754063	64782.2202752	61440.85879228437
Com. Valenciana	2012	60145.234375	51920.791223639215	46700.44405504	43143.04293961422
Com. Valenciana	2013	44047.6171875	36339.77692827373	31700.088811007998	28709.652146980712
Com. Valenciana	2014	29010.30859375	21801.371924895804	17518.4177622016	14709.832607349037
Com. Valenciana	2015	17337.654296875	11312.730173713531	8035.6835524403195	6117.241630367453
Com. Valenciana	2016	9173.8271484375	4615.955560799735	2415.1367104880637	1265.362081518373
Com. de Madrid	2003	219567.0	219567.0	219567.0	219567.0
Com. de Madrid	2004	219567.0	219567.0	219567.0	219567.0
Com. de Madrid	2005	219331.0	219260.2	219189.4	219118.6
Com. de Madrid	2006	215076.5	213775.37	212495.48	211236.83
Com. de Madrid	2007	208142.25	205606.5795	203465.496	201709.4415
Com. de Madrid	2008	198809.625	195122.352825	192274.6992	190088.622075
Com. de Madrid	2009	173857.8125	165081.72348875	157579.73984	150965.13110375
Com. de Madrid	2010	144206.90625	132240.0032210625	123160.747968	116376.4565551875
Com. de Madrid	2011	120321.953125	108968.05112737187	101781.74959359999	97433.97282775937
Com. de Madrid	2012	93984.4765625	82109.36789458015	74473.94991872	69136.34864138797
Com. de Madrid	2013	70713.23828125	59575.578763103054	52848.389983744	48526.7174320694
Com. de Madrid	2014	48138.119140625	37467.40256708607	31020.077996748798	26711.18587160347
Com. de Madrid	2015	31049.5595703125	22188.240898480122	17372.815599349757	14598.509293580175
Com. de Madrid	2016	17005.27978515625	9690.534314468043	5843.363119869951	3542.8754646790094
Cueta	2003	14.0	14.0	14.0	14.0
Cueta	2004	14.0	14.0	14.0	14.0
