Year	Country	Predicted
2002	ALB	1846.1593725105342
2002	CHN	172870.64962118692
2002	ECU	268535.64189580077
2002	EGY	3320.5538846785475
2002	MAR	766035.7062288293
2002	PER	110514.77441812187
2002	PHL	30113.00188486741
2002	ROU	857488.9213562733
2002	TUN	1963.8347669306204
2003	ALB	1805.2215626424274
2003	CHN	164435.33976508141
2003	ECU	291955.42831992416
2003	EGY	3217.0284671357604
2003	MAR	757378.7029210808
2003	PER	117841.06357230533
2003	PHL	29063.46031566916
2003	ROU	832309.5960315268
2003	TUN	1953.7321035948426
2004	ALB	1742.272065537196
2004	CHN	155984.9708361114
2004	ECU	351415.93330777873
2004	EGY	3050.771749526597
2004	MAR	739170.1514662607
2004	PER	121587.16871665424
2004	PHL	27886.5795782517
2004	ROU	830194.8956644081
2004	TUN	1896.5559428984798
2005	ALB	1614.6016641209578
2005	CHN	145231.19362661752
2005	ECU	375484.6778187582
2005	EGY	3054.4957295578224
2005	MAR	711659.893122459
2005	PER	125179.48552882638
2005	PHL	26479.818538124087
2005	ROU	793394.4392455458
2005	TUN	1835.6255521192634
2006	ALB	1569.392890799175
2006	CHN	134738.44567986458
2006	ECU	428660.7030477467
2006	EGY	2834.752538478062
2006	MAR	679546.1314706473
2006	PER	127136.89416220263
2006	PHL	25279.1063310494
2006	ROU	729328.0835016591
2006	TUN	1773.7051651918969
2007	ALB	1484.4317166771903
2007	CHN	123491.90119537033
2007	ECU	410801.5753583242
2007	EGY	2660.755688582758
2007	MAR	640025.5642514384
2007	PER	123779.43552447972
2007	PHL	23560.647899814045
2007	ROU	677836.6044258657
2007	TUN	1675.7389369663556
2008	ALB	1333.435502295381
2008	CHN	107400.43920578682
2008	ECU	434337.5034936902
2008	EGY	2598.93562097207
2008	MAR	585571.9172172045
2008	PER	108984.63659340034
2008	PHL	21219.464830059198
2008	ROU	551446.0688116904
2008	TUN	1587.8877680012442
2009	ALB	1158.1278624852353
2009	CHN	91706.5190353367
2009	ECU	415897.13972634077
2009	EGY	2629.46963839367
2009	MAR	521939.83676458895
2009	PER	90250.94735533326
2009	PHL	18876.69935389151
2009	ROU	411203.9398655435
2009	TUN	1457.4400835036272
2010	ALB	1087.9506050825846
2010	CHN	83664.36478063454
2010	ECU	480358.83855399274
2010	EGY	2342.4647067736714
2010	MAR	475558.96871808055
2010	PER	81021.80975756163
2010	PHL	18372.88340968085
2010	ROU	283828.6066861097
2010	TUN	1424.552742299214
2011	ALB	935.9687983418187
2011	CHN	69921.71896850257
2011	ECU	482936.41822440515
2011	EGY	2062.290830349759
2011	MAR	429223.3267416062
2011	PER	70289.91477776934
2011	PHL	17589.47881386782
2011	ROU	207075.25311221974
2011	TUN	1319.745314140122
2012	ALB	731.7503007471317
2012	CHN	51834.55710921715
2012	ECU	371325.35127438407
2012	EGY	1942.2793850820908
2012	MAR	360208.8140132329
2012	PER	54371.558686770906
2012	PHL	15335.57733819923
2012	ROU	116808.66057934123
2012	TUN	1151.1064181606248
2013	ALB	590.6100197260122
2013	CHN	39395.41758789606
2013	ECU	255923.09413611877
2013	EGY	1744.6961378861142
2013	MAR	299784.9609572039
2013	PER	42793.48795017832
2013	PHL	14946.60989364627
2013	ROU	73424.38701956347
2013	TUN	1052.3378940391822
2014	ALB	452.0980200367183
2014	CHN	26804.728088305957
2014	ECU	140408.2959779873
2014	EGY	1203.1395242657636
2014	MAR	240946.27171440262
2014	PER	35278.26521076575
2014	PHL	12403.589586512619
2014	ROU	23487.500210206024
2014	TUN	864.2984836437529
2015	ALB	288.2890209792634
2015	CHN	15519.594540953462
2015	ECU	35952.49721766915
2015	EGY	1020.3351088131149
2015	MAR	173544.59930664732
2015	PER	28601.90171615358
2015	PHL	10768.941541158543
2015	ROU	11811.190719731618
2015	TUN	669.3346462893899
2016	ALB	155.69059801837614
2016	CHN	5130.159959134573
2016	ECU	-6532.0983529209625
2016	EGY	828.0309895041537
2016	MAR	110798.6551063178
2016	PER	23565.656029476777
2016	PHL	9269.640685208153
2016	ROU	9771.852770323865
2016	TUN	523.6041822213813
