	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.93426	0.81965	0.92974	0.92946	0.9287	0.9292	0.93116	0.93126
R2_adj	0.93426	0.81654	0.92727	0.92568	0.92351	0.92264	0.92337	0.922
MAE	219.0962	411.87341	239.95624	238.93214	242.13708	241.99504	236.31153	233.80256
MPE	25.44211	22.91063	24.53721	24.61767	24.63559	25.16002	25.26974	25.27911
MAPE	30.95676	39.27277	32.64284	32.49904	32.50357	31.3019	30.82736	30.763
a Andalucía	-0.4092491542805686							
a Aragón	-0.6141034609340841							
a Canarias	-0.5911947089255009							
a Cantabria	-0.8351495498052588							
a Castilla y León	-0.6407119377084967							
a Castilla-La Mancha	-0.7158397959902892							
a Cataluña	-0.20686305919179537							
a Com. Foral de Navarra	-0.7971449417362343							
a Com. Valenciana	-0.3158003453431381							
a Com. de Madrid	-0.21947217094735177							
a Cueta	-1.184704470389221							
a Extremadura	-0.8052637015594213							
a Galicia	-0.8134701668546285							
a Illes Balears	-0.5450728621517891							
a La Rioja	-0.8915134443348806							
a Melilla	-1.372496058776461							
a País Vasco	-0.6723739268885459							
a Princ. de Asturias	-0.7985984033010184							
a Reg. de Murcia	-0.6208456414330714							
ocupados		4.296487827444817e-05	0.0002672961185983605	0.00026287400493246044	0.0002633762238286805	0.0002240722109985542	0.00022895624768023287	0.00016951705148282592
tasa_fecundidad			-0.005067383125537839	-0.006360980789891711	-0.0019072365430791716	-0.04887720983522659	-0.008747244438016999	-0.011071939849465195
tasa_paro				0.0021753752098352397	0.002286374559719029	-0.009190370099064538	-0.005956801812181445	-0.00726076318985136
tasa_bruta_natalidad					-0.019224945604296995	0.14678097587545302	-0.037145762497360124	-0.026927841378295625
Unnamed: 0						0.002947255034061569	0.00533242053168035	0.005449857850159168
tasa_bruta_mortalidad							-0.05599204844906813	-0.05549456590126489
poblacion_total								2.168421297577862e-08
