	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2								
R2_adj								
MAE								
MPE								
MAPE								
a Andalucía	-0.2854726613601832							
a Aragón	-0.3057977117150763							
a Canarias	-0.4859656436731534							
a Cantabria	-0.4801521099956553							
a Castilla y León	-0.3451630514712562							
a Castilla-La Mancha	-0.31055906550813983							
a Cataluña	-0.16060947749609064							
a Com. Foral de Navarra	-0.26014000412798277							
a Com. Valenciana	-0.19215286922969152							
a Com. de Madrid	-0.060806123108918766							
a Cueta	-1.1673998409029689							
a Extremadura	-0.5174500557473767							
a Galicia	-0.5402938063688306							
a Illes Balears	-0.3067900649795279							
a La Rioja	-0.4306653405949586							
a Melilla	-1.1866306631849917							
a País Vasco	-0.4325640752965289							
a Princ. de Asturias	-0.37277981041951236							
a Reg. de Murcia	-0.18776378447440478							
Unnamed: 0		0.0001076697479430098	-0.0005870944273067141	-0.0026494325369960103	0.004933707094348705	0.0068013114239313666	0.0008455793099475528	-0.0035806958234694264
poblacion_total			6.10613226248882e-08	6.277034079914418e-08	5.076113157060389e-08	5.4466231163583314e-08	4.1488079259180226e-08	3.811504712128639e-08
tasa_bruta_mortalidad				0.05233573723875651	-0.04078719534814823	-0.0841749404702341	-0.0011302620122037865	-0.001228239258614261
tasa_bruta_natalidad					-0.08790563804350882	-0.25299408669047807	0.0334998229984933	-0.08720026880200749
tasa_fecundidad						0.03777585710366793	-0.025308914309896124	0.004027658658031896
PIB_pc							2.086535350316783e-05	1.2959733273511242e-05
tasa_actividad								0.018712442921355432
