	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2								
R2_adj								
MAE								
MPE								
MAPE								
a Andalucía	0.0							
a Aragón	0.0							
a Canarias	0.0							
a Cantabria	0.0							
a Castilla y León	0.0							
a Castilla-La Mancha	0.0							
a Cataluña	0.0							
a Com. Foral de Navarra	0.0							
a Com. Valenciana	0.0							
a Com. de Madrid	0.0							
a Cueta	0.0							
a Extremadura	0.0							
a Galicia	0.0							
a Illes Balears	0.0							
a La Rioja	0.0							
a Melilla	0.0							
a País Vasco	0.0							
a Princ. de Asturias	0.0							
a Reg. de Murcia	0.0							
Unnamed: 0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
poblacion_total			0.0	0.0	0.0	0.0	0.0	0.0
tasa_bruta_mortalidad				0.0	0.0	0.0	0.0	0.0
tasa_bruta_natalidad					0.0	0.0	0.0	0.0
tasa_fecundidad						0.0	0.0	0.0
PIB_pc							0.0	0.0
tasa_actividad								0.0
