	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.99825	0.8716	0.99292	0.99577	0.99302	0.99539	0.99829	0.9988
R2_adj	0.99825	0.86939	0.99267	0.99554	0.99251	0.99497	0.99809	0.99864
MAE	69.95851	455.9519	121.18929	92.15985	119.10516	104.6433	69.97609	59.28841
MPE	-9.47465	-9.93	-9.24194	-9.05566	-9.81668	-9.69208	-9.66278	-9.68497
MAPE	14.99757	21.25602	14.93228	13.65848	16.08478	15.79954	15.82068	15.89755
a Andalucía	-0.4447565517601855							
a Aragón	-0.5589214845646503							
a Canarias	-0.6196697576380384							
a Cantabria	-0.6052798667560545							
a Castilla y León	-0.5363908586658989							
a Castilla-La Mancha	-0.5287057407270453							
a Cataluña	-0.14103178435211558							
a Com. Foral de Navarra	-0.5305741903321284							
a Com. Valenciana	-0.4068508824051949							
a Com. de Madrid	-0.07750945272408484							
a Cueta	-1.4165526678817821							
a Extremadura	-0.7452453235993722							
a Galicia	-0.6506312935667823							
a Illes Balears	-0.510456234807212							
a La Rioja	-0.7021780637419968							
a Melilla	-1.3911042270228064							
a País Vasco	-0.6491323689250259							
a Princ. de Asturias	-0.7520014525959212							
a Reg. de Murcia	-0.7073411185679604							
ocupados		3.947445486787405e-05	0.00022299953913221954	0.0005804677615869891	0.00022768813227819207	-2.787366198520047e-05	2.3880578156387777e-05	1.3546380622786458e-06
tasa_bruta_mortalidad			-0.01951543718148807	-0.018926425765783184	0.03085705095124336	0.01573413131103507	-0.007644065167637493	0.0057042630358310475
poblacion_total				-1.3201527453569656e-07	1.2663740835188115e-08	1.0118895865874255e-07	6.435080659935059e-08	7.2179980689039e-08
tasa_paro					-0.01809785440866074	-0.026223033179604727	-0.019933501113046148	-0.02184886684132792
tasa_actividad						0.005881156475171068	0.018040584751547684	0.016625165562299316
tasa_fecundidad							-0.015913633903626767	-0.031557692053794995
tasa_bruta_natalidad								0.0684447374269439
