	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.83101	0.77633	0.82632	0.82913	0.8305	0.83057	0.82899	0.82433
R2_adj	0.83101	0.77247	0.82023	0.81998	0.81817	0.81488	0.80963	0.80068
MAE	349.84947	356.45481	364.29863	364.49503	364.94007	366.03563	362.68782	363.24264
MPE	-85.23591	-80.15897	-80.47818	-80.30304	-80.53984	-80.24133	-81.16375	-82.56534
MAPE	112.29147	106.95261	107.60101	107.21181	107.38862	107.65245	108.0758	109.79609
a Andalucía	-0.21032540744229233							
a Aragón	-0.13511339233593223							
a Canarias	-0.3886852811872576							
a Cantabria	-0.4024028402312028							
a Castilla y León	-0.2854932061213339							
a Castilla-La Mancha	-0.16257985946484335							
a Cataluña	-0.1493215065242302							
a Com. Foral de Navarra	-0.29781058419564166							
a Com. Valenciana	-0.08289932801563528							
a Com. de Madrid	-0.044299971102102244							
a Cueta	-0.558301505913095							
a Extremadura	-0.4808767103055256							
a Galicia	-0.439134975281765							
a Illes Balears	-0.30118574375803064							
a La Rioja	-0.22107011836338378							
a Melilla	-0.7798293369994515							
a País Vasco	-0.3513963157620869							
a Princ. de Asturias	-0.4919914940396291							
a Reg. de Murcia	-0.3186216897044842							
ocupados		2.009380267777284e-05	0.0001326851944092617	0.00011676036767673589	0.00010629112667479186	0.00010591639103434657	8.325450436672509e-05	7.568300091848404e-05
tasa_paro			-0.003970361794596311	-0.0071066883881512576	-0.002840895396603371	-0.015546377268675138	-0.010108131473232751	-0.008703106354209122
PIB_pc				4.467161592442901e-06	1.1174031067242825e-05	-9.473683986773763e-06	-4.1863299077970345e-06	-4.464019377388179e-06
Unnamed: 0					-0.0011121173538463092	-0.003027813009745972	-0.003239032354524496	-0.008327213561833136
tasa_actividad						0.019975979688839737	0.02139061266851862	0.03166425895104191
tasa_fecundidad							-0.006716496950246287	-0.002996783661438726
tasa_bruta_mortalidad								0.03863381269781274
