	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.99172	0.99174	0.99476	0.99484	0.99485	0.99513	0.9946	0.99522
R2_adj	0.99172	0.9916	0.99458	0.99457	0.99447	0.99468	0.99399	0.99458
MAE	326.48648	303.89938	260.1843	258.29829	258.14861	240.07249	247.89656	265.75834
MSE	519677.39355	518607.08953	328954.14009	323835.4229	323566.17397	305630.58994	339183.00841	299970.39853
RMSE	720.88653	720.1438	573.54524	569.06539	568.82877	552.83867	582.3942	547.69553
a Andalucía	-0.08287701385991005							
a Aragón	-0.2588816310437101							
a Canarias	-0.062297763944183224							
a Cantabria	-0.25665526687486706							
a Castilla y León	-0.21861133292372814							
a Castilla-La Mancha	-0.2586786438752546							
a Cataluña	-0.09032862491729933							
a Com. Foral de Navarra	-0.24748804564627008							
a Com. Valenciana	-0.03713561400235908							
a Com. de Madrid	-0.1232182482089591							
a Cueta	-0.3683132241275557							
a Extremadura	-0.2932659485071803							
a Galicia	-0.216251238137559							
a Illes Balears	-0.05363660321800564							
a La Rioja	-0.32268682345328564							
a Melilla	-0.43084591797459804							
a País Vasco	-0.21037299785463326							
a Princ. de Asturias	-0.2471710268614146							
a Reg. de Murcia	-0.19823394357696172							
poblacion_total		4.764100307836177e-09	2.8555695597661723e-08	2.2854947183985265e-08	2.314240697390464e-08	8.261523190897365e-08	3.7784441966177106e-08	5.6140865575918545e-08
tasa_bruta_mortalidad			-0.006956884109216466	-0.006976942273669018	-0.007065737961560181	-0.009760849894380641	-0.02025408230307324	-0.018735996569722246
ocupados				1.5865614059945576e-05	1.4978254455816353e-05	-0.00016313236652865104	-5.1450558307852834e-05	-9.3047757020015e-05
PIB_pc					3.97010129788572e-08	9.51635829347583e-06	2.8393323331724063e-07	-9.82839592058183e-06
tasa_fecundidad						-0.004123352527348745	-0.008142257243234696	-0.007310821865176932
tasa_actividad							0.007717494102792655	0.013941988988720788
tasa_paro								-0.008104022112277676
