	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.98496	0.9786	0.98478	0.98483	0.98485	0.98491	0.98479	0.98476
R2_adj	0.98496	0.97823	0.98425	0.98401	0.98375	0.98352	0.98307	0.98271
MAE	994.52158	1131.61163	987.34708	992.62446	999.50822	995.621	1005.82729	1008.93134
MSE	4797860.60406	6825795.26305	4854397.54631	4839948.04706	4832756.10845	4811993.47943	4850343.81505	4860856.31577
RMSE	2190.40193	2612.6223	2203.26974	2199.98819	2198.35304	2193.62565	2202.34961	2204.73498
a Andalucía	-0.07994334744990415							
a Aragón	-0.15303518896584387							
a Canarias	-0.15388110419050124							
a Cantabria	-0.20884627780354903							
a Castilla y León	-0.20629163122214159							
a Castilla-La Mancha	-0.13890288135540746							
a Cataluña	-0.027884080457694353							
a Com. Foral de Navarra	-0.15634485326025374							
a Com. Valenciana	-0.0986836869488749							
a Com. de Madrid	-0.03463009265231932							
a Cueta	-0.12329895646298192							
a Extremadura	-0.05312024503969939							
a Galicia	-0.19481314098668426							
a Illes Balears	-0.10153126595039279							
a La Rioja	-0.14521515497514337							
a Melilla	-0.10793708549118995							
a País Vasco	-0.20544852515350465							
a Princ. de Asturias	-0.26647735558717456							
a Reg. de Murcia	-0.09432510800842356							
ocupados		8.35495420278729e-06	4.243117513095477e-05	3.8613260945867187e-05	5.280081993731811e-05	9.119353499745242e-05	0.00014282128193554566	0.00013365591906205898
tasa_bruta_mortalidad			-0.003623550162485112	-0.011504536486909411	-0.011444438278644525	-0.008947678124655134	-0.01286125259823745	-0.009662854479126182
tasa_fecundidad				0.0017603819996666464	0.0017521730645689848	0.0021187995563790585	0.0005218758995781149	-0.0036048949171405553
poblacion_total					-5.2329802766834825e-09	-1.782801608866746e-08	-3.920253208789307e-08	-3.599526458601882e-08
PIB_pc						-1.8517861576335462e-06	-8.06485274024854e-07	-1.2118921629178554e-06
tasa_paro							0.0031775004110021765	0.002336344194616924
tasa_bruta_natalidad								0.017838087398963864
