	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.95619	0.91236	0.97626	0.97503	0.97369	0.9752	0.9753	0.97549
R2_adj	0.95619	0.91085	0.97543	0.97369	0.97177	0.9729	0.9725	0.9722
MAE	94.97107	109.79563	83.0506	86.27811	79.00697	79.88515	83.34931	83.6924
MSE	87786.94453	175609.91616	47567.14224	50032.45845	52726.86743	49691.63821	49497.13232	49103.63633
RMSE	296.28862	419.05837	218.09893	223.67937	229.62332	222.91621	222.47951	221.5934
a Andalucía	-0.381153845708011							
a Aragón	-0.40363347475286493							
a Canarias	-0.5097633061022606							
a Cantabria	-0.7120454676465454							
a Castilla y León	-0.3461264111172194							
a Castilla-La Mancha	-0.3770870184675769							
a Cataluña	-0.2614197446017351							
a Com. Foral de Navarra	-0.4953481593552517							
a Com. Valenciana	-0.2419053198268756							
a Com. de Madrid	-0.028238341988080187							
a Cueta	-1.1344521995836891							
a Extremadura	-0.671634299616139							
a Galicia	-0.6887711373017674							
a Illes Balears	-0.4067176508245746							
a La Rioja	-0.6864605671664822							
a Melilla	-1.1454585649957931							
a País Vasco	-0.5649551674555024							
a Princ. de Asturias	-0.47226387003931913							
a Reg. de Murcia	-0.4979168666602377							
ocupados		3.302443706595932e-05	0.0001805540997439157	0.00019103941756040514	0.00019725295305168637	0.00015233741973144817	0.00017444422327268436	0.00014818474218969424
tasa_bruta_mortalidad			-0.01568780570753381	-0.007268035103395687	0.015595087105340855	-0.021989240391977027	-0.01461957140369563	-0.015035491980189164
PIB_pc				-3.819694463429862e-06	1.443624880516272e-05	9.107112272049031e-06	-1.6081160290137755e-05	-1.5803684888392525e-05
tasa_actividad					-0.009931615857000614	0.008695214598060663	0.022808709458752463	0.02288624722409116
tasa_bruta_natalidad						-0.06655349525260235	-0.058177676340771534	-0.058066027655763075
tasa_paro							-0.018019154381540448	-0.018322915475397217
poblacion_total								9.467146958952802e-09
