	Previous time	Previous two times	Previous three times	MI 3 selection	MI 5 selection	MI 7 selection	MI 9 selection	MI 11 selection
y_prev_1	0.91591957042097	1.419259004963858	1.3960054421764043	1.3960054421764034	1.3946011344783147	1.3889367023034511	1.379567674384484	1.3681514527308296
y_prev_2		-0.46960931880694595	-0.39743393663860543	-0.39743393663860466	-0.3982011754320623	-0.40360899750316515	-0.4015987213787926	-0.403942243875534
y_prev_3			-0.04755371322700991	-0.047553713227009985	-0.044925936297519	-0.03434537768424205	-0.026148396857628285	-0.013594368475258847
poblacion_total					-3.723029183011484e-05	4.448515282934329e-05	3.215595212652245e-05	-7.297083313301256e-05
ocupados					0.06657101117830523	-0.09636054334202095	-0.08462175456194163	0.17888848172422805
tasa_bruta_natalidad						3.402049023189295	179.68471449575864	329.9239021161554
tasa_paro						-7.066467474628356	-1.9127556392560192	5.743829505054391
tasa_fecundidad							-47.28272248326008	-82.70772152310283
tasa_actividad							1.1008500740409943	-12.003391841384307
tasa_bruta_mortalidad								67.92420644066692
PIB_pc								-0.0016779845508922827
R2	0.91694	0.98576	0.98741	0.98741	0.98773	0.98668	0.97996	0.97413
R2_adj	0.91542	0.98524	0.9867	0.9867	0.98653	0.98478	0.97613	0.96781
MAE	275.91315	111.58083	106.03155	106.03155	108.77644	144.50749	228.48788	273.23089
MSE	320125.72147	54863.29815	48508.99649	48508.99649	47280.14771	51331.77781	77219.09979	99683.34248
RMSE	565.79654	234.22916	220.24758	220.24758	217.43999	226.56517	277.88325	315.72669
