	Previous time	Previous two times	Previous three times	MI 3 selection	MI 5 selection	MI 7 selection	MI 9 selection	MI 11 selection
y_prev_1	0.9684473419174201	1.2037021516956368	1.1512685119455799	1.1512685119455832	1.1510076897381996	1.1502670494035705	1.1426206240907637	1.1418407829206187
y_prev_2		-0.23731319040985746	-0.05358394197552116	-0.05358394197552363	-0.0539271007260346	-0.05302832242013791	-0.0613426423301769	-0.06013195188883515
y_prev_3			-0.1322560544565363	-0.13225605445653574	-0.13213561733517878	-0.13333148409287118	-0.11777521404715804	-0.11770003113937116
poblacion_total					-1.34347479296415e-05	-3.7337902940755285e-05	-3.2834793153274644e-05	-0.0001540520002329404
ocupados					0.039955089903708996	0.09532954315449732	0.08356872710609901	0.3819746885029589
tasa_bruta_mortalidad						14.453600366322519	61.5218924930295	60.114100457073285
tasa_bruta_natalidad						-10.260762330920288	208.63517528816456	168.73078938597183
tasa_fecundidad							-53.91571590613872	-45.235595702764016
tasa_actividad							-7.375209463076221	-0.2732728590419794
PIB_pc								-0.018888017816171807
tasa_paro								3.5309467844854767
R2	0.98608	0.99263	0.9914	0.9914	0.99141	0.99113	0.99204	0.99197
R2_adj	0.98582	0.99236	0.99092	0.99092	0.99057	0.98986	0.99051	0.99
MAE	448.23039	322.66863	337.78689	337.78689	338.96382	369.89734	399.4209	410.55625
MSE	874724.64652	463012.30841	540081.42102	540081.42102	539360.20107	557181.25907	500206.5809	504783.05143
RMSE	935.26715	680.45008	734.90232	734.90232	734.41147	746.44575	707.25284	710.48086
