	Previous time	Previous two times	Previous three times	MI 3 selection	MI 5 selection	MI 7 selection	MI 9 selection	MI 11 selection
y_prev_1	0.9437887609313189	1.5739108784267544	1.36869030260889	1.3686903026088895	1.3667540905514535	1.3631633141444612	1.358796656320962	1.358127254969195
y_prev_2		-0.6052374052337149	-0.13479133566452495	-0.13479133566452428	-0.13482348122503826	-0.13606366985532692	-0.13883101479266835	-0.14129870665703437
y_prev_3			-0.26597723226335823	-0.2659772322633586	-0.2633548789458907	-0.25808093966099654	-0.25205001286739154	-0.24922359084958318
poblacion_total					-2.873457444928229e-05	0.00014442032824447948	0.00010307400237323516	0.00028770670105365825
tasa_bruta_natalidad					-2.3689960416711906	286.2821532835407	480.90763004095425	471.3978503323847
tasa_fecundidad						-72.42161704477881	-115.14258607252434	-111.11958290425797
ocupados						-0.4367106413810608	-0.3153993236200283	-0.7646132383505926
tasa_bruta_mortalidad							102.82713401489772	91.43864552165785
tasa_actividad							-19.423235413455362	-20.830209355540518
PIB_pc								0.013671200859787465
tasa_paro								-11.9101004110705
R2	0.94225	0.99243	0.99091	0.99091	0.9909	0.99097	0.99094	0.99098
R2_adj	0.9412	0.99215	0.9904	0.9904	0.99	0.98968	0.9892	0.98877
MAE	2310.02796	768.50181	868.60437	868.60437	878.54495	945.9395	979.722	991.63856
MSE	18431363.73732	2415337.61454	2899561.63509	2899561.63509	2905096.27665	2882359.84492	2891662.74262	2879277.2212
RMSE	4293.17642	1554.13565	1702.80992	1702.80992	1704.4343	1697.75141	1700.48897	1696.84331
