	Previous time	Previous two times	Previous three times	MI 3 selection	MI 5 selection	MI 7 selection	MI 9 selection	MI 11 selection
y_prev_1	0.9639874317617387	1.745089679087999	1.881382360217704	1.8813823602177033	1.8811670756936056	1.881135274625864	1.8808588068863024	1.8803164938190544
y_prev_2		-0.7768992960294108	-1.0558891560032797	-1.055889156003279	-1.0550906658098866	-1.0538778075086803	-1.0539851936223275	-1.0557110335489428
y_prev_3			0.1471903634827315	0.14719036348273218	0.1467922404411306	0.14583898657631436	0.14645254915844796	0.14947184769321953
poblacion_total					2.6276102209843444e-05	1.5446787876571832e-05	-7.891614183241913e-06	-1.7396653375856275e-05
ocupados					-0.07104889478927427	-0.042214995026077826	0.022158617239032317	0.03681653927814216
tasa_bruta_natalidad						-2.2173930511970976	4.940636779791353	108.93743988042777
tasa_paro						1.0987599565586446	2.6949699506902087	6.844831066799703
tasa_bruta_mortalidad							13.396841310700513	30.952172783957753
tasa_actividad							-3.875151469433892	-8.75733586403077
tasa_fecundidad								-27.060893641203478
PIB_pc								0.005732830401571012
R2	0.95836	0.99676	0.99657	0.99657	0.99656	0.99657	0.99658	0.99619
R2_adj	0.9576	0.99664	0.99638	0.99638	0.99623	0.99608	0.99592	0.99526
MAE	313.89134	87.56907	85.82179	85.82179	86.54513	85.78691	95.07591	129.55981
MSE	684245.33405	53207.29444	56367.22939	56367.22939	56488.31637	56294.50911	56233.88762	62599.54612
RMSE	827.19123	230.66706	237.41784	237.41784	237.67271	237.26464	237.13685	250.19901
