	Previous time	Previous two times	Previous three times	MI 3 selection	MI 5 selection	MI 7 selection	MI 9 selection	MI 11 selection
y_prev_1	0.9464803210038806	1.6853599739577465	1.6190499539046068	1.6190499539046082	1.615193936457219	1.613454306314647	1.6132570910827553	1.6131768623206895
y_prev_2		-0.7227485573765721	-0.5815847568870225	-0.5815847568870259	-0.572614777717703	-0.5580641846591938	-0.5584766650330539	-0.5592536579476953
y_prev_3			-0.07617023701698261	-0.07617023701697948	-0.07984985971753224	-0.09165215483438865	-0.0910423494171285	-0.09004137831877175
poblacion_total					6.322382045742536e-05	2.0555845587466592e-05	2.13049962396461e-05	1.6779491449847583e-05
ocupados					-0.16735048497918115	-0.06937292824829833	-0.07263997576035862	-0.06117027859801517
tasa_bruta_natalidad						-5.414793001290788	0.15682568859812746	1.888930581800978
tasa_paro						4.208685152505402	4.2132488930633025	4.28077324712523
tasa_fecundidad							-1.7110483083392531	-2.1096479185394075
tasa_actividad							0.2631067345986686	0.26461640249550306
tasa_bruta_mortalidad								1.4541226683890116
PIB_pc								-0.0007446747838680649
R2	0.85586	0.9501	0.9514	0.9514	0.95089	0.95027	0.95019	0.95007
R2_adj	0.85324	0.94825	0.94865	0.94865	0.94607	0.94316	0.94065	0.93786
MAE	175.35846	93.50255	96.60506	96.60506	102.63186	114.1687	114.41789	114.90761
MSE	288991.94564	100046.96494	97437.96583	97437.96583	98472.66766	99714.98015	99867.06032	100112.05562
RMSE	537.57971	316.30202	312.15055	312.15055	313.80355	315.77679	316.0175	316.40489
