	Previous time	Previous two times	Previous three times	MI 3 selection	MI 5 selection	MI 7 selection	MI 9 selection	MI 11 selection
y_prev_1	0.9151868980838807	1.612938855462077	1.4498010697109716	1.4498010697109713	1.4493331240105076	1.4513738714665123	1.4464636781764033	1.443780295476243
y_prev_2		-0.6635457737707063	-0.30651124833890614	-0.3065112483389046	-0.3050248709478223	-0.3015415764913279	-0.30382606368323634	-0.30505644262003095
y_prev_3			-0.19681249535808681	-0.19681249535808687	-0.19639913818592444	-0.200246820071593	-0.1939072852990399	-0.1890504826486512
poblacion_total					0.00027286724853703426	-7.286222217461891e-06	-5.188274082040811e-05	-0.00033130246489943005
ocupados					-0.7693261479908904	-0.10660467657450738	-0.07653621126344332	0.6641945882005308
tasa_fecundidad						-11.640286582190077	-148.94355848365433	-98.08268283814468
tasa_paro						30.153157839299688	34.65920095048688	28.51066035541788
tasa_bruta_mortalidad							83.91430828868977	103.75712713616534
tasa_bruta_natalidad							486.3606454378513	310.0462010208014
PIB_pc								-0.07230995180014474
tasa_actividad								18.372671643971668
R2	-0.13558	0.66998	0.55536	0.55536	0.53295	0.53465	0.43807	0.37256
R2_adj	-0.15622	0.65776	0.5302	0.5302	0.48716	0.46817	0.33047	0.21919
MAE	947.56192	573.80993	713.92934	713.92934	758.71654	742.00314	982.25633	1038.64845
MSE	5191890.82784	1508854.79835	2032890.49355	2032890.49355	2135376.84771	2127583.43063	2569157.33533	2868657.32815
RMSE	2278.5721	1228.35451	1425.79469	1425.79469	1461.29287	1458.62381	1602.85911	1693.71111
