Province	Year	SMA 11 years
Andalucía	2003	17925.0
Andalucía	2004	16178.0
Andalucía	2005	14516.0
Andalucía	2006	12930.0
Andalucía	2007	10476.0
Andalucía	2008	8339.0
Andalucía	2009	7828.0
Andalucía	2010	6395.0
Andalucía	2011	4427.0
Andalucía	2012	4075.0
Andalucía	2013	3210.0
Andalucía	2014	9663.545454545454
Andalucía	2015	8270.545454545454
Andalucía	2016	6970.727272727273
Aragón	2003	4906.0
Aragón	2004	4561.0
Aragón	2005	4595.0
Aragón	2006	4265.0
Aragón	2007	3351.0
Aragón	2008	2850.0
Aragón	2009	2597.0
Aragón	2010	2064.0
Aragón	2011	1406.0
Aragón	2012	984.0
Aragón	2013	697.0
Aragón	2014	2934.181818181818
Aragón	2015	2525.181818181818
Aragón	2016	2133.818181818182
Canarias	2003	3352.0
Canarias	2004	3149.0
Canarias	2005	2984.0
Canarias	2006	2882.0
Canarias	2007	2520.0
Canarias	2008	2154.0
Canarias	2009	2130.0
Canarias	2010	1828.0
Canarias	2011	1380.0
Canarias	2012	1229.0
Canarias	2013	1001.0
Canarias	2014	2237.181818181818
Canarias	2015	2001.1818181818182
Canarias	2016	1756.090909090909
Cantabria	2003	976.0
Cantabria	2004	889.0
Cantabria	2005	809.0
Cantabria	2006	688.0
Cantabria	2007	536.0
Cantabria	2008	517.0
Cantabria	2009	510.0
Cantabria	2010	332.0
Cantabria	2011	244.0
Cantabria	2012	221.0
Cantabria	2013	217.0
Cantabria	2014	539.9090909090909
Cantabria	2015	466.1818181818182
Cantabria	2016	393.1818181818182
Castilla y León	2003	3528.0
Castilla y León	2004	3317.0
Castilla y León	2005	3122.0
Castilla y León	2006	2874.0
Castilla y León	2007	2559.0
Castilla y León	2008	2255.0
Castilla y León	2009	2031.0
Castilla y León	2010	1401.0
Castilla y León	2011	918.0
Castilla y León	2012	732.0
Castilla y León	2013	610.0
Castilla y León	2014	2122.4545454545455
Castilla y León	2015	1836.4545454545455
Castilla y León	2016	1557.090909090909
Castilla-La Mancha	2003	3916.0
Castilla-La Mancha	2004	3221.0
Castilla-La Mancha	2005	2893.0
Castilla-La Mancha	2006	2685.0
Castilla-La Mancha	2007	2086.0
Castilla-La Mancha	2008	1554.0
Castilla-La Mancha	2009	1197.0
Castilla-La Mancha	2010	876.0
Castilla-La Mancha	2011	589.0
Castilla-La Mancha	2012	531.0
Castilla-La Mancha	2013	423.0
Castilla-La Mancha	2014	1815.5454545454545
Castilla-La Mancha	2015	1491.909090909091
Castilla-La Mancha	2016	1225.090909090909
Cataluña	2003	49357.0
Cataluña	2004	47493.0
Cataluña	2005	46086.0
Cataluña	2006	45019.0
Cataluña	2007	38648.0
Cataluña	2008	33689.0
Cataluña	2009	34791.0
Cataluña	2010	28088.0
Cataluña	2011	19683.0
Cataluña	2012	15159.0
Cataluña	2013	9365.0
Cataluña	2014	33398.0
