Province	Year	SMA 11 years
Andalucía	2003	17556.0
Andalucía	2004	21015.0
Andalucía	2005	22394.0
Andalucía	2006	23044.0
Andalucía	2007	23412.0
Andalucía	2008	22815.0
Andalucía	2009	25048.0
Andalucía	2010	27395.0
Andalucía	2011	24540.0
Andalucía	2012	17365.0
Andalucía	2013	9018.0
Andalucía	2014	21236.545454545456
Andalucía	2015	19971.909090909092
Andalucía	2016	18109.0
Aragón	2003	7581.0
Aragón	2004	9228.0
Aragón	2005	10795.0
Aragón	2006	11552.0
Aragón	2007	11521.0
Aragón	2008	11433.0
Aragón	2009	11948.0
Aragón	2010	13094.0
Aragón	2011	12621.0
Aragón	2012	9961.0
Aragón	2013	6642.0
Aragón	2014	10579.636363636364
Aragón	2015	10174.454545454546
Aragón	2016	9361.272727272728
Canarias	2003	1199.0
Canarias	2004	1475.0
Canarias	2005	1635.0
Canarias	2006	1692.0
Canarias	2007	1677.0
Canarias	2008	1693.0
Canarias	2009	1825.0
Canarias	2010	2078.0
Canarias	2011	1922.0
Canarias	2012	1418.0
Canarias	2013	760.0
Canarias	2014	1579.4545454545455
Canarias	2015	1495.1818181818182
Canarias	2016	1367.909090909091
Cantabria	2003	1536.0
Cantabria	2004	1733.0
Cantabria	2005	1982.0
Cantabria	2006	2108.0
Cantabria	2007	2084.0
Cantabria	2008	2056.0
Cantabria	2009	2138.0
Cantabria	2010	2146.0
Cantabria	2011	1979.0
Cantabria	2012	1430.0
Cantabria	2013	937.0
Cantabria	2014	1829.909090909091
Cantabria	2015	1738.2727272727273
Cantabria	2016	1591.7272727272727
Castilla y León	2003	6558.0
Castilla y León	2004	7779.0
Castilla y León	2005	8363.0
Castilla y León	2006	8788.0
Castilla y León	2007	8894.0
Castilla y León	2008	8433.0
Castilla y León	2009	9002.0
Castilla y León	2010	9072.0
Castilla y León	2011	8233.0
Castilla y León	2012	6355.0
Castilla y León	2013	4063.0
Castilla y León	2014	7776.363636363636
Castilla y León	2015	7331.363636363636
Castilla y León	2016	6640.545454545455
Castilla-La Mancha	2003	8572.0
Castilla-La Mancha	2004	10138.0
Castilla-La Mancha	2005	10894.0
Castilla-La Mancha	2006	11484.0
Castilla-La Mancha	2007	11440.0
Castilla-La Mancha	2008	10491.0
Castilla-La Mancha	2009	10791.0
Castilla-La Mancha	2010	11848.0
Castilla-La Mancha	2011	11533.0
Castilla-La Mancha	2012	9493.0
Castilla-La Mancha	2013	6369.0
Castilla-La Mancha	2014	10277.545454545454
Castilla-La Mancha	2015	9793.636363636364
Castilla-La Mancha	2016	8905.545454545454
Cataluña	2003	59452.0
Cataluña	2004	68880.0
Cataluña	2005	78796.0
Cataluña	2006	82626.0
Cataluña	2007	80994.0
Cataluña	2008	81831.0
Cataluña	2009	86710.0
Cataluña	2010	88618.0
Cataluña	2011	84370.0
Cataluña	2012	64861.0
Cataluña	2013	37633.0
Cataluña	2014	74070.09090909091
Cataluña	2015	70099.0
Cataluña	2016	64057.36363636364
Com. Foral de Navarra	2003	6144.0
Com. Foral de Navarra	2004	7944.0
Com. Foral de Navarra	2005	9494.0
