Province	Year	SMA 11 years
Andalucía	2003	28398.0
Andalucía	2004	27573.0
Andalucía	2005	26940.0
Andalucía	2006	25765.0
Andalucía	2007	24235.0
Andalucía	2008	21851.0
Andalucía	2009	19927.0
Andalucía	2010	17687.0
Andalucía	2011	15713.0
Andalucía	2012	15992.0
Andalucía	2013	14632.0
Andalucía	2014	21701.18181818182
Andalucía	2015	20313.81818181818
Andalucía	2016	18896.545454545456
Aragón	2003	885.0
Aragón	2004	882.0
Aragón	2005	891.0
Aragón	2006	883.0
Aragón	2007	811.0
Aragón	2008	754.0
Aragón	2009	663.0
Aragón	2010	572.0
Aragón	2011	491.0
Aragón	2012	412.0
Aragón	2013	365.0
Aragón	2014	691.7272727272727
Aragón	2015	640.7272727272727
Aragón	2016	587.2727272727273
Canarias	2003	25829.0
Canarias	2004	25239.0
Canarias	2005	25171.0
Canarias	2006	24335.0
Canarias	2007	23070.0
Canarias	2008	21147.0
Canarias	2009	19801.0
Canarias	2010	17560.0
Canarias	2011	15547.0
Canarias	2012	17634.0
Canarias	2013	15931.0
Canarias	2014	21024.0
Canarias	2015	19920.454545454544
Canarias	2016	18594.727272727272
Cantabria	2003	472.0
Cantabria	2004	460.0
Cantabria	2005	463.0
Cantabria	2006	449.0
Cantabria	2007	416.0
Cantabria	2008	363.0
Cantabria	2009	325.0
Cantabria	2010	293.0
Cantabria	2011	259.0
Cantabria	2012	290.0
Cantabria	2013	263.0
Cantabria	2014	368.45454545454544
Cantabria	2015	347.1818181818182
Cantabria	2016	324.8181818181818
Castilla y León	2003	1030.0
Castilla y León	2004	1001.0
Castilla y León	2005	966.0
Castilla y León	2006	943.0
Castilla y León	2007	879.0
Castilla y León	2008	774.0
Castilla y León	2009	767.0
Castilla y León	2010	671.0
Castilla y León	2011	578.0
Castilla y León	2012	641.0
Castilla y León	2013	583.0
Castilla y León	2014	803.0
Castilla y León	2015	760.4545454545455
Castilla y León	2016	717.4545454545455
Castilla-La Mancha	2003	661.0
Castilla-La Mancha	2004	657.0
Castilla-La Mancha	2005	647.0
Castilla-La Mancha	2006	632.0
Castilla-La Mancha	2007	573.0
Castilla-La Mancha	2008	472.0
Castilla-La Mancha	2009	386.0
Castilla-La Mancha	2010	326.0
Castilla-La Mancha	2011	300.0
Castilla-La Mancha	2012	300.0
Castilla-La Mancha	2013	293.0
Castilla-La Mancha	2014	477.0
Castilla-La Mancha	2015	439.0
Castilla-La Mancha	2016	401.8181818181818
Cataluña	2003	22680.0
Cataluña	2004	22746.0
Cataluña	2005	24032.0
Cataluña	2006	24125.0
Cataluña	2007	22943.0
Cataluña	2008	20937.0
Cataluña	2009	18790.0
Cataluña	2010	16461.0
Cataluña	2011	14019.0
Cataluña	2012	14336.0
Cataluña	2013	12230.0
Cataluña	2014	19390.81818181818
Cataluña	2015	18301.545454545456
Cataluña	2016	17126.545454545456
Com. Foral de Navarra	2003	493.0
Com. Foral de Navarra	2004	488.0
Com. Foral de Navarra	2005	514.0
Com. Foral de Navarra	2006	511.0
Com. Foral de Navarra	2007	474.0
Com. Foral de Navarra	2008	416.0
Com. Foral de Navarra	2009	395.0
Com. Foral de Navarra	2010	341.0
Com. Foral de Navarra	2011	301.0
Com. Foral de Navarra	2012	297.0
Com. Foral de Navarra	2013	280.0
Com. Foral de Navarra	2014	410.0
Com. Foral de Navarra	2015	384.54545454545456
Com. Foral de Navarra	2016	356.45454545454544
Com. Valenciana	2003	42691.0
Com. Valenciana	2004	42511.0
Com. Valenciana	2005	43249.0
Com. Valenciana	2006	42890.0
Com. Valenciana	2007	41672.0
Com. Valenciana	2008	39056.0
Com. Valenciana	2009	36759.0
Com. Valenciana	2010	33686.0
Com. Valenciana	2011	30129.0
Com. Valenciana	2012	35695.0
Com. Valenciana	2013	29837.0
Com. Valenciana	2014	38015.90909090909
Com. Valenciana	2015	36451.545454545456
Com. Valenciana	2016	34827.818181818184
Com. de Madrid	2003	9361.0
Com. de Madrid	2004	10621.0
Com. de Madrid	2005	10608.0
Com. de Madrid	2006	10153.0
Com. de Madrid	2007	9308.0
Com. de Madrid	2008	8306.0
Com. de Madrid	2009	7458.0
Com. de Madrid	2010	6593.0
Com. de Madrid	2011	5883.0
Com. de Madrid	2012	6166.0
Com. de Madrid	2013	5303.0
Com. de Madrid	2014	8160.0
Com. de Madrid	2015	7747.909090909091
Com. de Madrid	2016	7183.363636363636
Cueta	2003	47.0
Cueta	2004	45.0
Cueta	2005	35.0
Cueta	2006	33.0
Cueta	2007	26.0
Cueta	2008	22.0
Cueta	2009	15.0
Cueta	2010	16.0
Cueta	2011	13.0
Cueta	2012	21.0
Cueta	2013	22.0
Cueta	2014	26.818181818181817
Cueta	2015	24.363636363636363
Cueta	2016	22.0
Extremadura	2003	350.0
Extremadura	2004	344.0
Extremadura	2005	327.0
Extremadura	2006	329.0
Extremadura	2007	293.0
Extremadura	2008	253.0
Extremadura	2009	230.0
Extremadura	2010	214.0
Extremadura	2011	175.0
Extremadura	2012	162.0
Extremadura	2013	157.0
Extremadura	2014	257.6363636363636
Extremadura	2015	238.72727272727272
Extremadura	2016	219.54545454545453
Galicia	2003	894.0
Galicia	2004	875.0
Galicia	2005	858.0
Galicia	2006	851.0
Galicia	2007	794.0
Galicia	2008	732.0
Galicia	2009	685.0
Galicia	2010	639.0
Galicia	2011	594.0
Galicia	2012	598.0
Galicia	2013	552.0
Galicia	2014	733.8181818181819
Galicia	2015	697.0909090909091
Galicia	2016	659.6363636363636
Illes Balears	2003	36758.0
Illes Balears	2004	36681.0
Illes Balears	2005	36003.0
Illes Balears	2006	34972.0
Illes Balears	2007	33208.0
Illes Balears	2008	29189.0
Illes Balears	2009	26293.0
Illes Balears	2010	22802.0
Illes Balears	2011	19790.0
Illes Balears	2012	22905.0
Illes Balears	2013	20469.0
Illes Balears	2014	29006.363636363636
Illes Balears	2015	27303.0
Illes Balears	2016	25369.272727272728
La Rioja	2003	117.0
La Rioja	2004	113.0
La Rioja	2005	135.0
La Rioja	2006	148.0
La Rioja	2007	148.0
La Rioja	2008	132.0
La Rioja	2009	128.0
La Rioja	2010	112.0
La Rioja	2011	83.0
La Rioja	2012	63.0
La Rioja	2013	57.0
La Rioja	2014	112.36363636363636
La Rioja	2015	105.54545454545455
La Rioja	2016	98.72727272727273
Melilla	2003	310.0
Melilla	2004	281.0
Melilla	2005	282.0
Melilla	2006	253.0
Melilla	2007	217.0
Melilla	2008	162.0
Melilla	2009	105.0
Melilla	2010	73.0
Melilla	2011	65.0
Melilla	2012	48.0
Melilla	2013	41.0
Melilla	2014	167.0
Melilla	2015	141.72727272727272
Melilla	2016	118.27272727272727
País Vasco	2003	1469.0
País Vasco	2004	1417.0
País Vasco	2005	1459.0
País Vasco	2006	1452.0
País Vasco	2007	1371.0
País Vasco	2008	1310.0
País Vasco	2009	1245.0
País Vasco	2010	1143.0
País Vasco	2011	1073.0
País Vasco	2012	1135.0
País Vasco	2013	1071.0
País Vasco	2014	1285.909090909091
País Vasco	2015	1244.4545454545455
País Vasco	2016	1203.1818181818182
Princ. de Asturias	2003	588.0
Princ. de Asturias	2004	571.0
Princ. de Asturias	2005	599.0
Princ. de Asturias	2006	598.0
Princ. de Asturias	2007	560.0
Princ. de Asturias	2008	501.0
Princ. de Asturias	2009	451.0
Princ. de Asturias	2010	398.0
Princ. de Asturias	2011	359.0
Princ. de Asturias	2012	347.0
Princ. de Asturias	2013	298.0
Princ. de Asturias	2014	479.09090909090907
Princ. de Asturias	2015	449.27272727272725
Princ. de Asturias	2016	419.90909090909093
Reg. de Murcia	2003	3497.0
Reg. de Murcia	2004	3606.0
Reg. de Murcia	2005	3494.0
Reg. de Murcia	2006	3389.0
Reg. de Murcia	2007	3216.0
Reg. de Murcia	2008	2918.0
Reg. de Murcia	2009	2594.0
Reg. de Murcia	2010	2229.0
Reg. de Murcia	2011	1800.0
Reg. de Murcia	2012	1761.0
Reg. de Murcia	2013	1389.0
Reg. de Murcia	2014	2717.5454545454545
Reg. de Murcia	2015	2500.3636363636365
Reg. de Murcia	2016	2261.909090909091
