Province	Year	SMA 11 years
Andalucía	2003	122380.0
Andalucía	2004	118518.0
Andalucía	2005	111867.0
Andalucía	2006	103903.0
Andalucía	2007	94109.0
Andalucía	2008	86449.0
Andalucía	2009	84402.0
Andalucía	2010	74743.0
Andalucía	2011	56518.0
Andalucía	2012	51774.0
Andalucía	2013	40447.0
Andalucía	2014	85919.09090909091
Andalucía	2015	77781.09090909091
Andalucía	2016	69184.90909090909
Aragón	2003	18782.0
Aragón	2004	18272.0
Aragón	2005	18414.0
Aragón	2006	17831.0
Aragón	2007	15108.0
Aragón	2008	12724.0
Aragón	2009	11655.0
Aragón	2010	10637.0
Aragón	2011	8447.0
Aragón	2012	7025.0
Aragón	2013	5225.0
Aragón	2014	13101.818181818182
Aragón	2015	11702.636363636364
Aragón	2016	10231.272727272728
Canarias	2003	4231.0
Canarias	2004	4126.0
Canarias	2005	3989.0
Canarias	2006	3809.0
Canarias	2007	3509.0
Canarias	2008	3233.0
Canarias	2009	3432.0
Canarias	2010	3216.0
Canarias	2011	2444.0
Canarias	2012	2142.0
Canarias	2013	1719.0
Canarias	2014	3259.090909090909
Canarias	2015	2983.090909090909
Canarias	2016	2668.181818181818
Cantabria	2003	1906.0
Cantabria	2004	1863.0
Cantabria	2005	1832.0
Cantabria	2006	1617.0
Cantabria	2007	1243.0
Cantabria	2008	1091.0
Cantabria	2009	1038.0
Cantabria	2010	964.0
Cantabria	2011	811.0
Cantabria	2012	723.0
Cantabria	2013	611.0
Cantabria	2014	1245.3636363636363
Cantabria	2015	1114.0
Cantabria	2016	963.7272727272727
Castilla y León	2003	21624.0
Castilla y León	2004	21221.0
Castilla y León	2005	20047.0
Castilla y León	2006	18983.0
Castilla y León	2007	16616.0
Castilla y León	2008	12774.0
Castilla y León	2009	10672.0
Castilla y León	2010	8525.0
Castilla y León	2011	6207.0
Castilla y León	2012	4585.0
Castilla y León	2013	3300.0
Castilla y León	2014	13141.272727272728
Castilla y León	2015	11375.90909090909
Castilla y León	2016	9581.90909090909
Castilla-La Mancha	2003	30857.0
Castilla-La Mancha	2004	29944.0
Castilla-La Mancha	2005	28869.0
Castilla-La Mancha	2006	27928.0
Castilla-La Mancha	2007	24585.0
Castilla-La Mancha	2008	19402.0
Castilla-La Mancha	2009	16457.0
Castilla-La Mancha	2010	14909.0
Castilla-La Mancha	2011	12218.0
Castilla-La Mancha	2012	10489.0
Castilla-La Mancha	2013	8287.0
Castilla-La Mancha	2014	20358.636363636364
Castilla-La Mancha	2015	18095.81818181818
Castilla-La Mancha	2016	15755.727272727272
Cataluña	2003	239206.0
Cataluña	2004	236991.0
Cataluña	2005	233954.0
Cataluña	2006	226930.0
Cataluña	2007	208996.0
Cataluña	2008	191652.0
Cataluña	2009	188604.0
Cataluña	2010	171202.0
Cataluña	2011	143405.0
Cataluña	2012	128686.0
Cataluña	2013	104794.0
Cataluña	2014	188583.63636363635
Cataluña	2015	173984.72727272726
Cataluña	2016	157964.36363636365
Com. Foral de Navarra	2003	10797.0
Com. Foral de Navarra	2004	10541.0
Com. Foral de Navarra	2005	9694.0
Com. Foral de Navarra	2006	8698.0
Com. Foral de Navarra	2007	7451.0
Com. Foral de Navarra	2008	6162.0
Com. Foral de Navarra	2009	5921.0
Com. Foral de Navarra	2010	5121.0
Com. Foral de Navarra	2011	4401.0
Com. Foral de Navarra	2012	4058.0
Com. Foral de Navarra	2013	3458.0
Com. Foral de Navarra	2014	6936.545454545455
Com. Foral de Navarra	2015	6169.363636363636
Com. Foral de Navarra	2016	5329.272727272727
Com. Valenciana	2003	77637.0
Com. Valenciana	2004	76469.0
Com. Valenciana	2005	75702.0
Com. Valenciana	2006	73130.0
Com. Valenciana	2007	66886.0
Com. Valenciana	2008	56950.0
Com. Valenciana	2009	52898.0
Com. Valenciana	2010	45111.0
Com. Valenciana	2011	35241.0
Com. Valenciana	2012	30078.0
Com. Valenciana	2013	23640.0
Com. Valenciana	2014	55794.72727272727
Com. Valenciana	2015	50103.90909090909
Com. Valenciana	2016	44155.818181818184
Com. de Madrid	2003	84799.0
Com. de Madrid	2004	86263.0
Com. de Madrid	2005	86386.0
Com. de Madrid	2006	83294.0
Com. de Madrid	2007	77438.0
Com. de Madrid	2008	68819.0
Com. de Madrid	2009	68238.0
Com. de Madrid	2010	69532.0
Com. de Madrid	2011	60684.0
Com. de Madrid	2012	56137.0
Com. de Madrid	2013	46971.0
Com. de Madrid	2014	71687.36363636363
Com. de Madrid	2015	67342.81818181818
Com. de Madrid	2016	61984.181818181816
Cueta	2003	4747.0
Cueta	2004	4084.0
Cueta	2005	3314.0
Cueta	2006	2972.0
Cueta	2007	2640.0
Cueta	2008	2600.0
Cueta	2009	2674.0
Cueta	2010	2696.0
Cueta	2011	2534.0
Cueta	2012	2647.0
Cueta	2013	2742.0
Cueta	2014	3059.090909090909
Cueta	2015	2873.2727272727275
Cueta	2016	2729.3636363636365
Extremadura	2003	8653.0
Extremadura	2004	8706.0
Extremadura	2005	8476.0
Extremadura	2006	8522.0
Extremadura	2007	9068.0
