Province	Year	SMA 11 years
Andalucía	2003	5794.0
Andalucía	2004	6285.0
Andalucía	2005	6329.0
Andalucía	2006	5674.0
Andalucía	2007	4606.0
Andalucía	2008	3660.0
Andalucía	2009	3225.0
Andalucía	2010	2616.0
Andalucía	2011	1918.0
Andalucía	2012	1605.0
Andalucía	2013	1237.0
Andalucía	2014	3904.4545454545455
Andalucía	2015	3466.181818181818
Andalucía	2016	2964.0
Aragón	2003	2215.0
Aragón	2004	2366.0
Aragón	2005	2575.0
Aragón	2006	2547.0
Aragón	2007	2065.0
Aragón	2008	1576.0
Aragón	2009	1319.0
Aragón	2010	1044.0
Aragón	2011	756.0
Aragón	2012	610.0
Aragón	2013	467.0
Aragón	2014	1594.5454545454545
Aragón	2015	1425.4545454545455
Aragón	2016	1237.6363636363637
Canarias	2003	655.0
Canarias	2004	743.0
Canarias	2005	772.0
Canarias	2006	768.0
Canarias	2007	690.0
Canarias	2008	606.0
Canarias	2009	528.0
Canarias	2010	501.0
Canarias	2011	408.0
Canarias	2012	373.0
Canarias	2013	301.0
Canarias	2014	576.8181818181819
Canarias	2015	538.5454545454545
Canarias	2016	486.72727272727275
Cantabria	2003	2881.0
Cantabria	2004	2996.0
Cantabria	2005	3098.0
Cantabria	2006	2984.0
Cantabria	2007	2345.0
Cantabria	2008	1950.0
Cantabria	2009	1530.0
Cantabria	2010	1182.0
Cantabria	2011	737.0
Cantabria	2012	456.0
Cantabria	2013	284.0
Cantabria	2014	1858.4545454545455
Cantabria	2015	1614.0
Cantabria	2016	1352.909090909091
Castilla y León	2003	3585.0
Castilla y León	2004	3827.0
Castilla y León	2005	3757.0
Castilla y León	2006	3500.0
Castilla y León	2007	2891.0
Castilla y León	2008	2237.0
Castilla y León	2009	1919.0
Castilla y León	2010	1479.0
Castilla y León	2011	1030.0
Castilla y León	2012	788.0
Castilla y León	2013	549.0
Castilla y León	2014	2323.818181818182
Castilla y León	2015	2032.090909090909
Castilla y León	2016	1704.8181818181818
Castilla-La Mancha	2003	4433.0
Castilla-La Mancha	2004	4546.0
Castilla-La Mancha	2005	4728.0
Castilla-La Mancha	2006	4592.0
Castilla-La Mancha	2007	3549.0
Castilla-La Mancha	2008	2619.0
Castilla-La Mancha	2009	2028.0
Castilla-La Mancha	2010	1573.0
Castilla-La Mancha	2011	1047.0
Castilla-La Mancha	2012	753.0
Castilla-La Mancha	2013	557.0
Castilla-La Mancha	2014	2765.909090909091
Castilla-La Mancha	2015	2400.6363636363635
Castilla-La Mancha	2016	2015.2727272727273
Cataluña	2003	30873.0
Cataluña	2004	32577.0
Cataluña	2005	34953.0
Cataluña	2006	35513.0
Cataluña	2007	32713.0
Cataluña	2008	30144.0
Cataluña	2009	29544.0
Cataluña	2010	27103.0
Cataluña	2011	21850.0
Cataluña	2012	18422.0
Cataluña	2013	14074.0
Cataluña	2014	27978.727272727272
Cataluña	2015	26162.636363636364
Cataluña	2016	23949.81818181818
Com. Foral de Navarra	2003	1889.0
Com. Foral de Navarra	2004	2198.0
Com. Foral de Navarra	2005	2280.0
Com. Foral de Navarra	2006	2230.0
Com. Foral de Navarra	2007	1941.0
Com. Foral de Navarra	2008	1593.0
Com. Foral de Navarra	2009	1502.0
Com. Foral de Navarra	2010	1213.0
Com. Foral de Navarra	2011	853.0
Com. Foral de Navarra	2012	650.0
Com. Foral de Navarra	2013	512.0
Com. Foral de Navarra	2014	1532.8181818181818
Com. Foral de Navarra	2015	1395.3636363636363
Com. Foral de Navarra	2016	1219.1818181818182
Com. Valenciana	2003	4433.0
Com. Valenciana	2004	4937.0
Com. Valenciana	2005	5359.0
Com. Valenciana	2006	5355.0
Com. Valenciana	2007	4846.0
Com. Valenciana	2008	4052.0
Com. Valenciana	2009	3690.0
Com. Valenciana	2010	3091.0
Com. Valenciana	2011	2302.0
Com. Valenciana	2012	1982.0
Com. Valenciana	2013	1566.0
Com. Valenciana	2014	3783.0
Com. Valenciana	2015	3488.090909090909
Com. Valenciana	2016	3129.7272727272725
Com. de Madrid	2003	52188.0
Com. de Madrid	2004	58137.0
Com. de Madrid	2005	62120.0
Com. de Madrid	2006	62518.0
Com. de Madrid	2007	55205.0
Com. de Madrid	2008	46434.0
Com. de Madrid	2009	43146.0
Com. de Madrid	2010	39274.0
Com. de Madrid	2011	33527.0
Com. de Madrid	2012	26815.0
Com. de Madrid	2013	22678.0
Com. de Madrid	2014	45640.181818181816
Com. de Madrid	2015	42539.09090909091
Com. de Madrid	2016	38585.90909090909
Cueta	2003	17.0
Cueta	2004	15.0
Cueta	2005	9.0
Cueta	2006	5.0
Cueta	2007	5.0
Cueta	2008	3.0
Cueta	2009	2.0
Cueta	2010	0.0
Cueta	2011	0.0
Cueta	2012	1.0
Cueta	2013	0.0
Cueta	2014	5.181818181818182
Cueta	2015	3.6363636363636362
Cueta	2016	2.272727272727273
Extremadura	2003	668.0
Extremadura	2004	691.0
Extremadura	2005	672.0
Extremadura	2006	554.0
Extremadura	2007	472.0
Extremadura	2008	369.0
Extremadura	2009	290.0
Extremadura	2010	256.0
Extremadura	2011	162.0
Extremadura	2012	161.0
Extremadura	2013	113.0
Extremadura	2014	400.72727272727275
Extremadura	2015	348.09090909090907
Extremadura	2016	289.8181818181818
Galicia	2003	1692.0
Galicia	2004	1719.0
Galicia	2005	1863.0
Galicia	2006	1754.0
Galicia	2007	1403.0
Galicia	2008	1190.0
Galicia	2009	910.0
Galicia	2010	665.0
Galicia	2011	407.0
Galicia	2012	326.0
Galicia	2013	218.0
Galicia	2014	1104.2727272727273
Galicia	2015	964.9090909090909
Galicia	2016	816.8181818181819
Illes Balears	2003	1850.0
Illes Balears	2004	1999.0
Illes Balears	2005	2085.0
Illes Balears	2006	2086.0
Illes Balears	2007	1878.0
Illes Balears	2008	1550.0
Illes Balears	2009	1429.0
Illes Balears	2010	1316.0
Illes Balears	2011	1040.0
Illes Balears	2012	930.0
Illes Balears	2013	760.0
Illes Balears	2014	1538.4545454545455
Illes Balears	2015	1423.1818181818182
Illes Balears	2016	1279.7272727272727
La Rioja	2003	466.0
La Rioja	2004	477.0
La Rioja	2005	531.0
La Rioja	2006	594.0
La Rioja	2007	437.0
La Rioja	2008	374.0
La Rioja	2009	376.0
La Rioja	2010	323.0
La Rioja	2011	254.0
La Rioja	2012	198.0
La Rioja	2013	144.0
La Rioja	2014	379.45454545454544
La Rioja	2015	346.1818181818182
La Rioja	2016	309.8181818181818
Melilla	2003	35.0
Melilla	2004	27.0
Melilla	2005	16.0
Melilla	2006	7.0
Melilla	2007	5.0
Melilla	2008	4.0
Melilla	2009	2.0
Melilla	2010	0.0
Melilla	2011	2.0
Melilla	2012	1.0
Melilla	2013	0.0
Melilla	2014	9.0
Melilla	2015	5.909090909090909
Melilla	2016	3.4545454545454546
País Vasco	2003	3362.0
País Vasco	2004	3379.0
País Vasco	2005	3256.0
País Vasco	2006	3028.0
País Vasco	2007	2391.0
País Vasco	2008	1864.0
País Vasco	2009	1570.0
País Vasco	2010	1197.0
País Vasco	2011	842.0
País Vasco	2012	659.0
País Vasco	2013	469.0
País Vasco	2014	2001.5454545454545
País Vasco	2015	1725.5454545454545
País Vasco	2016	1442.1818181818182
Princ. de Asturias	2003	845.0
Princ. de Asturias	2004	844.0
Princ. de Asturias	2005	846.0
Princ. de Asturias	2006	764.0
Princ. de Asturias	2007	614.0
Princ. de Asturias	2008	451.0
Princ. de Asturias	2009	372.0
Princ. de Asturias	2010	246.0
Princ. de Asturias	2011	179.0
Princ. de Asturias	2012	153.0
Princ. de Asturias	2013	91.0
Princ. de Asturias	2014	491.3636363636364
Princ. de Asturias	2015	421.09090909090907
Princ. de Asturias	2016	348.72727272727275
Reg. de Murcia	2003	944.0
Reg. de Murcia	2004	933.0
Reg. de Murcia	2005	1034.0
Reg. de Murcia	2006	1005.0
Reg. de Murcia	2007	851.0
Reg. de Murcia	2008	620.0
Reg. de Murcia	2009	531.0
Reg. de Murcia	2010	346.0
Reg. de Murcia	2011	217.0
Reg. de Murcia	2012	189.0
Reg. de Murcia	2013	148.0
Reg. de Murcia	2014	619.8181818181819
Reg. de Murcia	2015	545.1818181818181
Reg. de Murcia	2016	468.3636363636364
