Province	Year	SMA 11 years
Andalucía	2003	9338.0
Andalucía	2004	9052.0
Andalucía	2005	8696.0
Andalucía	2006	8354.0
Andalucía	2007	7577.0
Andalucía	2008	5008.0
Andalucía	2009	2916.0
Andalucía	2010	1901.0
Andalucía	2011	1217.0
Andalucía	2012	935.0
Andalucía	2013	605.0
Andalucía	2014	5054.454545454545
Andalucía	2015	4245.181818181818
Andalucía	2016	3448.6363636363635
Aragón	2003	4302.0
Aragón	2004	4306.0
Aragón	2005	4324.0
Aragón	2006	4332.0
Aragón	2007	3873.0
Aragón	2008	2415.0
Aragón	2009	1423.0
Aragón	2010	1159.0
Aragón	2011	847.0
Aragón	2012	656.0
Aragón	2013	465.0
Aragón	2014	2554.7272727272725
Aragón	2015	2185.909090909091
Aragón	2016	1803.6363636363637
Canarias	2003	2531.0
Canarias	2004	2289.0
Canarias	2005	2194.0
Canarias	2006	2031.0
Canarias	2007	1721.0
Canarias	2008	1152.0
Canarias	2009	725.0
Canarias	2010	490.0
Canarias	2011	297.0
Canarias	2012	291.0
Canarias	2013	226.0
Canarias	2014	1267.909090909091
Canarias	2015	1049.909090909091
Canarias	2016	847.0
Cantabria	2003	423.0
Cantabria	2004	412.0
Cantabria	2005	408.0
Cantabria	2006	401.0
Cantabria	2007	350.0
Cantabria	2008	249.0
Cantabria	2009	149.0
Cantabria	2010	111.0
Cantabria	2011	75.0
Cantabria	2012	40.0
Cantabria	2013	27.0
Cantabria	2014	240.45454545454547
Cantabria	2015	203.8181818181818
Cantabria	2016	168.1818181818182
Castilla y León	2003	3370.0
Castilla y León	2004	3374.0
Castilla y León	2005	3472.0
Castilla y León	2006	3605.0
Castilla y León	2007	3447.0
Castilla y León	2008	2534.0
Castilla y León	2009	1677.0
Castilla y León	2010	1296.0
Castilla y León	2011	954.0
Castilla y León	2012	881.0
Castilla y León	2013	712.0
Castilla y León	2014	2302.0
Castilla y León	2015	2037.3636363636363
Castilla y León	2016	1764.090909090909
Castilla-La Mancha	2003	2538.0
Castilla-La Mancha	2004	2558.0
Castilla-La Mancha	2005	2525.0
Castilla-La Mancha	2006	2462.0
Castilla-La Mancha	2007	2230.0
Castilla-La Mancha	2008	1701.0
Castilla-La Mancha	2009	1286.0
Castilla-La Mancha	2010	990.0
Castilla-La Mancha	2011	753.0
Castilla-La Mancha	2012	681.0
Castilla-La Mancha	2013	556.0
Castilla-La Mancha	2014	1661.8181818181818
Castilla-La Mancha	2015	1471.3636363636363
Castilla-La Mancha	2016	1268.5454545454545
Cataluña	2003	13457.0
Cataluña	2004	13591.0
Cataluña	2005	14166.0
Cataluña	2006	14380.0
Cataluña	2007	12998.0
Cataluña	2008	9745.0
Cataluña	2009	6273.0
Cataluña	2010	4607.0
Cataluña	2011	3177.0
Cataluña	2012	2448.0
Cataluña	2013	1544.0
Cataluña	2014	8762.363636363636
Cataluña	2015	7625.545454545455
Cataluña	2016	6448.818181818182
Com. Foral de Navarra	2003	716.0
Com. Foral de Navarra	2004	708.0
Com. Foral de Navarra	2005	717.0
Com. Foral de Navarra	2006	714.0
Com. Foral de Navarra	2007	668.0
Com. Foral de Navarra	2008	525.0
Com. Foral de Navarra	2009	362.0
Com. Foral de Navarra	2010	320.0
Com. Foral de Navarra	2011	286.0
Com. Foral de Navarra	2012	240.0
Com. Foral de Navarra	2013	193.0
Com. Foral de Navarra	2014	495.3636363636364
Com. Foral de Navarra	2015	442.72727272727275
Com. Foral de Navarra	2016	385.09090909090907
Com. Valenciana	2003	9714.0
Com. Valenciana	2004	9629.0
Com. Valenciana	2005	9934.0
Com. Valenciana	2006	9895.0
Com. Valenciana	2007	9210.0
Com. Valenciana	2008	7222.0
Com. Valenciana	2009	5436.0
Com. Valenciana	2010	4104.0
Com. Valenciana	2011	2881.0
Com. Valenciana	2012	2515.0
Com. Valenciana	2013	1866.0
Com. Valenciana	2014	6582.363636363636
Com. Valenciana	2015	5805.727272727273
Com. Valenciana	2016	4999.818181818182
Com. de Madrid	2003	25479.0
Com. de Madrid	2004	27752.0
Com. de Madrid	2005	27997.0
Com. de Madrid	2006	27564.0
Com. de Madrid	2007	26582.0
Com. de Madrid	2008	23690.0
Com. de Madrid	2009	20657.0
Com. de Madrid	2010	18059.0
Com. de Madrid	2011	15024.0
Com. de Madrid	2012	14247.0
Com. de Madrid	2013	11206.0
Com. de Madrid	2014	21659.727272727272
Com. de Madrid	2015	20109.545454545456
Com. de Madrid	2016	18020.363636363636
Cueta	2003	14.0
Cueta	2004	14.0
Cueta	2005	14.0
Cueta	2006	11.0
Cueta	2007	8.0
Cueta	2008	2.0
Cueta	2009	2.0
Cueta	2010	1.0
Cueta	2011	0.0
Cueta	2012	0.0
Cueta	2013	0.0
Cueta	2014	6.0
Cueta	2015	4.7272727272727275
Cueta	2016	3.4545454545454546
Extremadura	2003	400.0
Extremadura	2004	421.0
Extremadura	2005	385.0
Extremadura	2006	339.0
Extremadura	2007	308.0
Extremadura	2008	231.0
Extremadura	2009	145.0
Extremadura	2010	102.0
Extremadura	2011	72.0
Extremadura	2012	54.0
Extremadura	2013	45.0
Extremadura	2014	227.45454545454547
Extremadura	2015	195.1818181818182
Extremadura	2016	159.8181818181818
Galicia	2003	389.0
Galicia	2004	369.0
Galicia	2005	361.0
Galicia	2006	325.0
Galicia	2007	283.0
Galicia	2008	165.0
Galicia	2009	116.0
Galicia	2010	74.0
Galicia	2011	50.0
Galicia	2012	37.0
Galicia	2013	45.0
Galicia	2014	201.27272727272728
Galicia	2015	169.63636363636363
Galicia	2016	139.36363636363637
Illes Balears	2003	4477.0
Illes Balears	2004	4414.0
Illes Balears	2005	4177.0
Illes Balears	2006	3935.0
Illes Balears	2007	3513.0
Illes Balears	2008	2608.0
Illes Balears	2009	1725.0
Illes Balears	2010	1142.0
Illes Balears	2011	733.0
Illes Balears	2012	625.0
Illes Balears	2013	447.0
Illes Balears	2014	2526.909090909091
Illes Balears	2015	2146.4545454545455
Illes Balears	2016	1760.909090909091
La Rioja	2003	288.0
La Rioja	2004	296.0
La Rioja	2005	338.0
La Rioja	2006	345.0
La Rioja	2007	321.0
La Rioja	2008	239.0
La Rioja	2009	123.0
La Rioja	2010	80.0
La Rioja	2011	51.0
La Rioja	2012	46.0
La Rioja	2013	30.0
La Rioja	2014	196.0909090909091
La Rioja	2015	171.27272727272728
La Rioja	2016	145.0909090909091
Melilla	2003	25.0
Melilla	2004	26.0
Melilla	2005	24.0
Melilla	2006	22.0
Melilla	2007	10.0
Melilla	2008	4.0
Melilla	2009	3.0
Melilla	2010	1.0
Melilla	2011	0.0
Melilla	2012	0.0
Melilla	2013	0.0
Melilla	2014	10.454545454545455
Melilla	2015	8.181818181818182
Melilla	2016	5.818181818181818
País Vasco	2003	696.0
País Vasco	2004	719.0
País Vasco	2005	733.0
País Vasco	2006	729.0
País Vasco	2007	613.0
País Vasco	2008	481.0
País Vasco	2009	416.0
País Vasco	2010	339.0
País Vasco	2011	293.0
País Vasco	2012	285.0
País Vasco	2013	205.0
País Vasco	2014	500.8181818181818
País Vasco	2015	455.09090909090907
País Vasco	2016	405.45454545454544
Princ. de Asturias	2003	1675.0
Princ. de Asturias	2004	1653.0
Princ. de Asturias	2005	1667.0
Princ. de Asturias	2006	1551.0
Princ. de Asturias	2007	1313.0
Princ. de Asturias	2008	1073.0
Princ. de Asturias	2009	842.0
Princ. de Asturias	2010	591.0
Princ. de Asturias	2011	408.0
Princ. de Asturias	2012	387.0
Princ. de Asturias	2013	225.0
Princ. de Asturias	2014	1035.0
Princ. de Asturias	2015	897.8181818181819
Princ. de Asturias	2016	759.3636363636364
Reg. de Murcia	2003	2220.0
Reg. de Murcia	2004	2306.0
Reg. de Murcia	2005	2259.0
Reg. de Murcia	2006	2167.0
Reg. de Murcia	2007	1965.0
Reg. de Murcia	2008	1390.0
Reg. de Murcia	2009	868.0
Reg. de Murcia	2010	649.0
Reg. de Murcia	2011	423.0
Reg. de Murcia	2012	258.0
Reg. de Murcia	2013	193.0
Reg. de Murcia	2014	1336.1818181818182
Reg. de Murcia	2015	1146.2727272727273
Reg. de Murcia	2016	943.9090909090909
