Province	Year	SMA 11 years
Andalucía	2003	106912.0
Andalucía	2004	99776.0
Andalucía	2005	93169.0
Andalucía	2006	88134.0
Andalucía	2007	79630.0
Andalucía	2008	52494.0
Andalucía	2009	41053.0
Andalucía	2010	26126.0
Andalucía	2011	13296.0
Andalucía	2012	7779.0
Andalucía	2013	3626.0
Andalucía	2014	55635.90909090909
Andalucía	2015	46077.454545454544
Andalucía	2016	37043.454545454544
Aragón	2003	67867.0
Aragón	2004	65607.0
Aragón	2005	64546.0
Aragón	2006	63180.0
Aragón	2007	57043.0
Aragón	2008	41090.0
Aragón	2009	29553.0
Aragón	2010	24645.0
Aragón	2011	16736.0
Aragón	2012	11605.0
Aragón	2013	5807.0
Aragón	2014	40698.09090909091
Aragón	2015	34767.36363636364
Aragón	2016	28823.909090909092
Canarias	2003	3747.0
Canarias	2004	3330.0
Canarias	2005	2953.0
Canarias	2006	2668.0
Canarias	2007	2243.0
Canarias	2008	1547.0
Canarias	2009	1120.0
Canarias	2010	918.0
Canarias	2011	560.0
Canarias	2012	386.0
Canarias	2013	204.0
Canarias	2014	1788.7272727272727
Canarias	2015	1459.4545454545455
Canarias	2016	1161.6363636363637
Cantabria	2003	6904.0
Cantabria	2004	6482.0
Cantabria	2005	6093.0
Cantabria	2006	5798.0
Cantabria	2007	5131.0
Cantabria	2008	2926.0
Cantabria	2009	2287.0
Cantabria	2010	1603.0
Cantabria	2011	964.0
Cantabria	2012	477.0
Cantabria	2013	171.0
Cantabria	2014	3530.5454545454545
Cantabria	2015	2907.5454545454545
Cantabria	2016	2319.4545454545455
Castilla y León	2003	31944.0
Castilla y León	2004	30181.0
Castilla y León	2005	28442.0
Castilla y León	2006	27247.0
Castilla y León	2007	24432.0
Castilla y León	2008	14386.0
Castilla y León	2009	11158.0
Castilla y León	2010	8027.0
Castilla y León	2011	4750.0
Castilla y León	2012	2789.0
Castilla y León	2013	1012.0
Castilla y León	2014	16760.727272727272
Castilla y León	2015	13890.181818181818
Castilla y León	2016	11154.181818181818
Castilla-La Mancha	2003	78955.0
Castilla-La Mancha	2004	76166.0
Castilla-La Mancha	2005	73200.0
Castilla-La Mancha	2006	71171.0
Castilla-La Mancha	2007	64702.0
Castilla-La Mancha	2008	46362.0
Castilla-La Mancha	2009	33793.0
Castilla-La Mancha	2010	26533.0
Castilla-La Mancha	2011	16740.0
Castilla-La Mancha	2012	10649.0
Castilla-La Mancha	2013	4647.0
Castilla-La Mancha	2014	45719.818181818184
Castilla-La Mancha	2015	38725.545454545456
Castilla-La Mancha	2016	31822.18181818182
Cataluña	2003	106023.0
Cataluña	2004	101905.0
Cataluña	2005	98659.0
Cataluña	2006	96574.0
Cataluña	2007	88078.0
Cataluña	2008	63534.0
Cataluña	2009	51353.0
Cataluña	2010	39328.0
Cataluña	2011	24389.0
Cataluña	2012	15508.0
Cataluña	2013	6504.0
Cataluña	2014	62895.90909090909
Cataluña	2015	53470.818181818184
Cataluña	2016	44259.36363636364
Com. Foral de Navarra	2003	7791.0
Com. Foral de Navarra	2004	7184.0
Com. Foral de Navarra	2005	6599.0
Com. Foral de Navarra	2006	6066.0
Com. Foral de Navarra	2007	5100.0
Com. Foral de Navarra	2008	3089.0
Com. Foral de Navarra	2009	2551.0
Com. Foral de Navarra	2010	1969.0
Com. Foral de Navarra	2011	1410.0
Com. Foral de Navarra	2012	1067.0
Com. Foral de Navarra	2013	632.0
Com. Foral de Navarra	2014	3950.7272727272725
Com. Foral de Navarra	2015	3277.7272727272725
Com. Foral de Navarra	2016	2642.181818181818
Com. Valenciana	2003	148331.0
Com. Valenciana	2004	144127.0
Com. Valenciana	2005	141391.0
Com. Valenciana	2006	137523.0
Com. Valenciana	2007	128097.0
Com. Valenciana	2008	95648.0
Com. Valenciana	2009	76211.0
Com. Valenciana	2010	60608.0
Com. Valenciana	2011	42180.0
Com. Valenciana	2012	27950.0
Com. Valenciana	2013	13973.0
Com. Valenciana	2014	92367.18181818182
Com. Valenciana	2015	79397.54545454546
Com. Valenciana	2016	66386.90909090909
Com. de Madrid	2003	219567.0
Com. de Madrid	2004	219095.0
Com. de Madrid	2005	210822.0
Com. de Madrid	2006	201208.0
Com. de Madrid	2007	189477.0
Com. de Madrid	2008	148906.0
Com. de Madrid	2009	114556.0
Com. de Madrid	2010	96437.0
Com. de Madrid	2011	67647.0
Com. de Madrid	2012	47442.0
Com. de Madrid	2013	25563.0
Com. de Madrid	2014	140065.45454545456
Com. de Madrid	2015	121374.0
Com. de Madrid	2016	101725.45454545454
Cueta	2003	14.0
Cueta	2004	18.0
Cueta	2005	18.0
Cueta	2006	16.0
Cueta	2007	8.0
Cueta	2008	8.0
Cueta	2009	7.0
Cueta	2010	7.0
Cueta	2011	6.0
Cueta	2012	4.0
Cueta	2013	4.0
Cueta	2014	10.0
Cueta	2015	9.090909090909092
Cueta	2016	7.818181818181818
Extremadura	2003	11367.0
Extremadura	2004	10705.0
Extremadura	2005	9890.0
Extremadura	2006	9077.0
Extremadura	2007	7817.0
Extremadura	2008	4331.0
Extremadura	2009	3279.0
Extremadura	2010	2059.0
Extremadura	2011	918.0
Extremadura	2012	364.0
Extremadura	2013	88.0
Extremadura	2014	5445.0
Extremadura	2015	4416.090909090909
Extremadura	2016	3443.6363636363635
Galicia	2003	6243.0
Galicia	2004	5733.0
Galicia	2005	5067.0
Galicia	2006	4572.0
Galicia	2007	3614.0
Galicia	2008	1999.0
Galicia	2009	1489.0
Galicia	2010	1113.0
Galicia	2011	634.0
Galicia	2012	357.0
Galicia	2013	133.0
Galicia	2014	2814.0
Galicia	2015	2252.909090909091
Galicia	2016	1732.909090909091
Illes Balears	2003	14228.0
Illes Balears	2004	13311.0
Illes Balears	2005	12594.0
Illes Balears	2006	11858.0
Illes Balears	2007	10330.0
Illes Balears	2008	7025.0
Illes Balears	2009	4845.0
Illes Balears	2010	3618.0
Illes Balears	2011	2268.0
Illes Balears	2012	1414.0
Illes Balears	2013	671.0
Illes Balears	2014	7469.272727272727
Illes Balears	2015	6204.0
Illes Balears	2016	5004.181818181818
La Rioja	2003	12914.0
La Rioja	2004	12178.0
La Rioja	2005	11702.0
La Rioja	2006	11264.0
La Rioja	2007	10303.0
La Rioja	2008	7349.0
La Rioja	2009	6709.0
La Rioja	2010	5585.0
La Rioja	2011	4031.0
La Rioja	2012	2875.0
La Rioja	2013	1476.0
La Rioja	2014	7853.272727272727
La Rioja	2015	6738.090909090909
La Rioja	2016	5639.636363636364
Melilla	2003	43.0
Melilla	2004	42.0
Melilla	2005	13.0
Melilla	2006	7.0
Melilla	2007	8.0
Melilla	2008	2.0
Melilla	2009	2.0
Melilla	2010	1.0
Melilla	2011	2.0
Melilla	2012	1.0
Melilla	2013	1.0
Melilla	2014	11.090909090909092
Melilla	2015	7.2727272727272725
Melilla	2016	3.4545454545454546
País Vasco	2003	17598.0
País Vasco	2004	16231.0
País Vasco	2005	15217.0
País Vasco	2006	14586.0
País Vasco	2007	12843.0
